Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
2,"Ianovale, Erika",Sr,L,5-10,91,,91,25.0,,2,1,13,0.077,53.0,5.0,8.0,320.0,21.0,,,,7.0,1.0,,
14,"Morris, Celene",Fr,S,5-8,91,,91,25.0,22.0,22,9,80,0.163,332.0,13.0,13.0,227.0,7.0,1.0,18.0,,45.0,11.0,,
11,"Goodwin, Morgan",Fr,MB,6-0,89,,89,25.0,24.0,179,73,450,0.23600000000000002,8.0,16.0,16.0,51.0,1.0,16.0,68.0,13.0,245.0,1.0,,
6,"White, Whitney",Sr,MB,6-4,88,,88,24.0,23.0,178,69,452,0.24100000000000002,1.0,,,17.0,1.0,20.0,68.0,7.0,232.0,,,
19,"Faulkner, Arlanda",Fr,OH,5-9,86,,86,24.0,22.0,203,139,770,0.083,13.0,23.0,23.0,160.0,26.0,4.0,27.0,5.0,243.5,1.0,,
8,"Simmons, Bree",Sr,L/DS,5-5,81,,81,24.0,5.0,1,3,12,-0.16699999999999998,8.0,18.0,19.0,170.0,19.0,,,,19.0,1.0,,
12,"Pilivi, Jessica",Jr,OH,5-10,80,,80,24.0,15.0,64,45,288,0.066,7.0,8.0,21.0,167.0,27.0,2.0,9.0,,78.5,1.0,,
13,"Alcox, Christine",So,OH,5-8,72,,72,24.0,11.0,135,84,439,0.11599999999999999,2.0,1.0,4.0,46.0,10.0,,16.0,2.0,144.0,,,
17,"Mitchell, Isis",Fr,S,6-0,56,,56,16.0,15.0,15,16,81,-0.012,443.0,15.0,6.0,137.0,,2.0,23.0,2.0,43.5,7.0,,
35,"Louis, Estfania",Fr,RS,6-1,52,,52,18.0,5.0,58,41,174,0.098,,,1.0,14.0,,5.0,34.0,6.0,80.0,,,
5,"White, Kennedy",Jr,OH,5-6,43,,43,17.0,3.0,31,16,105,0.14300000000000002,2.0,1.0,2.0,30.0,,1.0,12.0,2.0,39.0,1.0,,
22,"Miller, Da'Nesha",So,RS,5-11,21,,21,11.0,2.0,26,16,81,0.12300000000000001,2.0,2.0,2.0,16.0,,,6.0,4.0,31.0,,,
15,"Young, McKayla",So,MB,5-10,17,,17,12.0,3.0,8,11,41,-0.073,1.0,,2.0,1.0,,3.0,6.0,1.0,14.0,,,
7,"Shipman, Kierra",Sr,OH,5-11,13,,13,10.0,,12,11,41,0.024,,1.0,,7.0,2.0,,1.0,,13.5,,,
36,"Lee, Hana",Fr,OH,5-9,9,,9,6.0,,2,4,14,-0.14300000000000002,1.0,3.0,,5.0,,,,,5.0,1.0,,
9,"Williams, Ammaarah",Fr,MB,6-0,2,,2,1.0,,0,0,1,0.0,,,,1.0,,,,,,,,
16,"Wright, Braxton",So,DS,5-5,1,,1,1.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,22,14.0,,0,0,0,,,,,,14.0,,,,,,,
-,Totals,-,-,-,-,-,91,,,936,538,3042,0.131,873.0,106.0,117.0,1369.0,128.0,54.0,288.0,42.0,1240.0,25.0,,
-,Opponent Totals,-,-,-,-,-,91,,,1192,561,3359,0.188,1129.0,128.0,180.0,1393.0,106.0,33.0,303.0,36.0,1504.5,45.0,,
