Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
8,"Andrade, Luiza",Sr,L,5-5,103,,103,27.0,,5,4,12,0.083,113.0,49.0,50.0,498.0,30.0,,,,54.0,,,
4,"Grajeda, Thaliana",Jr,MB,6-0,103,,103,27.0,27.0,193,55,427,0.32299999999999995,11.0,28.0,44.0,47.0,,11.0,73.0,4.0,268.5,1.0,,
2,"Garard, Mamie",Fr,S,5-10,103,,103,27.0,16.0,23,5,49,0.36700000000000005,610.0,16.0,41.0,185.0,,2.0,8.0,4.0,45.0,18.0,,
7,"Nelson, Haylee",Fr,MB,6-0,97,,97,27.0,11.0,191,81,467,0.23600000000000002,3.0,1.0,5.0,27.0,,3.0,53.0,5.0,221.5,1.0,,
6,"Zdroik, Kaitlynn",Jr,S,5-9,89,,89,25.0,12.0,4,4,22,0.0,462.0,23.0,12.0,119.0,,,,1.0,27.0,25.0,,
16,"Bettenay, Caitlin",Jr,OH,5-11,89,,89,26.0,20.0,195,96,657,0.151,12.0,24.0,25.0,217.0,21.0,,26.0,7.0,232.0,,,
15,"Thomison, Ryann",So,MB,6-0,88,,88,25.0,17.0,129,36,332,0.28,4.0,,2.0,13.0,,6.0,62.0,2.0,166.0,,,
14,"Vido, Fernanda",Jr,OH,5-10,80,,80,21.0,19.0,219,136,684,0.121,13.0,18.0,18.0,174.0,38.0,3.0,21.0,4.0,250.5,,,
1,"Lousi, Latahevai",So,OH,6-0,77,,77,20.0,18.0,239,106,591,0.225,4.0,1.0,7.0,37.0,,3.0,47.0,3.0,266.5,3.0,,
11,"Smevog, Sarah",Fr,L,5-5,52,,52,19.0,3.0,1,0,1,1.0,5.0,5.0,14.0,84.0,5.0,,,,6.0,,,
3,"Gavio, Giulia",Sr,OH,6-0,42,,42,14.0,9.0,85,47,212,0.179,3.0,6.0,7.0,57.0,23.0,2.0,8.0,1.0,97.0,,,
13,"Barnes, Whitney",Fr,OH,5-11,38,,38,14.0,5.0,38,28,111,0.09,4.0,1.0,5.0,20.0,3.0,2.0,13.0,1.0,47.5,,,
10,"Schwarz, Tabea",Fr,OH,6-0,14,,14,6.0,3.0,13,9,33,0.121,2.0,,2.0,8.0,2.0,,3.0,2.0,14.5,,,
5,"Parts, Laura",So,MB,6-2,10,,10,4.0,1.0,19,14,45,0.111,2.0,,,5.0,,,3.0,,20.5,,,
-,TEAM,-,-,-,-,-,21,13.0,,0,0,0,,,,,,12.0,,,,,,,
-,Totals,-,-,-,-,-,103,,,1354,621,3643,0.201,1248.0,172.0,232.0,1491.0,134.0,32.0,317.0,34.0,1716.5,48.0,,
-,Opponent Totals,-,-,-,-,-,103,,,1205,488,3464,0.207,1121.0,134.0,191.0,1445.0,172.0,35.0,426.0,41.0,1587.0,26.0,,
