Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
7,"Enna, Izzy",So,DS,5-8,123,,123,34.0,,1,0,3,0.33299999999999996,64.0,31.0,44.0,362.0,30.0,,,,32.0,,,
16,"Hillegas, Hali",Jr,L,5-6,123,,123,34.0,1.0,4,1,9,0.33299999999999996,56.0,22.0,50.0,493.0,19.0,,,,26.0,2.0,,
14,"Schaben, Jess",Sr,OH,6-2,123,,123,34.0,34.0,516,155,1445,0.25,27.0,8.0,21.0,362.0,38.0,12.0,63.0,6.0,567.5,1.0,,
11,"Mauck, Piper",So,S,6-1,115,,115,32.0,31.0,74,21,197,0.26899999999999996,1290.0,19.0,29.0,233.0,2.0,7.0,65.0,9.0,132.5,27.0,,
6,"Holthaus, Eleanor",Fr,RS,6-1,113,,113,32.0,32.0,268,87,670,0.27,13.0,5.0,4.0,76.0,2.0,3.0,86.0,12.0,319.0,2.0,,
10,"Lazard, Grace",Sr,MB,6-2,104,,104,29.0,29.0,295,84,618,0.341,19.0,29.0,49.0,69.0,,14.0,112.0,7.0,394.0,2.0,,
17,"Herrera, Candelaria",So,MB,6-1,100,,100,30.0,24.0,180,67,455,0.248,4.0,,3.0,27.0,,8.0,103.0,5.0,239.5,2.0,,
4,"Herbst, Josie",Jr,OH,5-10,100,,100,30.0,11.0,240,89,690,0.21899999999999997,1.0,10.0,28.0,107.0,4.0,4.0,42.0,7.0,275.0,2.0,,
2,"Baranski, Taylor",Fr,DS,5-6,90,,90,29.0,13.0,1,1,7,0.0,10.0,,11.0,162.0,13.0,,,,1.0,1.0,,
5,"Andersen, Brooke",Fr,OH,6-0,51,,51,16.0,9.0,36,24,134,0.09,9.0,9.0,13.0,91.0,5.0,,11.0,4.0,50.5,1.0,,
1,"Bailey, Hannah",Sr,RS,6-3,43,,43,20.0,5.0,40,27,121,0.107,2.0,4.0,11.0,17.0,,1.0,23.0,4.0,56.5,1.0,,
3,"Brandt, Jenna",Fr,S,5-10,39,,39,21.0,4.0,12,3,32,0.281,142.0,4.0,8.0,31.0,,,11.0,,21.5,8.0,,
15,"Rhodes, Avery",So,MB,6-2,30,,30,9.0,8.0,59,22,147,0.252,2.0,,,13.0,,4.0,33.0,5.0,79.5,1.0,,
13,"Hart, Meegan",So,MB,6-2,9,,9,4.0,3.0,15,6,34,0.265,,,,1.0,,1.0,10.0,2.0,21.0,,,
-,TEAM,-,-,-,-,-,21,16.0,,0,0,0,,,,,,21.0,,,,,,,
-,Totals,-,-,-,-,-,123,,,1741,587,4562,0.253,1639.0,141.0,271.0,2044.0,134.0,54.0,559.0,61.0,2215.5,50.0,,
-,Opponent Totals,-,-,-,-,-,123,,,1569,700,4627,0.188,1460.0,134.0,197.0,1976.0,141.0,36.0,365.0,68.0,1921.5,19.0,,
