Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
8,"Petersen, Sydney",Fr,,-,101,,101,28.0,,2,0,3,0.667,67.0,23.0,31.0,362.0,30.0,,,,25.0,,,
1,"White, Micaya",Jr,OH,6-1,101,,101,28.0,28.0,391,88,1006,0.301,22.0,21.0,71.0,244.0,17.0,6.0,46.0,12.0,441.0,1.0,,
12,"Johnson, Morgan",Sr,MB,6-3,101,,101,28.0,28.0,175,42,380,0.35,7.0,2.0,15.0,27.0,1.0,6.0,105.0,9.0,235.5,,,
10,"Butler, Brionne",So,MB,6-4,101,,101,28.0,28.0,204,59,405,0.358,7.0,11.0,19.0,53.0,1.0,9.0,121.0,23.0,284.5,,,
4,"Hahn, Claire",Jr,L,5-5,101,,101,28.0,7.0,2,1,3,0.33299999999999996,41.0,12.0,19.0,151.0,21.0,,,,14.0,,,
33,"Eggleston, Logan",Fr,,-,100,,100,28.0,21.0,312,105,745,0.278,2.0,22.0,49.0,97.0,9.0,6.0,46.0,3.0,363.0,1.0,,
13,"Rounsaville, Autumn",Jr,L,5-5,98,,98,27.0,7.0,1,0,10,0.1,25.0,1.0,4.0,160.0,8.0,,,1.0,2.0,1.0,,
9,"Shook, Ashley",So,S,6-1,81,,81,26.0,19.0,41,13,104,0.26899999999999996,742.0,10.0,22.0,138.0,,2.0,36.0,6.0,71.0,10.0,,
2,"Gabriel, Jhenna",Fr,,-,80,,80,27.0,9.0,8,5,24,0.125,393.0,11.0,16.0,55.0,,,15.0,2.0,26.5,2.0,,
27,"Bedart-Ghani, Yaasmeen",Sr,OH,6-4,76,,76,23.0,14.0,204,46,423,0.374,2.0,3.0,9.0,36.0,,,61.0,4.0,237.5,,,
21,"Luketic, Katarina",Fr,,-,31,,31,11.0,7.0,59,31,143,0.196,1.0,,,6.0,,,27.0,3.0,72.5,,,
34,"Agbaji, Orie",Jr,MB,6-2,5,,5,5.0,,5,3,15,0.133,,,1.0,2.0,,,1.0,,5.5,,,
3,"Fisbeck, Riley",Jr,S,6-1,4,,4,4.0,,0,0,0,,2.0,,2.0,2.0,,,,,,1.0,,
22,"Westerlund, Blair",Jr,MB,6-3,1,,1,1.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,12,10.0,,0,0,0,,,,,,13.0,,,,,,,
-,Totals,-,-,-,-,-,101,,,1404,393,3261,0.31,1311.0,116.0,258.0,1333.0,100.0,29.0,458.0,63.0,1778.0,16.0,,
-,Opponent Totals,-,-,-,-,-,101,,,1268,587,3443,0.198,1208.0,100.0,220.0,1331.0,116.0,19.0,285.0,55.0,1529.5,27.0,,
