Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
17,"Baker, Haley",Sr,S,5-10,101,,101,29.0,21.0,26,7,62,0.306,510.0,18.0,48.0,158.0,1.0,,5.0,2.0,46.5,28.0,,
7,"Purcell, Elyssa",Jr,RS,5-10,100,,100,29.0,14.0,214,89,607,0.20600000000000002,9.0,,3.0,53.0,1.0,1.0,37.0,3.0,233.5,,,
16,"Torres, Lexie",Sr,DS,5-4,99,,99,29.0,2.0,17,7,57,0.175,50.0,8.0,19.0,328.0,29.0,,,,25.0,7.0,,
10,"Gomez, Sam",So,MB,6-0,96,,96,28.0,28.0,152,65,383,0.22699999999999998,8.0,1.0,5.0,26.0,2.0,26.0,53.0,10.0,205.5,,,
13,"Pratt, Alexis",So,DS,5-7,93,,93,28.0,7.0,1,0,14,0.071,17.0,7.0,11.0,197.0,48.0,,,,8.0,,,
15,"Golden, Caroline",So,OH,5-9,92,,92,29.0,25.0,190,149,667,0.061,39.0,21.0,39.0,231.0,30.0,1.0,11.0,6.0,217.5,1.0,,
8,"Vaughn, Tempestt",So,MB,6-0,92,,92,27.0,27.0,94,51,281,0.153,5.0,10.0,18.0,35.0,,6.0,50.0,6.0,135.0,3.0,,
21,"Edo, Jodi",Jr,MB,5-9,86,,86,27.0,20.0,190,108,522,0.157,3.0,,,19.0,4.0,9.0,28.0,4.0,213.0,,,
22,"Mirarchi, Michelle",So,S,5-10,84,,84,25.0,8.0,18,2,66,0.242,333.0,19.0,11.0,128.0,2.0,,1.0,,37.5,17.0,,
9,"Katchen, Maddy",So,OH,6-1,75,,75,26.0,13.0,115,87,467,0.06,5.0,3.0,6.0,43.0,15.0,3.0,14.0,1.0,128.0,1.0,,
14,"Simovic, Jo",Jr,RS,6-1,38,,38,17.0,4.0,33,21,150,0.08,2.0,,,13.0,,3.0,13.0,1.0,42.5,1.0,,
3,"Caluda, Amanda",Fr,DS,5-2,34,,34,15.0,1.0,0,0,1,0.0,3.0,4.0,7.0,49.0,9.0,,,,4.0,,,
6,"Calvaruso, Marisa",So,OH,6-0,19,,19,8.0,3.0,7,7,30,0.0,,1.0,4.0,2.0,,,5.0,2.0,10.5,,,
12,"Bateman, Grayce",So,MB,6-2,10,,10,7.0,1.0,6,6,26,0.0,1.0,,,1.0,1.0,,5.0,,8.5,,,
-,TEAM,-,-,-,-,-,43,22.0,,3,0,3,1.0,3.0,,,,31.0,,,,3.0,,,
-,Totals,-,-,-,-,-,101,,,1066,599,3336,0.14,988.0,92.0,171.0,1283.0,173.0,49.0,222.0,35.0,1318.0,58.0,,
-,Opponent Totals,-,-,-,-,-,101,,,1379,472,3355,0.27,1281.0,174.0,237.0,1394.0,92.0,60.0,291.0,24.0,1758.5,67.0,,
