Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
14,"Venable, Emily",Jr,DS,5-8,100,,100,29.0,1.0,3,2,17,0.059000000000000004,54.0,27.0,30.0,359.0,39.0,,,1.0,30.0,,,
2,"Hill, Brieanna",Sr,OH,5-10,99,,99,29.0,25.0,222,96,691,0.182,10.0,4.0,7.0,71.0,9.0,11.0,34.0,8.0,254.0,2.0,,
10,"Carpenter, Heidi",Jr,S,5-9,99,,99,29.0,29.0,155,126,553,0.052000000000000005,380.0,26.0,46.0,224.0,23.0,2.0,17.0,4.0,191.5,27.0,2.0,
7,"Iwunze, Kimberly",So,MB,5-11,98,,98,29.0,28.0,141,66,415,0.18100000000000002,9.0,2.0,4.0,26.0,,15.0,30.0,12.0,173.0,3.0,,
6,"Piper, Jade",Sr,S,6-0,96,,96,29.0,12.0,8,10,46,-0.043,469.0,18.0,29.0,131.0,1.0,1.0,12.0,2.0,33.0,15.0,,
3,"Perry, Alexa",Sr,DS,5-7,92,,92,28.0,13.0,2,0,3,0.667,7.0,11.0,17.0,194.0,22.0,,,,13.0,,,
8,"Burras, Aaliyah",Fr,MB,6-0,90,,90,27.0,26.0,140,73,372,0.18,6.0,24.0,46.0,58.0,,21.0,48.0,11.0,209.0,,,
15,"Jones, Katie",Fr,RS,6-2,67,,67,26.0,10.0,150,78,459,0.157,2.0,3.0,9.0,22.0,11.0,3.0,7.0,2.0,159.5,1.0,,
19,"Swann, Sydney",So,OH,5-10,57,,57,22.0,7.0,62,33,203,0.14300000000000002,4.0,4.0,9.0,50.0,4.0,,1.0,,66.5,,,
1,"Olivarez, Jennifer",Jr,OH,5-10,55,,55,20.0,11.0,69,47,296,0.07400000000000001,6.0,9.0,29.0,93.0,34.0,3.0,6.0,,84.0,1.0,,
5,"Lockhart, Kylie",Fr,DS,5-7,53,,53,23.0,1.0,1,1,5,0.0,15.0,6.0,11.0,108.0,18.0,,,,7.0,,,
9,"Gauthreaux, Emily",Fr,OH,6-1,40,,40,17.0,5.0,59,43,254,0.063,1.0,1.0,5.0,20.0,8.0,2.0,8.0,,66.0,,,
13,"Frederick, Lydia",So,MB,6-1,30,,30,13.0,6.0,17,11,59,0.102,,,,4.0,,2.0,11.0,3.0,24.5,,,
18,"Lowe, Maddie",Fr,MB,6-1,9,,9,7.0,,5,4,21,0.048,,,,4.0,,,,2.0,5.0,,,
17,"Wozniak, Meghan",So,S,6-0,1,,1,1.0,,0,1,2,-0.5,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,34,18.0,,0,0,0,,1.0,,,,28.0,,,,,,,
-,Totals,-,-,-,-,-,100,,,1034,591,3396,0.13,964.0,135.0,242.0,1364.0,197.0,60.0,174.0,45.0,1316.0,49.0,,
-,Opponent Totals,-,-,-,-,-,100,,,1257,428,3218,0.258,1171.0,198.0,228.0,1477.0,135.0,40.0,398.0,41.0,1694.0,61.0,,
