Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
12,"Hallow, Maggie",Jr,DS,5-9,104,,104,29.0,1.0,2,0,3,0.667,90.0,13.0,10.0,429.0,24.0,,,,15.0,,,
3,"Wood, Bri",So,RS,5-10,103,,103,29.0,28.0,237,89,789,0.188,35.0,10.0,6.0,310.0,19.0,3.0,47.0,1.0,273.5,,,
99,"Osuegbu, Toya",Jr,MB,5-11,99,,99,29.0,28.0,207,86,488,0.248,2.0,1.0,6.0,30.0,2.0,6.0,81.0,17.0,254.5,1.0,,
16,"Willis, Alden",Fr,DS,5-4,96,,96,29.0,2.0,0,2,3,-0.667,24.0,16.0,9.0,177.0,20.0,,,,16.0,1.0,,
2,"Martin, Shelby",So,S,5-11,95,,95,28.0,24.0,125,46,288,0.27399999999999997,836.0,18.0,36.0,203.0,,2.0,36.0,9.0,163.0,34.0,1.0,
41,"Kleinman, Sydney",So,OH,6-2,91,,91,26.0,24.0,234,143,710,0.128,30.0,22.0,40.0,190.0,28.0,4.0,35.0,2.0,277.5,,,
18,"Riley, S'Mara",Fr,MB,5-10,88,,88,27.0,20.0,154,60,409,0.23,2.0,,,29.0,1.0,6.0,67.0,7.0,193.5,,,
20,"Hudson, Brianna",Jr,DS,5-6,88,,88,27.0,1.0,0,0,0,,10.0,16.0,10.0,63.0,2.0,,,,16.0,,,
8,"Tyson, Natalie",Fr,OH,5-8,80,,80,27.0,19.0,185,79,550,0.193,12.0,9.0,15.0,110.0,23.0,2.0,19.0,3.0,205.5,,,
32,"Hall, Sydney",Fr,MB,6-1,59,,59,21.0,12.0,89,46,271,0.159,2.0,2.0,4.0,11.0,,10.0,29.0,8.0,115.5,,,
4,"Dunn, Samantha",So,DS,5-8,43,,43,19.0,,0,0,0,,1.0,3.0,3.0,9.0,,,,,3.0,,,
7,"Hiebert, Page",Jr,OH,6-0,27,,27,14.0,5.0,20,12,98,0.08199999999999999,1.0,2.0,3.0,17.0,2.0,,2.0,,23.0,,,
6,"Clark, Madison",Sr,S,6-2,25,,25,12.0,3.0,14,5,44,0.205,90.0,4.0,,28.0,,2.0,5.0,,22.5,1.0,,
9,"Jefferies, Janiece",Fr,S,5-10,11,,11,7.0,2.0,0,1,2,-0.5,49.0,1.0,1.0,16.0,,,1.0,1.0,1.5,1.0,,
11,"Vanderhorst, Kalee",So,OH,5-10,9,,9,4.0,4.0,16,6,53,0.18899999999999997,,,1.0,11.0,,,3.0,,17.5,,,
14,"Heyliger-Powell, Kaiya",So,OH,6-1,6,,6,5.0,1.0,5,6,22,-0.045,,,,2.0,,,1.0,1.0,5.5,,,
-,TEAM,-,-,-,-,-,21,15.0,,0,0,0,,,,,,22.0,,,,,,,
-,Totals,-,-,-,-,-,104,,,1288,581,3730,0.19,1184.0,117.0,144.0,1635.0,143.0,35.0,326.0,49.0,1603.0,38.0,,
-,Opponent Totals,-,-,-,-,-,104,,,1337,572,3785,0.20199999999999999,1266.0,143.0,199.0,1619.0,118.0,39.0,304.0,54.0,1671.0,44.0,,
