Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
1,"Allison, Mica",Fr,S,6-1,105,,105,28.0,28.0,79,38,236,0.174,1055.0,12.0,57.0,191.0,,1.0,49.0,8.0,116.5,26.0,,
9,"Beasley, Karis",Jr,OH,5-9,105,,105,28.0,20.0,6,3,24,0.125,15.0,22.0,49.0,229.0,21.0,,,,28.0,4.0,,
8,"McIlroy, Brenna",Sr,OH,5-11,104,,104,28.0,26.0,312,128,933,0.19699999999999998,27.0,48.0,69.0,252.0,14.0,6.0,30.0,4.0,381.0,,,
10,"Jones, Gwyn",Jr,MB,6-3,104,,104,28.0,20.0,221,71,545,0.275,2.0,,,31.0,,2.0,54.0,3.0,250.0,1.0,,
6,"Rosenthall, Bella",Fr,L/DS,5-5,103,,103,28.0,,1,0,6,0.16699999999999998,65.0,16.0,23.0,339.0,26.0,,,,17.0,4.0,,
3,"White, Payton",So,L/DS,5-7,102,,102,27.0,8.0,0,3,6,-0.5,43.0,16.0,30.0,156.0,18.0,,,,16.0,,,
22,"Stevenson, Anna",So,MB,6-1,79,,79,22.0,21.0,169,65,386,0.26899999999999996,6.0,2.0,14.0,25.0,,18.0,73.0,12.0,225.5,6.0,,
4,"White, Shaina",Jr,MB,6-1,73,,73,24.0,18.0,102,27,228,0.32899999999999996,2.0,4.0,8.0,52.0,,5.0,47.0,5.0,134.5,,,
7,"McClellan, Chesney",So,MB,6-4,68,,68,21.0,15.0,97,38,242,0.244,3.0,,,12.0,,5.0,45.0,4.0,124.5,1.0,,
12,"Rowland, Taylor",Fr,OH,6-3,67,,67,21.0,6.0,189,92,552,0.17600000000000002,1.0,,,29.0,4.0,3.0,12.0,2.0,198.0,,,
21,"Shipes, Tatum",Fr,OH,6-4,59,,59,21.0,4.0,147,63,403,0.20800000000000002,1.0,,,30.0,4.0,6.0,18.0,2.0,162.0,1.0,,
11,"Kull, Morgan",So,S,5-9,25,,25,12.0,1.0,0,0,0,,8.0,,4.0,7.0,,,,,,1.0,,
14,"Persons, Katie",Fr,L/DS,5-3,8,,8,5.0,,0,0,0,,2.0,2.0,2.0,9.0,2.0,,,,2.0,,,
13,"Bidzane, Enija",Jr,OH,5-9,2,,2,2.0,,0,1,1,-1.0,,,1.0,,,,,,,,,
16,"Green, Val",Fr,OH,6-2,1,,1,1.0,,0,0,0,,,,1.0,,,,,,,,,
2,"Thompson, Isabella",Sr,MB,6-0,1,,1,1.0,1.0,1,0,1,1.0,,,,,,,,,1.0,,,
-,TEAM,-,-,-,-,-,16,14.0,,0,0,0,,,,,,19.0,,,,,,,
-,Totals,-,-,-,-,-,105,,,1324,529,3563,0.223,1230.0,122.0,258.0,1362.0,108.0,46.0,328.0,40.0,1656.0,44.0,,
-,Opponent Totals,-,-,-,-,-,105,,,1408,552,3527,0.243,1301.0,108.0,216.0,1472.0,121.0,55.0,311.0,54.0,1726.5,26.0,,
