Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
15,"Swackenberg, Karysa",Jr,L/DS,5-8,114,,114,33.0,,4,2,14,0.14300000000000002,87.0,25.0,21.0,357.0,29.0,,,,29.0,,,
10,"Balyko, Inna",Fr,S,6-0,114,,114,33.0,33.0,64,23,154,0.266,1063.0,29.0,39.0,254.0,1.0,9.0,89.0,4.0,146.5,26.0,,
18,"Stackhouse, Jasmine",Jr,MB,6-3,108,,108,31.0,31.0,159,70,400,0.223,3.0,,1.0,19.0,3.0,10.0,110.0,19.0,224.0,1.0,,
3,"McLetchie, Sahbria",Sr,OH,5-10,103,,103,30.0,30.0,312,177,868,0.156,8.0,10.0,28.0,133.0,29.0,11.0,47.0,15.0,356.5,2.0,,
1,"Kojadinovic, Beka",So,RS,6-0,103,,103,32.0,31.0,204,109,549,0.17300000000000001,28.0,24.0,52.0,203.0,34.0,4.0,59.0,5.0,261.5,,,
13,"Cieslik, Kamila",So,RS,5-11,84,,84,28.0,7.0,63,54,235,0.038,10.0,8.0,22.0,112.0,29.0,,15.0,6.0,78.5,,,
11,"Weidt, Merle",Fr,OPP,6-1,82,,82,27.0,23.0,110,54,272,0.20600000000000002,13.0,7.0,22.0,43.0,1.0,5.0,76.0,11.0,160.0,,,
4,"Marmen, Tali",Fr,OH,6-2,72,,72,23.0,19.0,165,82,484,0.171,15.0,12.0,14.0,100.0,29.0,6.0,18.0,6.0,192.0,1.0,,
7,"Maksimova, Anastasiia",Fr,OH,6-1,57,,57,26.0,9.0,105,54,299,0.171,9.0,7.0,17.0,87.0,19.0,,12.0,1.0,118.0,,,
5,"Miljevic, Stasa",Jr,MB,6-3,44,,44,15.0,12.0,62,13,150,0.327,3.0,8.0,24.0,19.0,,5.0,59.0,1.0,104.5,,,
9,"Kudryashova, Nastya",Fr,MB,6-4,36,,36,18.0,3.0,62,40,203,0.10800000000000001,4.0,7.0,11.0,28.0,3.0,,14.0,,76.0,,,
8,"Kamshilina, Yana",So,OH,6-0,28,,28,15.0,,0,2,10,-0.2,2.0,2.0,7.0,15.0,8.0,,1.0,,2.5,,,
-,TEAM,-,-,-,-,-,25,16.0,,0,0,0,,,,,,18.0,,,,,,,
-,Totals,-,-,-,-,-,114,,,1310,680,3638,0.17300000000000001,1245.0,139.0,258.0,1370.0,203.0,50.0,500.0,68.0,1749.0,30.0,,
-,Opponent Totals,-,-,-,-,-,114,,,1457,574,3658,0.24100000000000002,1369.0,203.0,189.0,1422.0,139.0,82.0,400.0,64.0,1942.0,20.0,,
