Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
3,"Wood, Kalie",Jr,L/DS,5-8,87,,87,24.0,,0,0,5,0.0,95.0,29.0,30.0,362.0,23.0,,,,29.0,2.0,,
8,"Cheng, Audrey",So,S,5-9,87,,87,24.0,21.0,89,15,216,0.34299999999999997,742.0,4.0,13.0,194.0,2.0,3.0,42.0,3.0,117.0,24.0,,
13,"Wilkins, Lauren",Sr,OH,6-1,85,,85,24.0,23.0,196,111,633,0.134,16.0,6.0,27.0,111.0,20.0,,31.0,6.0,217.5,3.0,,
4,"Compton, Rose",Jr,MB,6-3,82,,82,24.0,22.0,31,20,125,0.08800000000000001,2.0,7.0,11.0,24.0,,16.0,47.0,9.0,77.5,1.0,,
1,"Del Valle, Luciana",Sr,OH,5-11,81,,81,24.0,19.0,135,70,477,0.136,45.0,15.0,15.0,190.0,16.0,1.0,31.0,6.0,166.5,8.0,,
18,"Teehan, Emily",Fr,OH,6-0,79,,79,22.0,22.0,265,133,689,0.192,28.0,29.0,42.0,203.0,28.0,2.0,14.0,3.0,303.0,,,
9,"Lamus, Isa",Fr,MB,6-0,60,,60,17.0,16.0,116,51,298,0.218,5.0,3.0,13.0,17.0,2.0,8.0,43.0,12.0,148.5,1.0,,
15,"Campbell, Grace",Jr,S,6-0,57,,57,20.0,3.0,3,2,8,0.125,24.0,16.0,19.0,23.0,,,,,19.0,1.0,,
7,"Stenglein, Shari",Fr,S,5-9,45,,45,18.0,,0,1,9,-0.111,44.0,7.0,14.0,62.0,2.0,,,,7.0,,,
11,"Kosowicz, Natasha",Sr,OH,6-0,44,,44,17.0,2.0,19,11,82,0.098,3.0,2.0,4.0,45.0,7.0,,,,21.0,,,
12,"Casey, Madeleine",Sr,S,5-11,43,,43,16.0,6.0,84,43,238,0.172,4.0,2.0,7.0,36.0,,,9.0,,90.5,2.0,,
10,"Ikwuazom, Chichi",Jr,MB,6-1,39,,39,12.0,10.0,133,39,269,0.349,,3.0,5.0,2.0,1.0,3.0,37.0,2.0,157.5,,,
6,"Schultz, Kaitlin",So,MB,6-0,26,,26,15.0,,8,7,31,0.032,2.0,4.0,1.0,13.0,,1.0,2.0,1.0,14.0,1.0,,
2,"Ward, Madelyn",So,OH,6-0,14,,14,9.0,,4,6,27,-0.07400000000000001,2.0,,,6.0,3.0,,2.0,,5.0,1.0,,
-,TEAM,-,-,-,-,-,17,11.0,,0,0,0,,,,,,6.0,,,,,,,
-,Totals,-,-,-,-,-,87,,,1083,509,3107,0.185,1012.0,127.0,201.0,1288.0,110.0,34.0,258.0,42.0,1373.0,44.0,,
-,Opponent Totals,-,-,-,-,-,87,,,1068,399,2984,0.22399999999999998,981.0,110.0,164.0,1223.0,127.0,41.0,343.0,55.0,1390.5,28.0,,
