Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
1,"Dohar, Rachael",Sr,DS,5-4,114,,114,29.0,3.0,0,2,39,-0.051,78.0,15.0,27.0,579.0,18.0,,,,15.0,1.0,,
23,"Hall, Trinniti",Jr,MH,5-10,114,,114,29.0,27.0,322,99,833,0.268,2.0,14.0,10.0,101.0,1.0,20.0,106.0,9.0,409.0,,,
4,"Greene, Hannah",So,MH,6-1,114,,114,29.0,29.0,188,75,471,0.24,3.0,,,25.0,1.0,15.0,157.0,26.0,281.5,,,
10,"DeGeorge, Emily",So,OH,5-9,114,,114,29.0,29.0,254,103,935,0.161,32.0,18.0,29.0,437.0,16.0,4.0,46.0,7.0,299.0,,,
14,"Conner, Mackenzie",Fr,DS,5-6,111,,111,29.0,24.0,3,5,35,-0.057,38.0,14.0,15.0,280.0,27.0,,,,17.0,1.0,,
13,"Verbiak, Jordan",Jr,DS,5-3,111,,111,29.0,,0,2,9,-0.222,32.0,18.0,42.0,291.0,18.0,,,,18.0,1.0,,
6,"Grecol, Christina",Fr,S,5-8,110,,110,29.0,29.0,55,14,201,0.204,1091.0,8.0,18.0,215.0,,,34.0,5.0,80.0,10.0,,
7,"Stover, Rachel",Sr,OH,6-2,106,,106,29.0,27.0,219,90,704,0.183,2.0,1.0,2.0,70.0,,2.0,116.0,13.0,280.0,,,
16,"Skeens, Sara",Jr,OH,5-11,104,,104,29.0,1.0,313,179,928,0.14400000000000002,5.0,1.0,2.0,63.0,1.0,6.0,51.0,9.0,345.5,,,
3,"Schoen, Halle",So,OH,5-11,53,,53,24.0,,3,1,9,0.222,1.0,2.0,4.0,14.0,2.0,,,,5.0,,,
19,"Herman, Jessica",So,DS,5-5,46,,46,22.0,,0,0,0,,1.0,2.0,8.0,10.0,1.0,,,,2.0,,,
15,"Pierce, Ambre",So,MH,5-11,37,,37,19.0,3.0,35,18,139,0.122,,4.0,10.0,8.0,,3.0,25.0,1.0,54.5,,,
18,"Tout, Lindsey",Fr,DS,5-7,20,,20,13.0,,0,0,3,0.0,2.0,2.0,3.0,21.0,3.0,,,,2.0,,,
12,"Portis, London",Fr,OH,5-10,18,,18,9.0,2.0,16,12,64,0.062,,,,6.0,,1.0,5.0,1.0,19.5,,,
11,"Jorn, Katie",Jr,S,5-8,12,,12,8.0,,7,1,14,0.429,52.0,1.0,1.0,13.0,,,6.0,1.0,11.0,1.0,,
9,"Voiebuna, Georgiana",So,DS,5-3,2,,2,2.0,,0,0,0,,,,1.0,,,,,,,,,
-,TEAM,-,-,-,-,-,18,13.0,,0,0,0,,,,,,17.0,,,,,,,
-,Totals,-,-,-,-,-,114,,,1415,601,4384,0.18600000000000003,1339.0,100.0,172.0,2133.0,105.0,51.0,546.0,72.0,1839.0,14.0,,
-,Opponent Totals,-,-,-,-,-,114,,,1469,744,4657,0.156,1376.0,105.0,193.0,2146.0,100.0,29.0,364.0,43.0,1785.0,41.0,,
