Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
13,"Young, Victoria",Sr,MB,6-1,100,,100,28.0,28.0,201,80,475,0.255,5.0,17.0,17.0,30.0,,22.0,63.0,19.0,271.5,,,
18,"Holderfield, Shelby",So,S,5-8,100,,100,28.0,28.0,60,18,160,0.263,1041.0,24.0,16.0,206.0,,,15.0,3.0,91.5,13.0,,
6,"Rudolph, Emily",Sr,MB,6-0,99,,99,28.0,28.0,188,71,453,0.258,2.0,2.0,9.0,19.0,3.0,9.0,83.0,5.0,240.5,3.0,,
5,"Carlile, Abby",So,OPP,5-11,96,,96,28.0,25.0,286,120,660,0.252,4.0,2.0,22.0,111.0,4.0,6.0,61.0,18.0,324.5,,,
16,"Martinez, Emily",Sr,L/DS,5-8,93,,93,28.0,1.0,1,1,4,0.0,41.0,21.0,32.0,243.0,24.0,,,,22.0,1.0,,
11,"Muller, Brianna",Fr,L/DS,5-2,92,,92,26.0,2.0,6,0,17,0.353,55.0,16.0,13.0,257.0,22.0,,,,22.0,,,
10,"Mitchell, Emma",Jr,OH,6-0,91,,91,27.0,24.0,231,101,790,0.165,8.0,24.0,27.0,179.0,24.0,2.0,26.0,11.0,270.0,1.0,,
2,"Kells, Alex",So,OH,6-0,83,,83,26.0,25.0,198,118,609,0.131,17.0,18.0,37.0,195.0,34.0,6.0,30.0,6.0,237.0,,,
8,"Gilchrist, Kaylee",Jr,L/DS,5-6,82,,82,28.0,,1,1,2,0.0,8.0,11.0,16.0,88.0,8.0,,,,12.0,,,
15,"D'Cruz, Anna",So,MB,6-3,59,,59,25.0,,10,2,27,0.29600000000000004,2.0,,1.0,4.0,,1.0,2.0,5.0,12.0,1.0,,
23,"Tinglin, Jillian",Sr,OH,5-9,47,,47,19.0,6.0,78,43,238,0.147,2.0,,1.0,20.0,5.0,3.0,10.0,4.0,86.0,,,
4,"Schilling, Erica",Fr,DS,5-7,47,,47,20.0,,0,0,0,,5.0,5.0,7.0,38.0,6.0,,,,5.0,,,
14,"Fuller, Haley",So,OPP,5-11,13,,13,7.0,1.0,11,11,46,0.0,,1.0,2.0,8.0,2.0,,5.0,,14.5,,,
3,"Garrett, Barbara",Jr,DS,5-6,3,,3,3.0,,0,0,0,,,,,,1.0,,,,,,,
12,"Michaelson, Mya",Fr,MB,6-0,3,,3,3.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,31,17.0,,0,0,0,,,,,,14.0,,,,,,,
-,Totals,-,-,-,-,-,100,,,1271,566,3481,0.203,1190.0,141.0,200.0,1398.0,147.0,49.0,295.0,71.0,1608.5,19.0,,
-,Opponent Totals,-,-,-,-,-,100,,,1294,536,3474,0.218,1219.0,147.0,222.0,1408.0,141.0,69.0,313.0,63.0,1666.5,35.0,,
