Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
14,"Holland, Bridgette",Jr,MB,6-0,99,,99,27.0,27.0,210,84,542,0.23199999999999998,3.0,,,21.0,,10.0,65.0,10.0,252.5,,,
1,"Bonanno, Alex",So,S,5-10,95,,95,27.0,25.0,35,10,83,0.301,716.0,22.0,25.0,213.0,1.0,,27.0,,70.5,27.0,,
22,"Bullard, Sophie",Jr,OH,5-10,94,,94,27.0,24.0,233,124,828,0.132,22.0,16.0,52.0,300.0,29.0,4.0,20.0,3.0,263.0,2.0,,
16,"Richards, Mimi",Jr,MB,6-1,92,,92,26.0,26.0,204,80,481,0.258,5.0,13.0,20.0,47.0,1.0,16.0,84.0,15.0,275.0,1.0,,
33,"Stark, Brooke",So,L,5-7,91,,91,25.0,,2,0,7,0.28600000000000003,56.0,24.0,41.0,331.0,28.0,,,,26.0,,,
15,"Burke, Jennifer",Fr,,-,82,,82,25.0,20.0,111,58,353,0.15,7.0,19.0,12.0,82.0,1.0,3.0,41.0,3.0,153.5,,,
2,"Buchholz, Blake",Sr,OH,5-9,81,,81,26.0,24.0,164,74,598,0.151,9.0,12.0,23.0,189.0,28.0,5.0,27.0,3.0,194.5,,,
11,"Lewis, Delanie",So,OH,5-10,75,,75,26.0,5.0,53,29,192,0.125,19.0,3.0,11.0,163.0,11.0,,13.0,1.0,62.5,,,
4,"Carroll, Anna",So,RS,6-0,55,,55,19.0,3.0,48,34,177,0.079,,2.0,4.0,57.0,,1.0,14.0,1.0,58.0,,,
3,"Ramsey, Charner",So,S,5-11,28,,28,10.0,2.0,8,3,21,0.23800000000000002,106.0,,4.0,16.0,,,3.0,2.0,9.5,10.0,,
10,"Schnobrich, Selby",So,,5-10,26,,26,10.0,,0,0,0,,76.0,,2.0,24.0,,,,,,8.0,,
7,"Baker, Lindsey",Sr,OH,6-0,18,,18,7.0,1.0,8,1,19,0.368,4.0,2.0,3.0,19.0,1.0,1.0,6.0,1.0,14.0,,,
17,"Sottani, Vittoria",Fr,,5-9,17,,17,7.0,3.0,8,8,44,0.0,3.0,5.0,4.0,31.0,1.0,,7.0,,16.5,,,
12,"Risdal, Jamie",Sr,MB,6-2,16,,16,10.0,1.0,13,3,23,0.435,1.0,,2.0,5.0,,,6.0,,16.0,,,
6,"Buchanan, Emma",Fr,,6-2,12,,12,8.0,,4,3,12,0.083,,,3.0,,,,1.0,1.0,4.5,,,
5,"Saler, Kaelyn",Fr,,-,6,,6,5.0,1.0,0,0,3,0.0,1.0,,,1.0,,,,,,,,
8,"Pieroni, Angela",Fr,,5-4,3,,3,2.0,,0,0,0,,,,,2.0,,,,,,,,
-,TEAM,-,-,-,-,-,22,14.0,,0,0,0,,,,1.0,,21.0,,,,,,,
-,Totals,-,-,-,-,-,99,,,1101,511,3383,0.174,1028.0,118.0,207.0,1501.0,122.0,40.0,314.0,40.0,1416.0,48.0,,
-,Opponent Totals,-,-,-,-,-,99,,,1335,563,3656,0.21100000000000002,1247.0,122.0,215.0,1531.0,118.0,55.0,332.0,44.0,1678.0,28.0,,
