Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
13,"Griffith, Catherine",Sr,MB,6-3,103,,103,30.0,30.0,234,61,609,0.284,3.0,14.0,20.0,48.0,,28.0,72.0,6.0,312.0,,,
5,"Schaffer, Albany",Jr,L/DS,5-6,98,,98,30.0,,0,2,6,-0.33299999999999996,37.0,16.0,21.0,259.0,37.0,,,,16.0,,,
14,"Woods, Sarah",Sr,OPP,6-3,96,,96,28.0,1.0,123,70,471,0.113,4.0,,,37.0,1.0,1.0,38.0,7.0,143.0,,,
6,"Blasingame, Kate",Fr,OH,5-10,95,,95,29.0,27.0,205,96,712,0.153,20.0,10.0,20.0,288.0,39.0,4.0,35.0,4.0,236.5,1.0,,
4,"Jenkins, Tara",Sr,S,5-9,91,,91,28.0,25.0,15,7,48,0.16699999999999998,398.0,22.0,10.0,157.0,,,,3.0,37.0,12.0,,
8,"McKay, Katie",Jr,DS,5-7,91,,91,29.0,,1,1,7,0.0,63.0,14.0,15.0,295.0,36.0,,,,15.0,1.0,,
1,"Wood, Taylor",Sr,MB,6-1,88,,88,28.0,28.0,125,69,346,0.162,2.0,1.0,,18.0,1.0,17.0,91.0,14.0,188.5,,,
7,"Williams, Presleigh",Sr,S,5-7,82,,82,25.0,1.0,1,1,16,0.0,360.0,16.0,22.0,123.0,,,,,17.0,18.0,,
11,"Appelman, Lauren",So,OH,6-0,66,,66,23.0,18.0,93,69,394,0.061,10.0,13.0,10.0,110.0,22.0,2.0,19.0,,117.5,,,
17,"Assaley, Cali",Fr,OH,6-0,65,,65,24.0,17.0,96,49,271,0.17300000000000001,5.0,,1.0,22.0,2.0,1.0,29.0,1.0,111.5,,,
15,"Worley, Mikaela",Jr,OH,5-10,56,,56,19.0,15.0,149,59,413,0.218,3.0,1.0,,44.0,18.0,3.0,21.0,3.0,163.5,,,
18,"Wilkerson, Karlee",Fr,OH,6-1,52,,52,18.0,12.0,64,44,229,0.087,5.0,,,19.0,,1.0,36.0,2.0,83.0,,,
9,"Thiede, Mckinley",Fr,S,5-9,42,,42,18.0,4.0,2,4,10,-0.2,143.0,9.0,13.0,57.0,,,,,11.0,5.0,,
16,"Christie, Alix",So,MB,6-2,19,,19,9.0,2.0,18,7,58,0.19,,,,6.0,,3.0,15.0,4.0,28.5,2.0,,
12,"Vann, Emma",Fr,OH,5-11,7,,7,5.0,,3,3,15,0.0,1.0,,,2.0,,,3.0,,4.5,,,
-,TEAM,-,-,-,-,-,31,17.0,,0,0,0,,,,,,18.0,,,,,,,
-,Totals,-,-,-,-,-,104,,,1129,542,3605,0.163,1054.0,116.0,132.0,1485.0,174.0,60.0,359.0,44.0,1484.5,39.0,,
-,Opponent Totals,-,-,-,-,-,104,,,1388,638,3789,0.198,1295.0,174.0,161.0,1701.0,116.0,45.0,321.0,43.0,1767.5,48.0,,
