Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
8,"Petrachi, Emilia",Sr,DS,5-6,112,,112,29.0,,2,0,2,1.0,86.0,13.0,14.0,555.0,15.0,,,,15.0,1.0,,
10,"Lovenberg, Olivia",Fr,S,5-8,112,,112,29.0,28.0,28,6,72,0.306,1255.0,23.0,36.0,243.0,1.0,2.0,23.0,5.0,64.5,25.0,,
4,"Ruddins, Lindsey",Jr,OH,6-2,110,,110,29.0,29.0,587,174,1597,0.259,14.0,41.0,86.0,304.0,20.0,9.0,50.0,2.0,662.0,2.0,,
11,"Robinson, Charlie",Jr,MB,6-0,107,,107,29.0,23.0,192,64,457,0.28,3.0,1.0,3.0,18.0,1.0,4.0,64.0,8.0,229.0,2.0,,
23,"Glasker, Torre",Jr,OH,5-9,105,,105,27.0,21.0,212,113,652,0.152,19.0,32.0,58.0,319.0,29.0,4.0,29.0,5.0,262.5,,,
1,"Fleck, Zoe",Fr,L,5-6,105,,105,29.0,10.0,2,1,6,0.16699999999999998,25.0,23.0,31.0,214.0,11.0,,,,25.0,,,
2,"Ennis, Rowan",Jr,MB,6-1,104,,104,28.0,26.0,219,63,568,0.275,3.0,4.0,12.0,44.0,1.0,10.0,68.0,4.0,267.0,,,
20,"Rottman, Lexi",Sr,S,5-6,103,,103,28.0,3.0,0,0,0,,21.0,28.0,28.0,50.0,,,,,28.0,1.0,,
16,"Omwanghe, Nicole",So,MB,6-2,60,,60,22.0,9.0,69,34,188,0.18600000000000003,1.0,1.0,2.0,17.0,,6.0,43.0,3.0,97.5,,,
18,"Hasselmann, Annie",Sr,S,6-0,56,,56,25.0,3.0,16,13,78,0.038,4.0,7.0,11.0,17.0,,,7.0,1.0,26.5,,,
7,"Ruddins, Gigi",Fr,OH,6-1,47,,47,15.0,9.0,116,46,359,0.195,2.0,2.0,4.0,36.0,10.0,1.0,13.0,,125.5,,,
12,"Lewis, Megan",Fr,OH,5-11,38,,38,17.0,9.0,61,34,175,0.154,,,,9.0,1.0,,6.0,1.0,64.0,1.0,,
24,"Jimenez, Kobie",So,DS,5-6,33,,33,18.0,,0,0,1,0.0,1.0,3.0,8.0,39.0,6.0,,,,3.0,,,
22,"Allen, Chloe",Jr,OH,6-0,14,,14,8.0,,5,5,20,0.0,1.0,,,1.0,,,3.0,2.0,6.5,,,
5,"Froley, Tallulah",Fr,OH,6-0,13,,13,5.0,4.0,11,13,50,-0.04,,,,3.0,,,3.0,,12.5,1.0,,
3,"Serex, Amanda",So,MB,6-1,3,,3,3.0,,0,0,2,0.0,,,,,,,,,,,,
9,"Rivers, Kjia",So,MB,6-0,1,,1,1.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,8,7.0,,0,0,0,,,,,,6.0,,,,,,,
-,Totals,-,-,-,-,-,112,,,1520,566,4227,0.226,1435.0,178.0,293.0,1869.0,101.0,36.0,309.0,31.0,1888.5,33.0,,
-,Opponent Totals,-,-,-,-,-,112,,,1358,558,4022,0.19899999999999998,1260.0,101.0,201.0,1846.0,178.0,40.0,347.0,39.0,1672.5,47.0,,
