Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
3,"DeFalco, Teagan",So,L,5-8,107,,107,28.0,,2,1,10,0.1,69.0,20.0,43.0,523.0,13.0,,,,22.0,2.0,,
16,"Moss, Kaira",So,MB,6-1,106,,106,28.0,28.0,243,86,610,0.257,1.0,,,28.0,1.0,17.0,78.0,10.0,299.0,,,
7,"Kubinski, Annabelle",Fr,MB,6-0,104,,104,28.0,23.0,218,69,488,0.305,4.0,4.0,14.0,21.0,1.0,10.0,65.0,16.0,264.5,1.0,,
11,"Horton, Melody",Jr,OH,5-10,95,,95,28.0,26.0,220,104,725,0.16,11.0,12.0,6.0,210.0,33.0,5.0,21.0,8.0,247.5,1.0,,
8,"Matthews, Kayla",Fr,OH,5-11,85,,85,27.0,18.0,218,120,685,0.14300000000000002,8.0,19.0,26.0,178.0,27.0,8.0,23.0,4.0,256.5,1.0,,
4,"Feldmeth, Molly",So,S,6-0,85,,85,27.0,21.0,24,12,89,0.135,734.0,14.0,5.0,135.0,1.0,3.0,31.0,2.0,56.5,18.0,,
13,"Hagge, Sarah",So,OPP,6-0,84,,84,25.0,19.0,136,69,430,0.156,10.0,,,45.0,,3.0,44.0,6.0,161.0,2.0,,
19,"Schuler, Tressa",Sr,OH,5-10,79,,79,24.0,3.0,1,1,9,0.0,9.0,25.0,25.0,126.0,21.0,,,,26.0,,,
10,"Adams, KJ",Fr,OH,6-0,65,,65,23.0,11.0,74,54,309,0.065,8.0,23.0,36.0,127.0,16.0,5.0,10.0,4.0,107.0,,,
6,"Dunn, Kobie",So,L/DS,5-9,48,,48,18.0,3.0,0,0,1,0.0,,8.0,4.0,27.0,,,,,8.0,,,
1,"Redfield, Kayla",Jr,S,5-10,44,,44,17.0,7.0,4,0,10,0.4,306.0,4.0,4.0,83.0,,1.0,7.0,2.0,12.5,16.0,,
9,"Ahern, Emma",Jr,DS,5-9,32,,32,15.0,1.0,0,0,0,,5.0,7.0,11.0,43.0,6.0,,,,7.0,,,
2,"Priem, Esmee",Fr,OH,5-11,30,,30,14.0,2.0,40,26,160,0.087,3.0,4.0,4.0,79.0,3.0,1.0,7.0,1.0,48.5,,,
12,"Adams, Maria",Jr,MB,6-1,28,,28,13.0,1.0,28,12,74,0.21600000000000003,,,1.0,6.0,,2.0,15.0,3.0,37.5,1.0,,
15,"Fletcher, Meme",Sr,OH,6-1,26,,26,10.0,1.0,28,23,111,0.045,3.0,1.0,1.0,53.0,2.0,,4.0,,31.0,1.0,,
5,"Chisholm, Alyssa",So,DS,5-4,23,,23,11.0,2.0,0,0,1,0.0,1.0,7.0,11.0,18.0,4.0,,,,7.0,,,
20,"Gray, Kendall",Sr,MB,6-0,13,,13,6.0,2.0,6,4,37,0.054000000000000006,1.0,,,4.0,,,5.0,1.0,8.5,,,
-,TEAM,-,-,-,-,-,19,14.0,,0,0,0,,12.0,,,,11.0,,,,,,,
-,Totals,-,-,-,-,-,107,,,1242,581,3749,0.17600000000000002,1185.0,148.0,191.0,1706.0,139.0,55.0,310.0,57.0,1600.0,43.0,,
-,Opponent Totals,-,-,-,-,-,107,,,1371,577,3923,0.20199999999999999,1276.0,139.0,214.0,1614.0,148.0,30.0,495.0,47.0,1787.5,38.0,,
