Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
3,"Hennen, Makenzie",Jr,OH,5-11,104,,104,29.0,29.0,340,163,1098,0.161,13.0,21.0,18.0,280.0,42.0,7.0,32.0,9.0,384.0,2.0,,
18,"Fay, Maddie",So,S,6-0,104,,104,29.0,29.0,21,17,102,0.039,837.0,25.0,29.0,158.0,1.0,1.0,28.0,3.0,61.0,10.0,,
15,"Andrews, Sydney",Fr,MH,6-0,103,,103,29.0,29.0,143,59,375,0.22399999999999998,4.0,12.0,34.0,45.0,1.0,3.0,62.0,7.0,189.0,,,
12,"Thein, Ellie",Fr,DS,5-6,103,,103,29.0,4.0,2,3,28,-0.036000000000000004,51.0,10.0,17.0,330.0,35.0,,,,12.0,3.0,,
4,"Smith, Ashlynn",Jr,MB,5-11,102,,102,29.0,25.0,251,120,689,0.19,7.0,15.0,8.0,126.0,10.0,5.0,48.0,4.0,295.0,,,
1,"Peterson, Sierra",Sr,OH,6-0,102,,102,29.0,12.0,195,75,535,0.22399999999999998,2.0,1.0,1.0,39.0,,3.0,49.0,7.0,223.5,3.0,,
11,"Richardson, Payton",Sr,MB,6-0,93,,93,26.0,26.0,106,51,288,0.191,1.0,,,20.0,,21.0,91.0,10.0,172.5,1.0,,
2,"Brucker, Kari",So,L/DS,5-9,82,,82,27.0,3.0,2,0,4,0.5,13.0,10.0,20.0,134.0,17.0,,,,12.0,1.0,,
9,"Burk, Crystal",Fr,OH,5-8,82,,82,26.0,16.0,135,104,497,0.062,12.0,16.0,32.0,145.0,33.0,4.0,16.0,10.0,163.0,,,
5,"Brower, Kasey",Fr,L/DS,5-6,57,,57,20.0,1.0,1,1,18,0.0,8.0,4.0,4.0,88.0,13.0,,,,5.0,,,
7,"Munger, Mattison",Sr,S,5-8,45,,45,14.0,,4,1,21,0.14300000000000002,171.0,7.0,3.0,87.0,,,,,11.0,6.0,,
17,"Kaup, Shelby",Fr,OH,5-11,3,,3,2.0,,0,0,0,,,,1.0,1.0,,,,,,,,
8,"Christopherson, Emma",Fr,OH,5-10,2,,2,2.0,,0,0,0,,,,,1.0,,,,,,,,
-,TEAM,-,-,-,-,-,16,14.0,,0,0,0,,,,,,9.0,,,,,,,
-,Totals,-,-,-,-,-,104,,,1200,594,3655,0.166,1119.0,121.0,167.0,1454.0,161.0,44.0,326.0,50.0,1528.0,26.0,,
-,Opponent Totals,-,-,-,-,-,104,,,1468,544,3704,0.249,1375.0,161.0,183.0,1655.0,121.0,41.0,368.0,33.0,1854.0,24.0,,
