Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
4,"McHugh, Kaylie",Jr,L,5-6,142,,142,38.0,,3,3,14,0.0,172.0,63.0,64.0,626.0,17.0,,,,66.0,3.0,,
34,"Henigsman, Taylor",Fr,S,5-11,141,,141,38.0,34.0,20,12,69,0.11599999999999999,819.0,19.0,50.0,187.0,,,2.0,5.0,40.0,15.0,,
33,"Heidelberg, Makala",Fr,OH,5-7,140,,140,38.0,38.0,293,126,850,0.196,30.0,27.0,21.0,534.0,57.0,6.0,67.0,8.0,359.5,1.0,,
13,"Ibieta, Jenna",So,S,5-10,138,,138,38.0,4.0,34,4,89,0.337,706.0,29.0,15.0,249.0,,,,4.0,63.0,9.0,,
9,"Douglas, Lexie",So,OH,6-0,138,,138,38.0,33.0,352,144,918,0.22699999999999998,15.0,4.0,10.0,114.0,26.0,2.0,62.0,10.0,389.0,,,
10,"Hansel, Erika",Jr,MH,6-1,132,,132,38.0,34.0,351,135,921,0.235,5.0,,,51.0,1.0,2.0,79.0,7.0,392.5,5.0,,
7,"Burcescu, Yvette",Fr,OH,6-3,129,,129,36.0,4.0,260,112,751,0.19699999999999998,5.0,2.0,1.0,48.0,,8.0,90.0,8.0,315.0,1.0,,
12,"Kern, Dayna",Sr,MB,6-3,127,,127,38.0,34.0,293,79,691,0.31,30.0,6.0,10.0,80.0,,4.0,148.0,15.0,377.0,4.0,,
6,"Mordell, Lisa",Sr,L/DS,5-7,126,,126,36.0,5.0,0,2,6,-0.33299999999999996,18.0,33.0,45.0,284.0,16.0,,,,33.0,,,
31,"Dinkins, Kayla",Fr,MH,6-1,79,,79,24.0,19.0,127,52,293,0.256,,,,13.0,1.0,6.0,73.0,5.0,169.5,,,
11,"Benoit, Markenzie",So,MH,6-1,55,,55,20.0,16.0,106,44,269,0.23,7.0,12.0,15.0,40.0,1.0,6.0,64.0,7.0,156.0,,,
16,"Shaw, Hannah",Sr,MH,6-0,35,,35,14.0,7.0,45,7,110,0.345,1.0,5.0,9.0,9.0,1.0,1.0,25.0,4.0,63.5,1.0,,
24,"Thompson, Kristen",So,RS,6-0,31,,31,12.0,,62,25,156,0.237,2.0,,,20.0,,2.0,16.0,1.0,72.0,,,
5,"Primavera, Mia",So,L,5-6,12,,12,7.0,,0,1,2,-0.5,2.0,,1.0,18.0,6.0,,,,,,,
1,"Giardina, Amanda",Fr,S,5-9,9,,9,8.0,,1,0,1,1.0,27.0,1.0,1.0,9.0,,,,,2.0,,,
25,"Doyle, Meghan",Jr,OH,5-10,8,,8,6.0,,5,1,15,0.267,3.0,,1.0,21.0,2.0,,,,5.0,,,
8,"Levine, Nicole",So,L,5-10,7,,7,6.0,,0,0,0,,,2.0,3.0,2.0,,,,,2.0,,,
-,TEAM,-,-,-,-,-,44,24.0,,0,0,0,,27.0,,,,16.0,,,,,,,
-,Totals,-,-,-,-,-,143,,,1952,747,5155,0.23399999999999999,1869.0,203.0,246.0,2305.0,144.0,37.0,626.0,74.0,2505.0,39.0,,
-,Opponent Totals,-,-,-,-,-,143,,,1658,868,5188,0.152,1580.0,144.0,234.0,2137.0,203.0,48.0,448.0,64.0,2074.0,43.0,,
