Jersey,Player,Yr,Pos,Ht,GP,GS,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Dolan, Katie",Jr,S,6-0,102,,,102,29.0,8,6,38,0.053,451.0,21.0,25.0,154.0,,,,1.0,29.0,18.0,
2,"Price, Emma",,,6-2,102,,,102,29.0,256,99,751,0.209,6.0,,,33.0,,2.0,38.0,4.0,277.0,2.0,
5,"Hayward, Natalie",,,5-11,101,,,101,29.0,48,48,186,0.0,499.0,11.0,17.0,166.0,1.0,,4.0,4.0,61.0,21.0,
18,"Brown, Donna",,,6-2,98,,,98,29.0,173,82,403,0.226,7.0,,,17.0,,8.0,39.0,7.0,200.5,,
8,"Anderson, Claire",Jr,OH,6-0,95,,,95,28.0,195,96,658,0.15,22.0,14.0,12.0,192.0,46.0,4.0,13.0,10.0,219.5,4.0,
6,"Savage, Mackenzie",Jr,L/DS,5-7,93,,,93,29.0,1,1,6,0.0,37.0,7.0,14.0,230.0,23.0,,,,8.0,,
4,"Banez, Isabelle",So,L/DS,5-6,93,,,93,27.0,1,3,8,-0.25,63.0,12.0,10.0,439.0,44.0,,,,13.0,2.0,
3,"Norris, Mattie",,,5-10,86,,,86,25.0,131,111,443,0.045,12.0,4.0,17.0,131.0,28.0,5.0,8.0,1.0,144.0,,
15,"De La Rosa, Isabell",So,MH,6-0,84,,,84,25.0,140,71,399,0.17300000000000001,6.0,1.0,12.0,30.0,1.0,5.0,24.0,1.0,158.0,,
1,"Marshall, Ashley",Jr,OH,5-11,53,,,53,19.0,83,55,273,0.10300000000000001,2.0,1.0,3.0,19.0,,3.0,12.0,6.0,93.0,1.0,
10,"Evans-Allen, Avarie",So,MH,6-0,53,,,53,15.0,106,21,260,0.327,11.0,7.0,9.0,32.0,2.0,4.0,21.0,2.0,127.5,1.0,
11,"Torti, Maddie",Jr,OH,5-11,20,,,20,10.0,18,23,84,-0.06,,1.0,,12.0,4.0,,4.0,,21.0,,
12,"Garcia, Mireya",,,5-9,14,,,14,10.0,0,1,1,-1.0,,1.0,1.0,7.0,2.0,,,,1.0,,
16,"Robinson, Mariah",,,5-10,12,,,12,5.0,12,9,45,0.067,,,,4.0,1.0,,1.0,,12.5,,
7,"Kowalska, Dominika",Sr,OH,5-9,8,,,8,4.0,1,2,17,-0.059000000000000004,,,3.0,12.0,5.0,,,,1.0,,
17,"See, Summer",So,L/DS,5-11,1,,,1,1.0,0,0,1,0.0,,,,,,,,,,,
-,TEAM,-,-,-,-,-,,20,14.0,1,0,1,1.0,,,,,14.0,,,,1.0,,
-,Totals,-,-,-,-,-,,98,,1174,628,3574,0.153,1116.0,80.0,123.0,1478.0,171.0,31.0,164.0,36.0,1367.0,49.0,
-,Opponent Totals,-,-,-,-,-,,98,,1402,400,3472,0.289,1306.0,171.0,228.0,1478.0,80.0,45.0,362.0,34.0,1799.0,10.0,
