Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
8,"Pamphile, Elizabeth",So,MB,6-1,103,,103,28.0,28.0,231,94,543,0.252,,8.0,39.0,33.0,1.0,12.0,83.0,4.0,292.5,,,
12,"Valle, Okiana",Sr,L/DS,5-2,103,,103,28.0,,2,1,18,0.055999999999999994,115.0,19.0,37.0,546.0,24.0,,,,21.0,3.0,,
10,"O'Brien, Kelly",Sr,MB,6-1,101,,101,28.0,23.0,240,120,592,0.203,1.0,,,36.0,,2.0,62.0,6.0,273.0,1.0,,
1,"Rippee, Rachel",Jr,S,6-0,99,,99,27.0,26.0,23,12,68,0.162,794.0,21.0,21.0,178.0,,,15.0,5.0,51.5,9.0,,
16,"Brown, Logan",So,OH,6-0,98,,98,28.0,26.0,258,94,832,0.19699999999999998,8.0,8.0,17.0,105.0,19.0,1.0,21.0,3.0,277.5,1.0,,
2,"Johnson, Paige",So,L/DS,5-7,92,,92,27.0,1.0,2,1,11,0.091,19.0,13.0,10.0,149.0,15.0,,,,15.0,2.0,,
3,"Dirrigl, Hailey",So,OH,6-2,89,,89,25.0,22.0,321,144,967,0.183,12.0,20.0,29.0,154.0,26.0,7.0,18.0,4.0,357.0,,,
14,"Crumpton, Ellease",Fr,MB,6-3,67,,67,21.0,19.0,51,19,148,0.21600000000000003,1.0,3.0,14.0,29.0,1.0,1.0,35.0,1.0,72.5,1.0,,
6,"Güitron, Fernanda",Jr,OPP,6-0,62,,62,19.0,1.0,85,26,263,0.22399999999999998,2.0,,,19.0,,2.0,33.0,3.0,103.5,,,
5,"Evans, Lauren",Fr,OH,5-11,61,,61,22.0,5.0,2,0,12,0.16699999999999998,7.0,21.0,29.0,72.0,13.0,,,1.0,23.0,,,
21,"Ryan, Gracie",Fr,S,5-9,61,,61,17.0,2.0,16,4,37,0.324,307.0,10.0,20.0,114.0,,,2.0,1.0,27.0,6.0,,
15,"Stripp, Maia",Fr,MB,6-3,41,,41,13.0,9.0,30,14,62,0.258,,1.0,,12.0,,2.0,36.0,1.0,51.0,1.0,,
7,"Robinson, Reagan",Jr,OH,5-11,31,,31,15.0,6.0,83,25,214,0.271,2.0,1.0,6.0,41.0,3.0,1.0,8.0,,89.0,,,
9,"Trainor, Klaire",So,OH,5-8,30,,30,10.0,,0,0,1,0.0,1.0,2.0,4.0,9.0,,,,,2.0,,,
23,"Dernehl, Allyson",Jr,OH,5-9,2,,2,1.0,,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,20,16.0,,0,0,0,,,,,,21.0,,,,,,,
-,Totals,-,-,-,-,-,103,,,1344,554,3768,0.21,1269.0,127.0,226.0,1497.0,123.0,28.0,313.0,29.0,1655.5,24.0,,
-,Opponent Totals,-,-,-,-,-,103,,,1310,516,3537,0.22399999999999998,1232.0,123.0,207.0,1595.0,127.0,40.0,414.0,62.0,1680.0,35.0,,
