Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
18,"Aafedt, Cori",Jr,S,5-6,119,,119,31.0,28.0,7,4,23,0.13,730.0,17.0,40.0,198.0,2.0,,4.0,1.0,26.0,11.0,,
15,"Copeland, Reed",Sr,MB,6-2,119,,119,31.0,31.0,240,67,515,0.336,4.0,,,20.0,,23.0,172.0,6.0,349.0,1.0,,
2,"McBride, Jackie",So,MB,6-1,119,,119,31.0,31.0,235,73,530,0.306,8.0,12.0,31.0,70.0,1.0,17.0,114.0,24.0,321.0,,,
17,"McArdle, Halie",Jr,OH,5-9,117,,117,31.0,30.0,276,104,825,0.20800000000000002,20.0,18.0,38.0,278.0,38.0,,32.0,3.0,310.0,1.0,,
7,"Traphagan, Tara",Jr,OH,6-1,116,,116,31.0,27.0,246,90,670,0.233,7.0,,2.0,64.0,7.0,5.0,111.0,5.0,306.5,,,
4,"Chase, Jaiden",Fr,L/DS,5-7,114,,114,31.0,13.0,1,0,1,1.0,20.0,12.0,32.0,205.0,22.0,,,,13.0,,,
13,"Lewis, Emily",Sr,OH,6-0,114,,114,31.0,16.0,279,101,772,0.231,6.0,13.0,19.0,104.0,11.0,5.0,64.0,2.0,329.0,1.0,,
1,"Fields, Madi",Jr,DS,5-6,111,,111,29.0,,4,0,8,0.5,93.0,11.0,20.0,488.0,20.0,,,,15.0,3.0,,
10,"Waitsman, Faith",So,MB,6-2,77,,77,23.0,2.0,97,44,281,0.18899999999999997,1.0,,1.0,20.0,3.0,1.0,54.0,4.0,125.0,,,
11,"Hines, Marissa",Fr,S,6-0,73,,73,19.0,2.0,5,2,12,0.25,298.0,8.0,19.0,104.0,,,1.0,,13.5,21.0,,
5,"McMahon, KC",Fr,OH,6-2,57,,57,21.0,3.0,93,41,264,0.19699999999999998,5.0,5.0,6.0,21.0,1.0,,20.0,2.0,108.0,,,
6,"Harmon, Marissa",So,S,6-1,44,,44,13.0,1.0,18,3,42,0.35700000000000004,193.0,1.0,14.0,49.0,,,2.0,,20.0,2.0,,
9,"Yaste, Kiahlei",Jr,DS,5-8,26,,26,13.0,2.0,1,0,4,0.25,2.0,3.0,2.0,29.0,6.0,,,,4.0,,,
3,"Freeland, Kaytlen",Fr,OH,6-0,22,,22,13.0,,12,11,54,0.019,,,4.0,13.0,4.0,,5.0,1.0,14.5,,,
-,TEAM,-,-,-,-,-,12,8.0,,0,0,0,,,,,,10.0,,,,,,,
-,Totals,-,-,-,-,-,119,,,1514,540,4001,0.243,1387.0,100.0,228.0,1663.0,125.0,51.0,579.0,48.0,1954.5,40.0,,
-,Opponent Totals,-,-,-,-,-,119,,,1458,775,4209,0.162,1392.0,125.0,239.0,1688.0,100.0,46.0,385.0,47.0,1821.5,27.0,,
