Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
4,"Garrick, Victoria",Sr,L,5-10,125,,125,33.0,1.0,4,1,17,0.17600000000000002,123.0,20.0,33.0,604.0,22.0,,,,24.0,1.0,,
11,"Gross, Jasmine",Jr,MB,6-3,125,,125,33.0,33.0,241,65,568,0.31,13.0,9.0,12.0,67.0,,12.0,129.0,12.0,326.5,,,
6,"Baptista, Emily",Jr,OH,6-2,125,,125,33.0,32.0,369,118,944,0.266,10.0,6.0,7.0,105.0,5.0,9.0,59.0,16.0,413.5,,,
10,"Lázaro, Raquel",Fr,S,6-0,125,,125,33.0,33.0,38,10,120,0.233,1402.0,28.0,53.0,305.0,1.0,4.0,84.0,7.0,112.0,21.0,,
2,"Murtagh, Madison",Sr,MB,6-1,117,,117,33.0,32.0,86,42,252,0.175,3.0,,,22.0,2.0,9.0,83.0,13.0,136.5,,,
14,"Meyer-Whalley, Reni",Sr,L,5-5,117,,117,31.0,,5,0,8,0.625,45.0,29.0,32.0,268.0,14.0,,,,34.0,,,
7,"Botkin, Brooke",So,OH,6-1,114,,114,30.0,30.0,500,186,1309,0.24,7.0,25.0,43.0,284.0,33.0,10.0,35.0,15.0,552.5,3.0,,
16,"Lanier, Khalia",Jr,OH,6-2,107,,107,29.0,29.0,457,168,1281,0.226,13.0,38.0,48.0,218.0,29.0,2.0,28.0,5.0,511.0,,,
9,"Marina, Cindy",Jr,S,5-11,46,,46,13.0,,0,0,0,,,10.0,17.0,30.0,1.0,,,,10.0,1.0,,
13,"LeGrand, Raegan",Jr,L,5-10,37,,37,14.0,1.0,0,3,5,-0.6,,6.0,12.0,16.0,4.0,,,,6.0,,,
12,"Welsh, Brittany",Sr,MB,6-4,35,,35,12.0,6.0,30,6,71,0.33799999999999997,1.0,,,,,3.0,21.0,3.0,43.5,,,
8,"Humphreys, Ashley",Fr,S,5-11,25,,25,7.0,,0,0,0,,,4.0,9.0,5.0,,,,,4.0,,,
1,"Schirmer, Brooklyn",Fr,OH,6-1,9,,9,3.0,1.0,13,12,62,0.016,1.0,,2.0,14.0,3.0,1.0,3.0,1.0,15.5,,,
-,TEAM,-,-,-,-,-,12,10.0,,0,0,0,,,,,,12.0,,,,,,,
-,Totals,-,-,-,-,-,125,,,1743,611,4637,0.244,1618.0,175.0,268.0,1938.0,126.0,50.0,442.0,72.0,2189.0,26.0,,
-,Opponent Totals,-,-,-,-,-,125,,,1682,694,4654,0.212,1586.0,126.0,245.0,1981.0,175.0,68.0,382.0,63.0,2067.0,16.0,,
