Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
3,"Kingi, Kristin",Sr,OH,5-11,139,,139,35.0,35.0,363,183,1093,0.165,29.0,14.0,14.0,500.0,38.0,,20.0,4.0,387.0,,,
2,"Kennedy, Caroline",Fr,OH,5-10,138,,138,35.0,33.0,409,181,1060,0.215,10.0,9.0,20.0,119.0,14.0,4.0,55.0,7.0,449.5,1.0,,
11,"Sperry, Kirstyn",Sr,S,5-10,136,,136,34.0,34.0,107,51,304,0.184,1014.0,50.0,33.0,345.0,,,18.0,5.0,166.0,37.0,,
8,"Kim, Nikki",Jr,L/DS,5-5,134,,134,35.0,,0,0,2,0.0,23.0,13.0,13.0,78.0,7.0,,,,13.0,,,
17,"Richmeyer, Grace",Sr,MB,6-0,133,,133,34.0,34.0,223,85,639,0.21600000000000003,8.0,,,31.0,,12.0,88.0,7.0,279.0,1.0,,
12,"Ward, Erika",So,L,5-1,129,,129,33.0,,2,1,9,0.111,169.0,33.0,23.0,556.0,28.0,,,,35.0,1.0,,
19,"O'Brien, Haley",Fr,MB,6-1,112,,112,32.0,25.0,193,100,476,0.195,4.0,,,21.0,4.0,8.0,66.0,4.0,234.0,1.0,,
20,"Malet, Julia",Sr,S,5-9,110,,110,28.0,1.0,6,2,13,0.308,404.0,15.0,20.0,179.0,,,,,21.0,30.0,,
13,"Flynn, Julia",Sr,OH,5-9,107,,107,28.0,28.0,350,185,963,0.171,23.0,22.0,38.0,311.0,35.0,6.0,26.0,5.0,391.0,,,
15,"Wild, Mackenzie",So,DS,6-0,60,,60,23.0,3.0,61,29,190,0.168,1.0,,,24.0,,1.0,24.0,,74.0,,,
10,"Knight, Jenna",Fr,S,6-0,54,,54,19.0,1.0,68,26,182,0.231,25.0,2.0,8.0,35.0,,,23.0,1.0,81.5,7.0,,
5,"Bruny, Brianna",Jr,MB,5-9,53,,53,19.0,12.0,66,30,185,0.195,4.0,,,25.0,,6.0,28.0,9.0,86.0,,,
9,"Motu'apuaka, Alisi",So,S,5-5,45,,45,18.0,2.0,4,1,10,0.3,47.0,12.0,16.0,45.0,2.0,,,,16.0,,,
7,"Popernik, Maya",Fr,OH,5-9,26,,26,17.0,1.0,23,21,83,0.024,4.0,4.0,6.0,20.0,3.0,,5.0,,29.5,,,
18,"Gorski, Sydney",Jr,MB,6-1,4,,4,2.0,1.0,7,7,19,0.0,,,,2.0,,,,1.0,7.0,,,
-,TEAM,-,-,-,-,-,26,14.0,,0,0,0,,,,,,16.0,,,,,,,
-,Totals,-,-,-,-,-,139,,,1882,902,5228,0.187,1765.0,174.0,191.0,2291.0,147.0,37.0,353.0,43.0,2269.5,78.0,,
-,Opponent Totals,-,-,-,-,-,139,,,1567,696,4899,0.17800000000000002,1469.0,145.0,248.0,2046.0,172.0,80.0,543.0,93.0,2063.5,39.0,,
