Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
7,"Allen, Emily",Sr,OH,5-8,106,,106,28.0,27.0,379,165,1125,0.19,18.0,24.0,24.0,311.0,40.0,2.0,37.0,7.0,423.5,1.0,,
2,"Karsseboom, Brianna",Sr,OH,5-10,99,,99,28.0,27.0,232,94,707,0.195,17.0,10.0,27.0,211.0,26.0,,25.0,2.0,254.5,1.0,,
1,"Bowman, Paloma",So,S,5-10,96,,96,28.0,14.0,11,5,36,0.16699999999999998,417.0,27.0,30.0,185.0,2.0,,3.0,1.0,39.5,2.0,,
11,"Bolko, Malia",Sr,L,5-8,94,,94,25.0,,2,0,2,1.0,109.0,27.0,19.0,441.0,18.0,,,,29.0,10.0,,
8,"Merlino, Maddie",Sr,S,5-10,89,,89,25.0,13.0,14,2,26,0.462,457.0,20.0,6.0,167.0,,,16.0,,42.0,9.0,,
20,"Seslar, Jane",,,5-9,87,,87,26.0,1.0,1,3,7,-0.28600000000000003,235.0,15.0,13.0,126.0,,,,3.0,16.0,3.0,,
12,"Strehl, Leonie",So,OPP,6-4,83,,83,27.0,2.0,141,62,390,0.203,2.0,,1.0,23.0,,3.0,42.0,2.0,165.0,1.0,,
15,"Matias, Lauren",Jr,OH,6-2,78,,78,26.0,16.0,178,79,526,0.188,8.0,1.0,5.0,66.0,1.0,2.0,26.0,2.0,194.0,1.0,,
18,"Jackson, Lauren",Sr,MB,6-1,75,,75,22.0,18.0,102,34,258,0.264,4.0,4.0,6.0,30.0,,5.0,64.0,9.0,143.0,,,
3,"Reyes, Ally",Jr,DS,5-7,74,,74,25.0,,0,1,3,-0.33299999999999996,28.0,4.0,18.0,159.0,14.0,,,,4.0,,,
4,"Ough, Josie",,,6-6,74,,74,22.0,19.0,97,43,241,0.22399999999999998,2.0,,,12.0,,10.0,66.0,6.0,140.0,1.0,,
10,"Moore, Nicola",Sr,OPP,6-3,64,,64,20.0,12.0,144,54,355,0.254,1.0,1.0,,27.0,,4.0,36.0,2.0,167.0,,,
6,"Rockas, Alexa",So,MB,6-1,53,,53,16.0,13.0,81,27,206,0.262,11.0,7.0,16.0,22.0,,3.0,36.0,3.0,109.0,,,
9,"Graves, Jackie",Jr,MB,6-4,28,,28,14.0,6.0,18,10,54,0.14800000000000002,1.0,,5.0,5.0,,2.0,14.0,,27.0,1.0,,
13,"Holscher, Rose",,,-,22,,22,12.0,,0,0,0,,4.0,1.0,,25.0,4.0,,,,1.0,,,
14,"Maeglin, Chelsea",So,OH,5-11,19,,19,12.0,,8,4,33,0.121,,2.0,5.0,7.0,1.0,,,2.0,10.0,1.0,,
16,"Churilla, Rachel",Fr,,5-1,3,,3,2.0,,0,0,0,,,,,,1.0,,,,,,,
-,TEAM,-,-,-,-,-,16,8.0,,0,0,0,,,,,,9.0,,,,,,,
-,Totals,-,-,-,-,-,107,,,1408,583,3969,0.20800000000000002,1314.0,143.0,175.0,1817.0,116.0,31.0,365.0,39.0,1764.5,31.0,,
-,Opponent Totals,-,-,-,-,-,107,,,1272,536,3914,0.188,1191.0,116.0,190.0,1713.0,143.0,48.0,346.0,47.0,1609.0,35.0,,
