Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
1,"Runyon, Rachelle",Jr,DS,5-4,116,,116,30.0,,3,4,21,-0.048,75.0,20.0,18.0,574.0,27.0,,,,23.0,,,
33,"Sherbert, Brynn",So,OH,5-9,116,,116,30.0,7.0,3,6,32,-0.094,13.0,36.0,23.0,245.0,20.0,,,,39.0,1.0,,
11,"Williams, Perry",Sr,MH,6-0,115,,115,30.0,30.0,188,65,474,0.259,5.0,3.0,9.0,21.0,1.0,31.0,92.0,10.0,268.0,1.0,,
7,"Blanco, Danielle",So,S,5-7,115,,115,30.0,4.0,3,0,9,0.33299999999999996,23.0,24.0,25.0,279.0,13.0,,1.0,,27.5,,,
8,"Sher, Anilee",Fr,S,5-8,109,,109,28.0,28.0,35,20,130,0.115,1054.0,49.0,58.0,317.0,,2.0,48.0,6.0,110.0,16.0,,
2,"Riede, Hailey",Sr,RS,6-2,101,,101,29.0,22.0,315,98,803,0.27,4.0,,,25.0,1.0,3.0,61.0,5.0,348.5,,,
3,"Shello, Alexa",Jr,MH,6-1,99,,99,29.0,13.0,195,122,701,0.10400000000000001,3.0,,1.0,51.0,23.0,3.0,28.0,7.0,212.0,,,
14,"Logan, Savannah",Sr,OH,6-1,98,,98,26.0,22.0,271,132,859,0.162,10.0,15.0,20.0,240.0,35.0,1.0,23.0,3.0,298.5,,,
12,"Shanefield, Evelyn",Jr,MB,6-2,91,,91,26.0,22.0,109,44,283,0.23,4.0,,,9.0,,19.0,62.0,11.0,159.0,,,
4,"Paddock, Ellen",Fr,L,5-5,69,,69,27.0,5.0,0,0,3,0.0,5.0,5.0,11.0,59.0,11.0,,,,5.0,,,
19,"Pellegrino, Meredith",So,OH,6-0,60,,60,20.0,13.0,137,73,447,0.14300000000000002,1.0,,1.0,18.0,2.0,3.0,16.0,6.0,148.0,,,
15,"Chan, Jillian",Fr,RS,6-0,55,,55,24.0,,13,5,34,0.235,,8.0,15.0,5.0,,1.0,1.0,,22.5,1.0,,
18,"Clarke, Caprice",Fr,MB,5-11,41,,41,19.0,8.0,38,20,115,0.157,4.0,4.0,9.0,6.0,,6.0,29.0,5.0,62.5,,,
16,"St. Pierre, Delaney",Fr,RS,5-9,33,,33,15.0,6.0,42,13,121,0.24,79.0,5.0,1.0,21.0,3.0,,11.0,3.0,52.5,1.0,,
13,"Ward, Ali",So,MB,6-1,20,,20,15.0,,8,5,31,0.09699999999999999,,,1.0,2.0,,1.0,2.0,1.0,10.0,,,
9,"Casper, Kerrigan",Fr,MH,6-3,18,,18,13.0,,7,4,20,0.15,2.0,1.0,,,,,4.0,2.0,10.0,,,
-,TEAM,-,-,-,-,-,18,8.0,,0,0,0,,,,,,11.0,,,,,,,
-,Totals,-,-,-,-,-,116,,,1367,611,4083,0.185,1282.0,170.0,192.0,1872.0,147.0,70.0,378.0,59.0,1796.0,20.0,,
-,Opponent Totals,-,-,-,-,-,116,,,1360,680,4236,0.161,1275.0,147.0,225.0,1805.0,170.0,70.0,264.0,40.0,1709.0,57.0,,
