Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
11,"Kane, Grace",Fr,DS,5-2,95,,95,26.0,,0,1,6,-0.16699999999999998,80.0,14.0,24.0,398.0,45.0,,,,14.0,,,
12,"Colla, Sarah",Fr,OH,5-10,95,,95,26.0,26.0,340,210,901,0.14400000000000002,12.0,30.0,45.0,174.0,40.0,5.0,44.0,7.0,397.0,1.0,,
10,"Stocking, Jessica",Sr,OH,5-11,94,,94,26.0,26.0,251,137,809,0.141,19.0,21.0,24.0,240.0,54.0,3.0,37.0,8.0,293.5,1.0,,
15,"Wilson, Hailey",Fr,MB,6-1,94,,94,26.0,26.0,98,51,286,0.16399999999999998,6.0,,,27.0,,9.0,56.0,9.0,135.0,,,
17,"Linxwiler, Madison",Sr,MB,6-1,90,,90,26.0,23.0,107,55,347,0.15,7.0,14.0,12.0,43.0,4.0,2.0,28.0,4.0,137.0,2.0,,
6,"Miner, Madee",So,S,5-8,86,,86,24.0,23.0,39,14,126,0.198,568.0,21.0,19.0,220.0,,,5.0,1.0,62.5,5.0,,
7,"Heath, Allena",Jr,OH,6-1,86,,86,24.0,22.0,157,79,521,0.15,19.0,24.0,13.0,170.0,15.0,,32.0,2.0,197.0,2.0,,
14,"Mitchell, Alysha",So,MB,6-0,75,,75,23.0,4.0,56,24,141,0.22699999999999998,2.0,,,16.0,1.0,8.0,62.0,10.0,95.0,,,
1,"Holdford, Anna Grace",Fr,S,5-9,69,,69,22.0,3.0,8,2,28,0.214,297.0,10.0,24.0,93.0,,,,1.0,18.0,5.0,,
13,"Harty, Rachel",Sr,RS,5-11,45,,45,20.0,3.0,15,15,76,0.0,2.0,3.0,7.0,20.0,3.0,,6.0,,21.0,1.0,,
5,"Schneggenburger, Hannah",So,MB,6-1,17,,17,14.0,,3,2,9,0.111,,,,1.0,,,,1.0,3.0,,,
3,"Murray, Faith",So,S,5-6,7,,7,6.0,,0,0,0,,,,,1.0,1.0,,,,,,,
-,TEAM,-,-,-,-,-,24,14.0,,0,0,0,,,,,,12.0,,,,,,,
-,Totals,-,-,-,-,-,95,,,1074,590,3250,0.149,1012.0,137.0,168.0,1403.0,175.0,27.0,270.0,43.0,1373.0,17.0,,
-,Opponent Totals,-,-,-,-,-,95,,,1153,488,3228,0.20600000000000002,1085.0,174.0,203.0,1374.0,136.0,45.0,327.0,27.0,1535.5,23.0,,
