Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
4,"McClure, Meghan",So,OH,6-0,121,,121,35.0,34.0,320,92,844,0.27,35.0,20.0,58.0,296.0,17.0,1.0,67.0,8.0,374.5,1.0,,
9,"Hentz, Morgan",Jr,L,5-9,121,,121,35.0,,3,1,5,0.4,111.0,16.0,30.0,591.0,14.0,,,,19.0,,,
12,"Fitzmorris, Audriana",Jr,OPP,6-6,120,,120,35.0,14.0,342,83,763,0.33899999999999997,2.0,2.0,5.0,29.0,2.0,5.0,137.0,6.0,417.5,,,
11,"Formico, Kate",So,DS,5-9,119,,119,35.0,20.0,0,1,1,-1.0,26.0,18.0,54.0,190.0,15.0,,,,18.0,,,
21,"Wilson, Sidney",So,OH,6-0,117,,117,35.0,5.0,0,1,1,-1.0,3.0,28.0,27.0,37.0,,,,,28.0,,,
2,"Plummer, Kathryn",Jr,OH,6-6,116,,116,34.0,34.0,545,195,1243,0.282,26.0,34.0,75.0,267.0,34.0,8.0,72.0,10.0,623.0,1.0,,
3,"Campbell, Holly",Fr,MB,6-4,113,,113,34.0,29.0,208,71,469,0.292,3.0,1.0,4.0,15.0,,1.0,140.0,7.0,280.0,,,
6,"Alade, Tami",Sr,MB,6-2,107,,107,31.0,31.0,204,43,394,0.409,1.0,1.0,,18.0,,12.0,188.0,16.0,311.0,1.0,,
25,"Bowen, Courtney",Jr,MB,6-4,30,,30,13.0,5.0,62,14,122,0.39299999999999996,,,,7.0,,4.0,44.0,4.0,88.0,,,
20,"Keefe, Caitlin",Jr,DS,5-11,17,,17,10.0,1.0,0,0,0,,,,2.0,11.0,,,,,,,,
8,"Keefe, Michaela",So,OH,6-2,16,,16,11.0,1.0,24,10,77,0.182,1.0,3.0,5.0,2.0,3.0,,2.0,,28.0,,,
7,"Fidelak, Mackenzie",Fr,OH,6-1,4,,4,3.0,,8,2,18,0.33299999999999996,,,,,,,2.0,1.0,9.0,,,
5,"Sharp, Blake",So,OH,5-11,3,,3,2.0,,0,0,0,,,1.0,1.0,1.0,,,,,1.0,,,
19,"Froistad, Alexis",Sr,MB,6-2,1,,1,1.0,1.0,0,0,0,,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,6,4.0,,0,0,0,,,,,,3.0,,,,,,,
-,Totals,-,-,-,-,-,121,,,1791,530,4110,0.307,1693.0,169.0,314.0,1635.0,89.0,35.0,754.0,63.0,2372.0,7.0,,
-,Opponent Totals,-,-,-,-,-,121,,,1409,740,4105,0.163,1331.0,89.0,231.0,1520.0,169.0,47.0,402.0,70.0,1746.0,16.0,,
