Date,TeamA,TeamB,Result,S,Team A Kills,Team A Errors,Team A Total Attacks,Team A Hit Pct,Team A Assists,Team A Aces,Team A SErr,Team A Digs,Team A RErr,Team A Block Solos,Team A Block Assists,Team A BErr,Team A PTS,Team B Kills,Team B Errors,Team B Total Attacks,Team B Hit Pct,Team B Assists,Team B Aces,Team B SErr,Team B Digs,Team B RErr,Team B Block Solos,Team B Block Assists,Team B BErr,Team B PTS
8242018,USC Upstate,Virginia Tech,0,3.0,26,25,99,0.01,24,4,3,28,3,0,4,3,32.0,44,10,86,0.395,41,3,5,40,4,0,18,2,56.0
8252018,USC Upstate,Elon,0,5.0,46,25,170,0.124,45,5,13,66,9,4,20,2,65.0,52,35,174,0.098,46,9,4,86,5,2,12,3,69.0
8252018,USC Upstate,Charlotte,0,4.0,40,27,152,0.086,37,6,8,65,6,0,8,5,50.0,53,14,141,0.277,48,6,6,80,6,4,16,4,71.0
8312018,USC Upstate,Tennessee Tech,0,3.0,44,17,122,0.221,43,5,8,52,5,0,8,2,53.0,45,15,117,0.256,44,5,4,52,5,1,6,3,54.0
9012018,USC Upstate,East Carolina,0,3.0,35,21,126,0.111,34,1,4,56,5,0,10,2,41.0,43,19,125,0.192,40,5,3,64,1,1,10,1,54.0
9012018,USC Upstate,New Orleans,0,5.0,49,25,159,0.151,45,6,8,67,12,0,8,3,59.0,57,24,163,0.202,52,12,13,76,6,0,22,1,80.0
9052018,USC Upstate,N.C. A&T,1,3.0,37,13,91,0.264,35,2,8,47,2,1,12,0,46.0,26,22,102,0.039,24,2,12,34,2,2,6,0,33.0
9072018,USC Upstate,Furman,0,4.0,47,20,149,0.181,43,4,7,61,4,1,8,4,56.0,63,29,169,0.201,61,4,8,71,4,0,10,1,72.0
9082018,USC Upstate,North Florida,0,4.0,51,32,169,0.112,46,5,6,68,4,2,12,3,64.0,55,21,153,0.222,52,4,5,70,5,3,20,0,72.0
9082018,USC Upstate,New Mexico,0,4.0,53,19,150,0.227,51,3,9,59,4,3,8,1,63.0,65,19,150,0.307,57,4,8,64,3,0,16,1,77.0
9142018,USC Upstate,Savannah St.,1,3.0,39,9,88,0.341,36,8,12,38,6,1,6,2,51.0,25,18,89,0.079,24,6,8,34,8,1,4,1,34.0
9142018,USC Upstate,Ga. Southern,0,4.0,46,34,170,0.071,43,1,7,65,2,1,22,2,59.0,59,27,167,0.192,49,2,7,80,1,2,35,1,80.5
9152018,USC Upstate,Savannah St.,1,5.0,48,18,133,0.226,44,8,11,64,14,0,10,2,61.0,48,24,145,0.166,46,14,12,62,8,3,8,1,69.0
9182018,USC Upstate,High Point,0,4.0,48,24,136,0.17600000000000002,44,7,6,40,5,5,14,0,67.0,62,28,137,0.248,60,5,4,55,7,2,6,0,72.0
9222018,USC Upstate,Radford,0,4.0,41,19,149,0.14800000000000002,36,6,6,51,6,3,16,1,58.0,66,22,144,0.306,61,6,11,74,6,0,6,2,75.0
9262018,USC Upstate,South Carolina St.,1,3.0,39,16,86,0.267,35,6,6,38,6,1,12,0,52.0,23,17,82,0.073,20,6,12,28,6,1,4,3,32.0
9282018,USC Upstate,Hampton,1,4.0,46,21,132,0.189,46,8,8,51,4,0,14,3,61.0,41,30,139,0.079,41,4,7,53,8,1,10,3,51.0
9292018,USC Upstate,Campbell,0,4.0,48,19,166,0.175,47,4,13,83,8,0,6,0,55.0,57,24,173,0.191,54,8,9,89,4,0,8,3,69.0
10052018,USC Upstate,Winthrop,0,4.0,54,15,152,0.257,47,2,5,54,6,4,16,5,68.0,74,26,167,0.287,71,6,10,75,2,3,6,2,86.0
