0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,@ Penn St.,L 0 - 3,3,1,1,3,11,-0.182,1,,2,,,,3,1,2.5,,
08/27/2016,"Ga. Southern @ University Park, Pa.",W 3 - 0,3,1,5,1,14,0.286,,,,,,,4,1,7.0,,
08/27/2016,"North Carolina @ University Park, Pa.",L 0 - 3,3,1,2,2,9,,,,1,1,,,,2,2.0,,
09/02/2016,"Marshall @ Charleston, W.Va.",L 2 - 3,5,1,6,6,23,,2,6/,,9,,,5,1,14.5,,
09/02/2016,"Indiana St. @ Charleston, W.Va.",W 3 - 2,5,1,9,1,21,0.381,,,1,7,,,7,,12.5,,
09/03/2016,"Morehead St. @ Charleston, W.Va.",W 3 - 2,5,1,5,4,19,0.053,1,,2,1,1,,4,,7.0,,
09/09/2016,@ California,W 3 - 1,4,1,12,2,29,0.345,,2,2,7,,,4,,16.0,,
09/10/2016,"Santa Clara @ Berkeley, Calif.",L 1 - 3,4,1,9,4,31,0.161,1,,1,9,,,4,1,11.0,,
09/10/2016,"Grand Canyon @ Berkeley, Calif.",W 3 - 0,3,1,4,2,8,0.250,3,1,1,2,,,2,,6.0,,
09/12/2016,@ Pacific,L 1 - 3,4,1,3,1,15,0.133,2,,,10,,,5,2,5.5,,
09/16/2016,Winthrop,W 3 - 0,3,1,5,4,17,0.059,,,4,4,,1,1,,6.5,,
09/17/2016,Akron,W 3 - 0,3,1,3,1,10,0.200,1,1,2,2,1,1,5,,7.5,,
09/17/2016,Dartmouth,W 3 - 0,3,1,8,4,26,0.154,,,1,12,1,,3,1,9.5,,
09/20/2016,Texas,L 1 - 3,4,1,8,10,29,-0.069,2,,3,3,,,,,8.0,,
09/24/2016,@ Texas Tech,W 3 - 0,,,,,,,,,,,,,,,,,
09/28/2016,TCU,W 3 - 2,,,,,,,,,,,,,,,,,
09/30/2016,Iowa St.,L 2 - 3,,,,,,,,,,,,,,,,,
10/07/2016,Oklahoma,L 0 - 3,,,,,,,,,,,,,,,,,
10/08/2016,Oklahoma,L 1 - 3,,,,,,,,,,,,,,,,,
10/12/2016,@ Robert Morris,W 3 - 0,3,1,6,2,14,0.286,1,,1,5,,,2,1,7.0,,
10/15/2016,Baylor,L 1 - 3,4,1,7,1,18,0.333,1,1,2,1,,,2,,9.0,,
10/20/2016,@ Kansas,L 0 - 3,3,1,2,3,13,-0.077,,,1,3,,,3,,3.5,,
10/22/2016,@ Kansas St.,L 2 - 3,1,1,1,0,1,1.000,,,1,,,,,,1.0,,
10/29/2016,Texas Tech,W 3 - 2,2,1,2,3,9,-0.111,,,,,,,2,,3.0,,
11/02/2016,@ Iowa St.,L 0 - 3,3,1,5,1,18,0.222,1,,,,,,3,1,6.5,,
11/09/2016,Kansas St.,L 2 - 3,5,1,15,6,38,0.237,,,,5,,,5,,17.5,,
11/12/2016,@ Baylor,L 0 - 3,3,1,8,5,31,0.097,,,,,,,2,,9.0,,
11/16/2016,Kansas,L 2 - 3,5,1,13,6,39,0.179,,,,,,,1,,13.5,,
11/23/2016,@ TCU,L 2 - 3,5,1,15,5,32,0.312,1,,,,,1,7,1,19.5,,
11/26/2016,@ Texas,L 0 - 3,3,1,3,6,16,-0.188,,,,,,,,,3.0,,
