Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Webb, Shannon",Sr,OH,6-0,116,,116,31,,439,145,1307,0.225,20.0,15.0,17.0,326.0,37.0,1.0,28.0,6.0,469.0,2.0,0
10,"Hone, Stacey",Jr,OH,6-0,116,,116,31,,374,121,938,0.27,5.0,3.0,10.0,70.0,,6.0,54.0,11.0,410.0,1.0,0
15,"Leiataua, Thea",Sr,OH,5-10,114,,114,31,,166,95,650,0.109,51.0,32.0,28.0,387.0,21.0,3.0,15.0,2.0,208.5,3.0,0
13,"Montgomery, Katie",So,MH,6-2,101,,101,28,,208,63,441,0.32899999999999996,2.0,26.0,45.0,38.0,,14.0,68.0,6.0,282.0,1.0,0
8,"Peterson, Corrin",So,S,5-8,101,,101,28,,40,7,123,0.268,1054.0,35.0,33.0,247.0,,3.0,49.0,4.0,102.5,29.0,0
17,"Gasper, Sarah",Fr,DS,5-9,92,,92,25,,4,3,33,0.03,46.0,14.0,23.0,304.0,34.0,,,,18.0,2.0,0
2,"Dowell, Mckenzie",Jr,OH,6-2,84,,84,27,,65,27,183,0.20800000000000002,6.0,14.0,17.0,32.0,,5.0,56.0,10.0,111.0,2.0,0
4,"Ashby, Raegan",Fr,MH,6-0,78,,78,24,,80,26,208,0.26,3.0,1.0,2.0,13.0,,7.0,46.0,2.0,110.5,1.0,0
9,"Averett, Alexis",Sr,S,5-10,72,,72,19,,16,13,57,0.053,109.0,12.0,20.0,139.0,,,9.0,,32.5,6.0,0
5,"Williams, Madison",Fr,MH,5-11,55,,55,23,,79,61,258,0.07,10.0,8.0,6.0,65.0,14.0,2.0,4.0,2.0,91.0,2.0,0
1,"Waters, Miahna",So,L,5-8,31,,31,9,,0,0,3,0.0,19.0,7.0,20.0,106.0,5.0,,,,7.0,,0
11,"Lago, Elisa",Jr,OH,6-1,16,,16,11,,3,3,16,0.0,1.0,,3.0,7.0,1.0,1.0,,,4.0,,0
21,"Cintron, Sadae",Fr,S,5-4,11,,11,4,,7,0,12,0.583,53.0,2.0,1.0,22.0,,,1.0,,9.5,2.0,0
14,"Longson, Abigail",So,MH,5-11,4,,4,4,,0,0,0,,,1.0,,,,,,,1.0,,0
18,"Ceneac, Paule",Fr,MH,6-3,2,,2,3,,1,1,2,0.0,,,,,,,,,1.0,,0
12,"Dowler, Kayla",Fr,OH,6-0,1,,1,1,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,8,4,,0,0,0,,,,,,32.0,,,,,,0
-,Totals,-,-,-,-,-,116,25,,1482,565,4231,0.217,1379.0,170.0,225.0,1756.0,144.0,42.0,330.0,43.0,1748.0,51.0,25
-,Opponent Totals,-,-,-,-,-,116,25,,1486,555,4052,0.23,1380.0,144.0,161.0,1857.0,171.0,50.0,415.0,32.0,1799.5,41.0,25
