Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Avila, Kate",Sr,DS,5-6,126,,126,32,,1,0,4,0.25,78.0,25.0,19.0,589.0,32.0,,,,26.0,,0
7,"Risi, Natalie",Fr,OH,6-0,126,,126,32,,360,142,1160,0.188,22.0,30.0,27.0,358.0,43.0,2.0,18.0,10.0,401.0,1.0,0
6,"Huber, Maggie",Fr,DS,5-6,123,,123,32,,3,1,15,0.133,58.0,26.0,19.0,372.0,23.0,,,,29.0,,0
5,"Plitt, Marie",Fr,MB,6-0,106,,106,30,,196,57,471,0.295,7.0,8.0,14.0,69.0,,19.0,39.0,9.0,242.5,,0
12,"VanBeek, Sydnee",Sr,MB,6-2,106,,106,28,,217,93,534,0.23199999999999998,2.0,,1.0,44.0,,30.0,73.0,12.0,283.5,1.0,0
13,"Mitchem, Natalie",Fr,OH,6-2,106,,106,30,,259,117,807,0.17600000000000002,2.0,,,54.0,1.0,3.0,31.0,3.0,277.5,1.0,0
11,"Seaman, Amber",Sr,S,5-11,96,,96,29,,54,14,154,0.26,856.0,26.0,12.0,188.0,1.0,1.0,17.0,3.0,89.5,10.0,0
8,"Hamaker, Allison",Fr,OPP,6-0,91,,91,27,,243,90,621,0.24600000000000002,2.0,,,51.0,,1.0,25.0,5.0,256.5,,0
3,"Rickenbach, Chloe",Fr,DS,5-8,76,,76,22,,1,0,6,0.16699999999999998,23.0,16.0,25.0,196.0,9.0,,,,17.0,2.0,0
4,"Grussing, Esther",Fr,S,5-5,70,,70,23,,32,10,98,0.22399999999999998,518.0,8.0,22.0,111.0,,1.0,18.0,,48.5,14.0,0
16,"Jensen, Anna",Sr,OH,5-10,63,,63,26,,1,0,5,0.2,5.0,15.0,9.0,83.0,6.0,,,,16.0,,0
15,"Ivy, MyKel",Fr,MB,5-10,60,,60,24,,99,26,230,0.317,2.0,5.0,11.0,18.0,,2.0,22.0,6.0,117.0,1.0,0
14,"Holder, Kia",Jr,OH,6-1,60,,60,21,,153,56,493,0.19699999999999998,1.0,,,22.0,,9.0,11.0,5.0,167.0,1.0,0
17,"Kral, Reece",So,RS,6-1,56,,56,21,,94,49,287,0.157,,,,15.0,,3.0,12.0,2.0,103.0,1.0,0
9,"Starck, Cathryn",So,DS,5-8,13,,13,9,,1,0,1,1.0,1.0,4.0,1.0,11.0,2.0,,,,5.0,,0
1,"Finch, Ali",Jr,S,6-0,4,,4,4,,4,1,9,0.33299999999999996,12.0,1.0,,6.0,,,,,5.0,,0
10,"Bolser, Cailyn",Fr,MB,6-1,1,,1,2,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,6,4,,0,0,0,,,,,,17.0,,,,,,0
-,Totals,-,-,-,-,-,126,27,,1718,656,4895,0.217,1589.0,164.0,160.0,2187.0,134.0,71.0,266.0,55.0,2053.0,32.0,27
-,Opponent Totals,-,-,-,-,-,126,27,,1671,644,4770,0.215,1552.0,134.0,189.0,2137.0,164.0,51.0,459.0,53.0,2031.5,30.0,27
