Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Simmons, Leah",Sr,MB,6-1,121,,121,31,,337,116,849,0.26,14.0,21.0,51.0,92.0,8.0,12.0,85.0,12.0,412.5,3.0,0
3,"Ceriani, Cassidy",Sr,S,5-11,120,,120,31,,97,28,326,0.212,1025.0,29.0,22.0,378.0,,4.0,58.0,4.0,159.0,12.0,0
4,"Long, Bree",Fr,L,5-5,120,,120,30,,6,6,61,0.0,117.0,17.0,19.0,558.0,36.0,,,,23.0,3.0,0
14,"Nelson, Hannah",So,OH,6-0,116,,116,31,,287,101,1015,0.183,25.0,57.0,36.0,314.0,32.0,4.0,36.0,9.0,366.0,,0
7,"Darnaby, Gabrielle",Sr,OH,6-0,104,,104,31,,139,71,527,0.129,16.0,13.0,17.0,136.0,35.0,1.0,29.0,4.0,166.5,3.0,0
6,"Kekeisen, Ashley",So,S,5-10,102,,102,29,,18,2,53,0.302,108.0,12.0,14.0,207.0,4.0,,7.0,,33.0,7.0,0
2,"Loussia, Ella",Fr,OH,6-1,96,,96,27,,210,94,609,0.19,7.0,16.0,17.0,78.0,9.0,,52.0,4.0,252.0,,0
5,"Shifflet, Carly",Sr,OH,5-8,92,,92,30,,20,13,137,0.051,12.0,1.0,7.0,143.0,17.0,,2.0,,22.0,,0
15,"Vanleer, Camille",Fr,MH,6-0,86,,86,28,,64,31,179,0.184,3.0,1.0,2.0,12.0,1.0,4.0,69.0,8.0,103.5,,0
8,"Vazquez, Camila",So,MB,6-2,74,,74,22,,164,34,338,0.385,6.0,,2.0,12.0,6.0,3.0,83.0,4.0,208.5,2.0,0
1,"Woods, Melina",So,RS,6-0,44,,44,14,,84,50,290,0.11699999999999999,9.0,7.0,5.0,68.0,7.0,,10.0,1.0,96.0,1.0,0
12,"Diaz Lopez, Andrea",Jr,OH,5-10,36,,36,15,,41,34,135,0.052000000000000005,3.0,3.0,8.0,27.0,,1.0,17.0,1.0,53.5,1.0,0
0,"Ruby, Joli",So,L/DS,5-8,28,,28,13,,1,2,8,-0.125,2.0,2.0,4.0,37.0,8.0,,,,3.0,,0
10,"Chamulak, Callie",So,S,5-5,12,,12,7,,0,2,2,-1.0,2.0,,,6.0,7.0,,,,,,0
-,TEAM,-,-,-,-,-,11,5,,0,0,0,,,,,,14.0,,,,,,0
-,Totals,-,-,-,-,-,123,15,,1468,584,4529,0.195,1349.0,179.0,204.0,2068.0,184.0,29.0,448.0,47.0,1900.0,32.0,15
-,Opponent Totals,-,-,-,-,-,123,15,,1607,702,4732,0.191,1516.0,183.0,192.0,2167.0,178.0,28.0,351.0,51.0,1993.5,39.0,15
