Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Worley, Mikaela",Sr,OH,5-10,110,,110,32,,294,122,916,0.188,7.0,4.0,11.0,180.0,43.0,3.0,40.0,3.0,321.0,,0
9,"Thiede, Mckinley",So,S,5-9,110,,110,32,,6,5,34,0.028999999999999998,589.0,27.0,42.0,146.0,,,,,33.0,19.0,0
4,"Fisher, Darby",Fr,S,5-11,110,,110,32,,8,1,37,0.18899999999999997,473.0,18.0,33.0,153.0,2.0,,,1.0,26.0,25.0,0
6,"Blasingame, Kate",So,OH,5-10,108,,108,31,,277,133,1044,0.138,28.0,39.0,40.0,332.0,36.0,2.0,23.0,2.0,329.5,1.0,0
18,"Gosen, Ina",Jr,OH,6-0,106,,106,32,,199,59,518,0.27,6.0,25.0,24.0,98.0,2.0,16.0,51.0,3.0,265.5,,0
16,"Christie, Alix",Jr,MB,6-2,90,,90,28,,158,55,381,0.27,8.0,,1.0,26.0,1.0,21.0,71.0,11.0,214.0,,0
17,"Assaley, Cali",So,OH,6-0,81,,81,30,,113,69,322,0.13699999999999998,1.0,,,36.0,,2.0,25.0,4.0,127.0,,0
14,"Raschilla, Kathryn",Fr,RS,6-3,77,,77,27,,118,57,345,0.177,3.0,,,15.0,,5.0,30.0,3.0,137.5,,0
8,"McKay, Katie",Sr,DS,5-7,71,,71,27,,2,0,9,0.222,17.0,10.0,10.0,137.0,8.0,,,,12.0,,0
5,"Schaffer, Albany",Sr,DS,5-6,69,,69,21,,1,0,7,0.14300000000000002,39.0,12.0,25.0,243.0,11.0,,,,13.0,,0
7,"Hogan, Madeline",Fr,OH,5-11,61,,61,24,,3,3,22,0.0,14.0,11.0,11.0,183.0,15.0,,,,14.0,,0
11,"Appelman, Lauren",Jr,OH,6-0,54,,54,21,,73,37,229,0.157,2.0,,1.0,39.0,2.0,3.0,16.0,1.0,83.5,,0
1,"Carenza, Chloe",Jr,DS,5-4,53,,53,22,,0,2,9,-0.222,8.0,9.0,15.0,163.0,5.0,,,,9.0,,0
2,"Hughes, Hailey",Fr,MB,6-0,50,,50,23,,39,14,102,0.245,6.0,,,10.0,,4.0,31.0,1.0,58.5,1.0,0
10,"Davis, Shaska",Fr,OH,5-9,14,,14,7,,11,3,39,0.205,2.0,,,3.0,,,3.0,,12.5,,0
12,"Vann, Emma",So,OH,5-11,14,,14,9,,11,6,44,0.114,1.0,,,2.0,,,4.0,4.0,13.0,,0
-,TEAM,-,-,-,-,-,3,1,,0,0,0,,,,,,28.0,,,,,,0
-,Totals,-,-,-,-,-,112,30,,1320,570,4078,0.184,1204.0,156.0,213.0,1770.0,153.0,56.0,296.0,33.0,1564.0,46.0,30
-,Opponent Totals,-,-,-,-,-,112,30,,1462,601,4090,0.21100000000000002,1329.0,153.0,166.0,1916.0,156.0,46.0,292.0,33.0,1717.0,29.0,30
