Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Reich, Liz",Jr,MB,6-1,107,,107,29,,358,181,1119,0.158,1.0,,,42.0,,8.0,38.0,6.0,385.0,,0
12,"Barker, Katie",Sr,MB,6-1,107,,107,29,,181,72,496,0.22,6.0,26.0,66.0,57.0,,8.0,75.0,4.0,252.5,,0
10,"Hughes, Kellie",Jr,S,5-6,107,,107,29,,10,5,49,0.102,996.0,30.0,34.0,199.0,2.0,,20.0,3.0,49.5,16.0,0
16,"Williams, Carey",Jr,L/DS,5-7,107,,107,29,,1,2,12,-0.083,90.0,26.0,29.0,523.0,22.0,,,,27.0,5.0,0
13,"Forrest, Claire",So,OH,6-0,106,,106,29,,187,97,487,0.185,1.0,,,31.0,14.0,1.0,45.0,1.0,210.5,,0
7,"Scanlan, Emma",Jr,L/DS,5-7,105,,105,29,,0,1,9,-0.111,10.0,26.0,36.0,225.0,24.0,,,1.0,26.0,,0
6,"Zilbert, Grace",Fr,L,5-8,105,,105,29,,0,1,10,-0.1,7.0,38.0,39.0,216.0,30.0,,,,38.0,,0
17,"Hoeft, Shayla",Sr,MB,6-2,103,,103,28,,312,141,749,0.228,2.0,,,28.0,,11.0,65.0,12.0,355.5,4.0,0
15,"Naone, Kassidy",Jr,OH,5-11,82,,82,25,,128,79,558,0.08800000000000001,6.0,14.0,26.0,158.0,20.0,11.0,13.0,2.0,159.5,1.0,0
1,"Brigham, Jessie",So,L/DS,5-3,70,,70,25,,0,0,0,,4.0,3.0,,64.0,11.0,,,,3.0,,0
2,"Harris, Jayde",Fr,OH,5-11,48,,48,21,,97,63,316,0.10800000000000001,,12.0,6.0,50.0,17.0,,12.0,,115.0,,0
5,"Helm, Noelani",Fr,S,5-10,32,,32,14,,3,2,22,0.045,80.0,,1.0,9.0,,1.0,12.0,2.0,9.5,2.0,0
4,"Schwan, Mckenzie",Jr,L/DS,5-8,15,,15,8,,0,0,0,,,3.0,4.0,8.0,1.0,,,,3.0,,0
3,"DeMots, Emily",Jr,OH,6-2,7,,7,5,,2,1,8,0.125,,,,1.0,,,,1.0,2.0,,0
-,TEAM,-,-,-,-,-,18,8,,0,0,0,,,,,,10.0,,,,,,0
-,Totals,-,-,-,-,-,107,10,,1279,645,3835,0.165,1203.0,178.0,241.0,1611.0,151.0,40.0,280.0,32.0,1637.0,28.0,10
-,Opponent Totals,-,-,-,-,-,107,10,,1278,474,3595,0.22399999999999998,1198.0,152.0,230.0,1582.0,178.0,50.0,496.0,31.0,1728.0,28.0,10
