Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
20,"Melville, McKenna",So,OH,6-1,122,,122,33,,548,151,1536,0.258,25.0,30.0,54.0,382.0,12.0,13.0,43.0,16.0,612.5,1.0,0.0
32,"Watson, Anne-Marie",Jr,OH,6-0,122,,122,33,,314,112,749,0.27,3.0,,,32.0,,7.0,154.0,8.0,398.0,1.0,0.0
15,"Fisher, Kristina",Jr,OH,5-11,122,,122,33,,357,97,1008,0.258,19.0,28.0,27.0,336.0,31.0,8.0,21.0,8.0,403.5,,0.0
2,"Olson, Erin",Sr,S,5-9,121,,121,33,,10,6,40,0.1,682.0,14.0,24.0,296.0,,,,,24.0,18.0,0.0
29,"Kuchmaner, Makenzie",Sr,DS,5-8,119,,119,32,,2,0,14,0.14300000000000002,168.0,16.0,26.0,473.0,19.0,,,,18.0,1.0,0.0
7,"Moravec, Nerissa",Jr,MB,6-2,114,,114,32,,105,27,238,0.32799999999999996,8.0,,,36.0,1.0,10.0,141.0,18.0,185.5,,0.0
3,"Olson, Amber",So,S,6-0,96,,96,27,,4,3,17,0.059000000000000004,513.0,25.0,14.0,191.0,,,,,29.0,6.0,0.0
9,"Harper, Lache",Jr,OH,6-2,85,,85,27,,98,17,198,0.409,13.0,8.0,21.0,61.0,1.0,6.0,106.0,9.0,165.0,,0.0
14,"Sabol, Alli",Sr,RS,6-3,75,,75,27,,121,32,303,0.294,1.0,,,25.0,,2.0,48.0,2.0,147.0,,0.0
21,"Wesolich, Kathryn",So,MB,6-2,69,,69,23,,42,27,114,0.132,6.0,11.0,21.0,27.0,,,56.0,5.0,81.0,1.0,0.0
19,"Chambers, MaKenzie",Fr,RS,6-0,59,,59,19,,96,40,229,0.245,1.0,,,21.0,,4.0,40.0,3.0,120.0,,0.0
6,"Pass, Dresden",Fr,S,5-9,55,,55,21,,0,0,2,0.0,155.0,8.0,14.0,52.0,,,,,8.0,8.0,0.0
33,"Painter, Mary Kate",Jr,L/DS,5-4,22,,22,10,,0,0,1,0.0,5.0,1.0,4.0,13.0,,,,,1.0,,0.0
11,"Ribas, Faby",So,DS,5-5,16,,16,9,,0,0,0,,,1.0,3.0,3.0,,,,,1.0,,0.0
13,"Perez, Paulina",So,OH,6-0,2,,2,2,,0,0,0,,,1.0,1.0,1.0,,,,,1.0,,0.0
1,"Chambers, Morghan",Fr,OH,6-2,1,,1,1,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,7,5,,0,0,0,,,,,,25.0,,,,,,0.0
-,Totals,-,-,-,-,-,122,22,,1697,512,4450,0.266,1599.0,143.0,209.0,1949.0,89.0,50.0,609.0,69.0,2194.5,36.0,22.0
-,Opponent Totals,-,-,-,-,-,122,22,,1580,712,4530,0.192,1491.0,89.0,224.0,1959.0,143.0,50.0,314.0,50.0,1876.0,38.0,22.0
