Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Wood, Bri",Jr,RS,5-10,113,,113,30,,369,98,951,0.285,47.0,12.0,12.0,338.0,29.0,3.0,29.0,3.0,398.5,3.0,0
10,"Markwith, Brandee",Sr,L/DS,5-8,113,,113,30,,2,2,17,0.0,119.0,17.0,25.0,499.0,39.0,,,,19.0,1.0,0
32,"Hall, Sydney",So,MB,6-1,112,,112,30,,160,63,417,0.233,8.0,7.0,12.0,33.0,5.0,27.0,67.0,17.0,227.5,1.0,0
2,"Martin, Shelby",Jr,S,5-11,111,,111,30,,65,21,156,0.282,703.0,27.0,28.0,240.0,2.0,1.0,10.0,3.0,97.5,15.0,0
99,"Osuegbu, Toya",Sr,MB,5-11,107,,107,29,,117,32,288,0.295,,,1.0,21.0,4.0,19.0,80.0,1.0,176.0,1.0,0
41,"Kleinman, Sydney",Jr,OH,6-2,105,,105,28,,354,148,937,0.22,16.0,22.0,43.0,193.0,37.0,7.0,34.0,3.0,400.0,,0
23,"Harmon, Marissa",Jr,S,6-1,99,,99,28,,23,6,86,0.198,442.0,22.0,39.0,139.0,2.0,1.0,4.0,,48.0,10.0,0
14,"Heyliger-Powell, Kaiya",Jr,OH,6-1,98,,98,29,,109,42,309,0.217,5.0,,,26.0,,3.0,39.0,12.0,131.5,,0
8,"Tyson, Natalie",So,OH,5-8,98,,98,29,,212,74,631,0.21899999999999997,7.0,3.0,8.0,96.0,5.0,4.0,24.0,3.0,231.0,,0
16,"Willis, Alden",So,DS,5-4,91,,91,28,,1,0,4,0.25,12.0,14.0,13.0,112.0,7.0,,,,15.0,,0
11,"Vanderhorst, Kalee",Jr,OH,5-10,65,,65,26,,57,35,197,0.11199999999999999,5.0,,4.0,43.0,,,15.0,1.0,64.5,1.0,0
6,"Wilmoth, Chloe",Fr,OH,6-1,35,,35,12,,0,0,1,0.0,,5.0,5.0,15.0,1.0,,,,5.0,1.0,0
7,"Garcia, Jaylibeth",Fr,MB,6-1,35,,35,16,,10,6,36,0.111,3.0,3.0,10.0,14.0,,2.0,5.0,5.0,17.5,,0
9,"Jefferies, Janiece",So,S,5-10,5,,5,4,,1,0,1,1.0,,,,1.0,,,1.0,,1.0,,0
-,TEAM,-,-,-,-,-,11,6,,0,0,0,,,,,,17.0,,,,,,0
-,Totals,-,-,-,-,-,113,12,,1480,527,4031,0.23600000000000002,1367.0,132.0,200.0,1770.0,148.0,67.0,308.0,48.0,1693.0,33.0,12
-,Opponent Totals,-,-,-,-,-,113,12,,1449,594,4068,0.21,1358.0,147.0,201.0,1753.0,133.0,40.0,278.0,51.0,1645.5,36.0,12
