Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Cusi, Jessica",So,DS,5-3,122,,122,32,,3,0,10,0.3,98.0,26.0,39.0,431.0,28.0,,1.0,,29.0,,0
12,"Barbosa, Elissa",So,OH,5-10,120,,120,32,,260,130,783,0.166,16.0,19.0,46.0,261.0,23.0,2.0,19.0,2.0,290.5,1.0,0
17,"Serrett, Makayla",Fr,MB,6-3,109,,109,31,,98,33,267,0.243,,,,15.0,1.0,12.0,72.0,8.0,146.0,,0
1,"Vujosevic, Iva",Sr,OH,5-11,109,,109,30,,379,204,1108,0.158,36.0,44.0,60.0,273.0,27.0,,27.0,1.0,436.5,2.0,0
6,"Wilhite, Peyton",Fr,RS,6-4,92,,92,31,,169,80,475,0.187,7.0,3.0,4.0,37.0,1.0,,44.0,2.0,194.0,,0
9,"Chen, Kelly",Fr,L,5-9,91,,91,32,,2,2,7,0.0,22.0,13.0,35.0,169.0,12.0,,,,15.0,,0
18,"Snipe, Margo",Sr,RS,6-0,90,,90,29,,161,49,465,0.24100000000000002,4.0,,5.0,40.0,,1.0,32.0,3.0,178.0,1.0,0
13,"Pivonka, Margo",Jr,OH,5-11,76,,76,26,,21,10,68,0.162,379.0,17.0,30.0,105.0,2.0,,10.0,3.0,43.0,23.0,0
15,"Plutnicki, Emma",Fr,S,6-2,73,,73,20,,39,6,82,0.402,591.0,15.0,11.0,151.0,,2.0,24.0,5.0,68.0,10.0,0
4,"Flaharty, Kendall",Fr,L,5-4,69,,69,25,,0,0,0,,4.0,14.0,28.0,20.0,6.0,,,,14.0,1.0,0
20,"Wilhite, Brennan",Jr,MB,6-3,62,,62,17,,77,23,174,0.31,2.0,4.0,14.0,9.0,1.0,12.0,36.0,3.0,111.0,,0
3,"Wertzberger, Riley",Jr,OH,6-0,60,,60,21,,84,53,277,0.11199999999999999,3.0,11.0,29.0,29.0,1.0,2.0,8.0,3.0,101.0,,0
11,"Boland, Kace",Fr,MB,6-3,56,,56,19,,24,27,117,-0.026000000000000002,1.0,,8.0,8.0,,2.0,31.0,4.0,41.5,,0
19,"Johnson, Jewell",Fr,MB,6-0,48,,48,16,,50,25,131,0.191,3.0,3.0,8.0,22.0,,6.0,23.0,3.0,70.5,,0
5,"Watkins, Ellie",Fr,S,5-7,43,,43,17,,2,0,5,0.4,142.0,9.0,15.0,46.0,2.0,,,,11.0,5.0,0
10,"Kelly, Charlotte",Sr,OH,5-11,40,,40,19,,32,28,116,0.034,5.0,1.0,15.0,19.0,8.0,,2.0,,34.0,3.0,0
8,"Adekunle, Lara",So,MB,6-1,9,,9,8,,1,1,6,0.0,,,,,,,3.0,,2.5,,0
-,TEAM,-,-,-,-,-,7,6,,0,0,0,,,,,,19.0,,,,,,0
-,Totals,-,-,-,-,-,122,6,,1402,671,4091,0.179,1313.0,179.0,347.0,1635.0,131.0,39.0,332.0,37.0,1786.0,46.0,6
-,Opponent Totals,-,-,-,-,-,122,6,,1413,617,3918,0.203,1315.0,131.0,274.0,1732.0,179.0,40.0,441.0,43.0,1804.5,38.0,6
