Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"McPherson, Shayne",Sr,L,5-6,133,,133,34,,1,0,4,0.25,152.0,24.0,39.0,500.0,28.0,,1.0,,25.5,,0
7,"Powell, Ella May",So,S,6-0,133,,133,34,,71,16,194,0.284,1394.0,42.0,55.0,308.0,,3.0,76.0,8.0,154.0,23.0,0
13,"Onosko, Cailin",Sr,L,5-6,130,,130,34,,0,1,2,-0.5,28.0,,1.0,153.0,19.0,,,,,,0
1,"Sanders, Lauren",Jr,MB,6-4,129,,129,33,,201,61,448,0.312,4.0,3.0,2.0,22.0,3.0,22.0,118.0,20.0,285.0,,0
15,"Bajema, Kara",Sr,OH,6-2,129,,129,33,,597,179,1490,0.281,16.0,33.0,45.0,318.0,31.0,12.0,68.0,12.0,676.0,1.0,0
9,"Drechsel, Samantha",Jr,OH,6-4,128,,128,33,,371,147,919,0.244,6.0,31.0,48.0,104.0,6.0,5.0,94.0,13.0,454.0,1.0,0
6,"Niece, Avie",Sr,MB,6-0,127,,127,34,,189,56,439,0.303,20.0,2.0,3.0,39.0,,17.0,150.0,24.0,283.0,2.0,0
8,"Bogomolova, Maria",Jr,OH,6-1,117,,117,33,,15,1,34,0.41200000000000003,3.0,28.0,36.0,44.0,,,2.0,1.0,44.0,,0
11,"Crenshaw, Shannon",So,OH,6-2,113,,113,32,,92,42,282,0.177,16.0,11.0,20.0,211.0,27.0,1.0,20.0,4.0,114.0,2.0,0
21,"Hoffman, Claire",So,OH,6-2,91,,91,24,,227,90,658,0.20800000000000002,4.0,11.0,29.0,140.0,18.0,2.0,24.0,3.0,252.0,,0
5,"Calle, Emma",Jr,L,5-11,33,,33,16,,0,0,0,,2.0,6.0,12.0,11.0,,,,,6.0,,0
12,"Grote, Marin",So,MB,6-4,27,,27,18,,20,5,47,0.319,,,,2.0,,2.0,14.0,,29.0,,0
10,"Cole, Dani",Fr,OH,6-1,15,,15,8,,10,11,38,-0.026000000000000002,,,,2.0,,,10.0,3.0,15.0,,0
17,"Houghton, Sianna",Fr,L,5-9,10,,10,6,,0,0,0,,1.0,1.0,3.0,3.0,,,,,1.0,,0
22,"Summers, Sophie",Fr,MB,6-3,1,,1,2,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,10,8,,0,0,0,,,,,,14.0,,,,,,0
-,Totals,-,-,-,-,-,133,14,,1794,609,4555,0.26,1646.0,192.0,293.0,1857.0,146.0,64.0,577.0,88.0,2232.0,29.0,14
-,Opponent Totals,-,-,-,-,-,133,14,,1661,741,4564,0.20199999999999999,1518.0,146.0,269.0,1848.0,192.0,46.0,424.0,61.0,1954.0,33.0,14
