Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
5,"Hughes, Aleah",Sr,OH,5-9,101,,101,29,,262,139,873,0.141,32.0,25.0,50.0,323.0,20.0,2.0,20.0,4.0,299.0,2.0,0.0
12,"Thompson, Margaux",Jr,OH,5-11,101,,101,29,,77,45,294,0.109,52.0,13.0,19.0,394.0,27.0,,11.0,3.0,95.5,,0.0
14,"Beaupre, Aimee",Fr,MB,6-0,96,,96,29,,110,59,421,0.121,4.0,12.0,10.0,31.0,,7.0,46.0,12.0,152.0,1.0,0.0
10,"Kalahar, Erin",Sr,RS,5-10,92,,92,29,,117,78,388,0.10099999999999999,5.0,31.0,34.0,56.0,,10.0,61.0,9.0,188.5,2.0,0.0
15,"Pe'a, Brooklen",So,RS,6-0,86,,86,25,,249,114,742,0.182,9.0,24.0,23.0,209.0,10.0,3.0,42.0,5.0,297.0,,0.0
23,"Byrnes, Alexia",So,S,5-10,78,,78,23,,101,42,321,0.184,632.0,12.0,14.0,221.0,,5.0,26.0,11.0,131.0,24.0,0.0
11,"Seagroves, Reilly",Fr,DS,5-3,71,,71,26,,2,5,18,-0.16699999999999998,37.0,11.0,16.0,135.0,24.0,,,,13.0,,0.0
9,"Darling, Libbie",So,S,5-8,64,,64,23,,15,8,42,0.16699999999999998,261.0,6.0,8.0,106.0,,,9.0,3.0,25.5,23.0,0.0
2,"Haggerty, Valor",Sr,MB,5-11,55,,55,20,,73,36,204,0.18100000000000002,,,,3.0,1.0,6.0,32.0,2.0,95.0,,0.0
20,"Oswald, Alyssa",Jr,OH,5-10,45,,45,16,,90,54,276,0.13,5.0,2.0,4.0,32.0,8.0,,7.0,6.0,95.5,,0.0
13,"Ramlow, Bailey",Fr,DS,5-6,40,,40,18,,1,0,1,1.0,13.0,1.0,5.0,63.0,14.0,,,,2.0,,0.0
3,"Relitz, Carla",Sr,RS,6-0,19,,19,9,,12,9,45,0.067,2.0,,3.0,10.0,1.0,1.0,5.0,,15.5,1.0,0.0
1,"Cleevely, Morgan",So,DS,5-6,19,,19,10,,1,0,6,0.16699999999999998,4.0,2.0,2.0,18.0,11.0,,,,3.0,1.0,0.0
6,"Hughes, Alexis",Fr,DS,5-8,8,,8,2,,0,0,1,0.0,1.0,,2.0,10.0,3.0,,,,,,
4,"Cox, Ellie",Fr,OH,5-11,6,,6,4,,5,6,16,-0.062,,1.0,,1.0,1.0,,,,6.0,,
18,"Starzek, Ashley",So,MB,6-3,3,,3,2,,0,1,2,-0.5,,,,1.0,,,1.0,3.0,0.5,,
16,"Emch, Emily",Fr,MB,6-0,1,,1,1,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,21,13,,0,0,0,,,,,,22.0,,,,,,0.0
-,Totals,-,-,-,-,-,101,5,,1115,596,3650,0.142,1057.0,140.0,190.0,1613.0,142.0,34.0,260.0,58.0,1365.0,54.0,5.0
-,Opponent Totals,-,-,-,-,-,101,5,,1312,463,3599,0.23600000000000002,1230.0,141.0,208.0,1703.0,140.0,44.0,334.0,39.0,1634.0,23.0,5.0
