Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
23,"Nedoma, Maggie",So,OPP,6-0,119,,119,31,,388,144,1136,0.215,17.0,33.0,63.0,273.0,22.0,4.0,65.0,7.0,457.5,1.0,0
6,"Giacomazzi, Vera",Jr,S,5-8,119,,119,31,,42,12,159,0.18899999999999997,1352.0,21.0,24.0,323.0,,3.0,71.0,4.0,100.5,9.0,0
7,"Howe, Meredith",Sr,L,5-4,119,,119,31,,0,1,5,-0.2,7.0,17.0,33.0,224.0,16.0,,,,17.0,,0
22,"Margolies, Olivia",Fr,OH,6-1,111,,111,31,,245,93,807,0.188,1.0,2.0,17.0,72.0,10.0,8.0,26.0,4.0,268.0,,0
18,"Reihing, Macy",Jr,L/DS,5-3,107,,107,28,,1,2,12,-0.083,73.0,15.0,16.0,488.0,32.0,,,,16.0,,0
21,"Livingway, Ciara",Fr,L/DS,5-7,100,,100,30,,0,0,1,0.0,4.0,8.0,14.0,83.0,,,,,8.0,,0
19,"Bouyer, Dahlias",So,MB,5-11,97,,97,28,,171,40,375,0.349,1.0,,,25.0,,15.0,79.0,11.0,225.5,1.0,0
15,"Jimerson, Tia",Jr,MB,6-3,86,,86,23,,276,75,544,0.369,2.0,5.0,3.0,53.0,,28.0,86.0,17.0,352.0,1.0,0
3,"Stephens, Lizzie",Sr,OH,6-0,79,,79,20,,162,90,535,0.135,7.0,35.0,64.0,186.0,12.0,5.0,11.0,3.0,207.5,,0
2,"Phillip, Shayla",Sr,MB,5-10,73,,73,23,,123,51,309,0.233,1.0,,3.0,30.0,,8.0,24.0,6.0,143.0,1.0,0
14,"Park, Lauren",So,OH,6-1,63,,63,22,,148,88,472,0.127,,,,32.0,3.0,10.0,11.0,7.0,163.5,1.0,0
10,"Tupa, Emma",So,OH,6-2,34,,34,11,,0,3,5,-0.6,2.0,10.0,12.0,114.0,5.0,,,,10.0,,0
4,"Januszewski, Sara",Sr,MB,6-2,14,,14,6,,16,10,39,0.154,1.0,,,2.0,,1.0,4.0,3.0,19.0,,0
17,"Natale, Virginia",So,DS,5-8,9,,9,6,,0,0,0,,,,,6.0,,,,,,,0
9,"Walsh, Emily",So,DS,5-4,4,,4,3,,0,0,0,,2.0,,1.0,,,,,,,,0
8,"Angermeier, Ila",So,OH,6-0,4,,4,4,,2,1,8,0.125,,,,1.0,1.0,,,,2.0,,0
13,"Webb, Ashton",Fr,OH,6-1,3,,3,3,,0,0,1,0.0,,,,,,,,,,,0
5,"Vaughn, Allyson",Sr,OH,5-11,2,,2,2,,0,0,0,,,,,1.0,,,,,,,0
16,"Margolies, Emily",Fr,OPP,6-1,1,,1,1,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,14,5,,0,0,0,,,,,,31.0,,,1.0,,,0
-,Totals,-,-,-,-,-,119,24,,1574,610,4408,0.21899999999999997,1470.0,146.0,250.0,1913.0,132.0,82.0,377.0,63.0,1933.5,14.0,24
-,Opponent Totals,-,-,-,-,-,119,24,,1575,631,4410,0.214,1462.0,133.0,257.0,1956.0,144.0,66.0,333.0,54.0,1868.5,40.0,24
