Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
13,"Holmes, Briana",So,MB,-,118,,118,30,,116,42,257,0.28800000000000003,3.0,,,30.0,,24.0,106.0,18.0,193.0,,0.0
5,"Deaton, Lauren",So,OH,-,118,,118,30,,443,188,1252,0.204,31.0,4.0,17.0,293.0,43.0,7.0,25.0,3.0,466.5,1.0,0.0
14,"Rayzor, Sierra",Jr,MB,6-0,118,,118,30,,185,56,360,0.358,2.0,,1.0,24.0,3.0,16.0,71.0,8.0,236.5,,0.0
11,"Meglic, Corinne",Jr,S,5-10,118,,118,30,,50,18,172,0.18600000000000003,1292.0,28.0,52.0,193.0,,10.0,57.0,9.0,116.5,12.0,0.0
8,"Hobbs, Kelsi",Sr,OH,6-1,118,,118,30,,466,145,1173,0.27399999999999997,10.0,33.0,52.0,268.0,,5.0,54.0,12.0,531.0,,0.0
6,"Salasky, Andie",Fr,L/DS,5-6,116,,116,30,,0,0,2,0.0,5.0,32.0,39.0,36.0,1.0,,,,32.0,,0.0
16,"Johnson, Courtney",Sr,L/DS,5-5,115,,115,30,,1,0,1,1.0,2.0,21.0,15.0,81.0,5.0,,,,22.0,,0.0
12,"Tiesman, Grace",Sr,DS,5-8,115,,115,30,,278,126,862,0.17600000000000002,22.0,31.0,44.0,353.0,43.0,14.0,41.0,10.0,343.5,,0.0
17,"Naubert, Emily",Fr,L/DS,5-9,112,,112,30,,1,1,18,0.0,57.0,33.0,25.0,454.0,39.0,,,,34.0,1.0,0.0
1,"Watford, Elise",Sr,RS,5-10,9,,9,6,,2,1,7,0.14300000000000002,2.0,,,2.0,,,,,2.0,,
7,"Green, Sinclaire",So,MB,6-2,9,,9,6,,0,1,2,-0.5,,,,1.0,,,,,,,0.0
3,"Farley, Sarah Hayes",Fr,OH,6-0,8,,8,4,,7,1,19,0.316,,,,7.0,3.0,,3.0,,8.5,,0.0
4,"Dean, Charlotte",Fr,S,5-9,4,,4,3,,0,1,2,-0.5,8.0,1.0,1.0,,,,1.0,1.0,1.5,,
15,"McQuirter, Kenya",Fr,OH,5-11,4,,4,4,,0,1,2,-0.5,,,,,,,,,,,0.0
2,"Pressnell, Alex",Fr,L/DS,5-5,2,,2,2,,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,23,13,,0,0,0,,1.0,,,,25.0,,,,,,0.0
-,Totals,-,-,-,-,-,118,10,,1549,581,4129,0.23399999999999999,1435.0,183.0,246.0,1742.0,162.0,76.0,358.0,61.0,1987.0,14.0,10.0
-,Opponent Totals,-,-,-,-,-,118,10,,1343,640,4053,0.17300000000000001,1232.0,164.0,218.0,1669.0,183.0,49.0,334.0,78.0,1723.0,35.0,10.0
