Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Blaschko, Anna",Jr,MB,6-1,129,,129,33,,360,84,707,0.39,4.0,10.0,21.0,52.0,,14.0,85.0,11.0,426.5,2.0,0
8,"Mountjoy, Claire",Jr,L/DS,5-5,129,,129,33,,4,0,10,0.4,106.0,24.0,14.0,561.0,20.0,,,,28.0,1.0,0
1,"Morehead, Courtney",Sr,DS,5-6,128,,128,33,,2,0,4,0.5,26.0,25.0,57.0,282.0,25.0,,,,27.0,,0
6,"Sade, Isabella",Jr,OH,6-2,125,,125,33,,448,215,1172,0.19899999999999998,3.0,37.0,41.0,103.0,12.0,2.0,41.0,7.0,507.5,,0
10,"Limback, Sadie",So,RS,6-0,118,,118,30,,411,154,979,0.263,9.0,21.0,31.0,86.0,8.0,6.0,74.0,7.0,475.0,2.0,0
15,"Clarkson, Sami",Fr,S,5-11,102,,102,26,,32,17,117,0.128,1175.0,18.0,45.0,209.0,,2.0,27.0,4.0,64.5,11.0,0
5,"Michalek, Kenzie",So,DS,5-7,101,,101,27,,0,1,6,-0.16699999999999998,17.0,30.0,43.0,184.0,20.0,,,,30.0,,0
13,"Marshall, Rylee",So,MB,6-1,92,,92,24,,70,29,214,0.192,7.0,,,27.0,1.0,9.0,77.0,11.0,117.5,1.0,0
14,"Leonard, Claire",Jr,OH,6-0,86,,86,28,,178,96,566,0.145,5.0,5.0,20.0,85.0,13.0,2.0,24.0,4.0,196.5,,0
20,"Williams, Erin",Fr,DS,5-4,86,,86,24,,0,1,1,-1.0,6.0,22.0,30.0,55.0,3.0,,,,22.0,,0
7,"Blase, Alexa",So,OH,5-11,59,,59,18,,110,62,326,0.147,2.0,,2.0,13.0,14.0,2.0,16.0,3.0,120.0,,0
17,"Fairbanks, Rachel",Fr,MB,6-0,48,,48,15,,90,36,226,0.239,3.0,,,8.0,,2.0,43.0,3.0,113.0,,0
2,"Eiche, Giselle",So,DS,5-7,37,,37,10,,0,0,0,,1.0,,4.0,64.0,8.0,,,,,,0
4,"Taylor, Jaclyn",Jr,S,5-11,28,,28,9,,13,4,47,0.191,268.0,7.0,4.0,57.0,,2.0,10.0,4.0,27.0,6.0,0
16,"Woods, Megan",Fr,OH,5-10,21,,21,12,,24,12,78,0.154,2.0,9.0,15.0,47.0,5.0,,1.0,,33.5,,0
3,"Haynes, Kayla",Fr,RS,5-11,3,,3,3,,0,0,0,,,,,,,,,,,,0
-,TEAM,-,-,-,-,-,4,3,,0,0,0,,,,,,26.0,,,,,,0
-,Totals,-,-,-,-,-,129,25,,1742,713,4453,0.231,1635.0,208.0,327.0,1839.0,157.0,41.0,398.0,54.0,1960.5,23.0,25
-,Opponent Totals,-,-,-,-,-,129,25,,1432,656,4215,0.184,1340.0,158.0,227.0,1716.0,208.0,54.0,362.0,66.0,1650.0,22.0,25
