Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
18,"Brueggeman, Ashley",Sr,RS,6-2,113,,113,30,,356,120,917,0.257,24.0,11.0,22.0,246.0,21.0,8.0,65.0,8.0,407.5,2.0,0
8,"Rutten, Lydia",Jr,MH,6-2,112,,112,30,,227,72,560,0.27699999999999997,9.0,9.0,19.0,40.0,1.0,14.0,85.0,10.0,292.5,,0
1,"Chwialkowski, Darian",So,OH,5-11,106,,106,29,,87,63,357,0.067,38.0,23.0,32.0,401.0,34.0,2.0,19.0,1.0,121.5,1.0,0
15,"Riedl, Taylor",Jr,OH,6-0,106,,106,30,,128,66,530,0.11699999999999999,11.0,15.0,23.0,173.0,50.0,5.0,36.0,3.0,166.0,,0
20,"Hart, Madi",So,L/DS,-,103,,103,29,,1,1,17,0.0,12.0,15.0,20.0,209.0,19.0,,,,16.0,,0
6,"Sewell, Peyton",Fr,S,5-9,97,,97,27,,50,17,160,0.20600000000000002,631.0,19.0,33.0,111.0,,1.0,18.0,3.0,79.0,16.0,0
9,"Damon, Mckenzie",Fr,L,5-8,93,,93,29,,2,0,7,0.28600000000000003,42.0,24.0,21.0,272.0,37.0,,,,26.0,,0
7,"Ahrens, Lexi",So,MH,6-2,88,,88,23,,186,77,464,0.235,6.0,2.0,5.0,28.0,1.0,11.0,54.0,9.0,226.0,,0
11,"Vetter, Julia",So,S,5-10,78,,78,24,,24,8,84,0.19,380.0,9.0,22.0,103.0,,2.0,5.0,1.0,37.5,16.0,0
10,"Antic, Sara",Jr,OH,6-1,76,,76,26,,68,28,233,0.172,4.0,11.0,6.0,52.0,13.0,1.0,6.0,5.0,83.0,,0
2,"Nieukirk, Brynn",So,OH,6-2,51,,51,15,,84,38,312,0.147,3.0,,,37.0,9.0,4.0,13.0,5.0,94.5,,0
14,"Wahl, Kelly",So,MH,6-1,45,,45,17,,35,17,116,0.155,1.0,,,8.0,1.0,7.0,30.0,3.0,57.0,,0
5,"McGlynn, Abi",Fr,DS,5-10,17,,17,8,,15,12,49,0.061,1.0,2.0,4.0,17.0,3.0,,1.0,,17.5,,0
3,"Hunt, Morgan",Fr,MH,6-3,4,,4,4,,1,3,9,-0.222,,,,,,,1.0,1.0,1.5,,0
-,TEAM,-,-,-,-,-,9,7,,0,0,0,,,,,,16.0,,,,,,0
-,Totals,-,-,-,-,-,113,11,,1264,522,3815,0.19399999999999998,1162.0,140.0,207.0,1697.0,205.0,55.0,333.0,49.0,1512.5,35.0,11
-,Opponent Totals,-,-,-,-,-,113,11,,1522,621,4067,0.222,1400.0,205.0,243.0,1820.0,139.0,42.0,252.0,45.0,1804.0,23.0,11
