Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
16,"Knudsen, Kelsey",So,L/DS,5-8,106,,106,28,,4,1,10,0.3,94.0,15.0,15.0,363.0,45.0,,,,19.0,4.0,0
1,"Ashley, Breyan",So,OH,5-11,106,,106,28,,312,153,936,0.17,21.0,32.0,32.0,242.0,66.0,2.0,39.0,7.0,365.5,1.0,0
15,"Baka, Elena",Fr,OH,6-1,105,,105,28,,280,130,881,0.17,11.0,14.0,27.0,250.0,26.0,6.0,50.0,4.0,325.0,1.0,0
14,"Parker, Alexsa",Sr,S,5-8,104,,104,28,,16,7,51,0.17600000000000002,677.0,44.0,47.0,216.0,1.0,,15.0,5.0,67.0,7.0,0
6,"Young, Sienna",Sr,OH,5-11,104,,104,28,,210,99,630,0.17600000000000002,5.0,6.0,10.0,97.0,2.0,1.0,72.0,2.0,253.0,2.0,0
22,"Thompson, Alosina",So,S,5-10,89,,89,26,,21,4,61,0.27899999999999997,306.0,11.0,22.0,108.0,,,1.0,1.0,32.5,8.0,0
7,"Pitts, Aubrey",Sr,MB,6-2,86,,86,25,,125,36,301,0.29600000000000004,1.0,2.0,3.0,22.0,2.0,18.0,106.0,8.0,198.0,,0
21,"Laird, Jennifer",Jr,MB,5-11,78,,78,23,,98,44,278,0.19399999999999998,3.0,2.0,4.0,32.0,,6.0,50.0,6.0,131.0,,0
12,"O'Sullivan, Alex",Sr,MB,5-10,76,,76,24,,93,33,244,0.24600000000000002,5.0,,,14.0,1.0,11.0,79.0,16.0,143.5,,0
4,"Christensen, Selbie",So,OH,6-2,70,,70,23,,57,36,191,0.11,6.0,,,13.0,,1.0,44.0,1.0,79.5,,0
23,"Matoso, Abigail",So,L/DS,5-8,63,,63,19,,0,0,2,0.0,1.0,10.0,29.0,14.0,1.0,,,,10.0,,0
3,"van Santen, Jadyn",Fr,OH,6-1,30,,30,10,,1,1,7,0.0,1.0,4.0,13.0,12.0,2.0,,,1.0,5.0,,0
19,"Cowell, Chandler",So,OH,5-10,11,,11,7,,15,7,38,0.21100000000000002,,1.0,3.0,16.0,3.0,,4.0,,17.5,,0
-,TEAM,-,-,-,-,-,3,3,,0,0,0,,,,,,15.0,,,,,,0
-,Totals,-,-,-,-,-,106,21,,1232,551,3630,0.188,1131.0,141.0,205.0,1399.0,164.0,45.0,460.0,51.0,1648.0,23.0,21
-,Opponent Totals,-,-,-,-,-,106,21,,1366,623,3674,0.20199999999999999,1259.0,164.0,194.0,1561.0,141.0,46.0,403.0,35.0,1777.5,34.0,21
