Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
4,"McClure, Meghan",Jr,OH,6-0,120,,120.0,34,,230,59,705,0.243,46.0,26.0,32.0,333.0,20.0,2.0,47.0,9.0,281.5,,0.0
11,"Formico, Kate",Jr,DS,5-9,120,,120.0,34,,0,0,1,0.0,38.0,29.0,61.0,257.0,19.0,,,,29.0,,0.0
15,"Gates, Madeleine",Sr,MB,6-3,120,,120.0,34,,267,53,631,0.33899999999999997,8.0,7.0,12.0,35.0,3.0,11.0,157.0,13.0,363.5,,0.0
9,"Hentz, Morgan",Sr,L,5-9,120,,120.0,34,,1,1,4,0.0,149.0,22.0,47.0,603.0,11.0,,,,23.0,,0.0
1,"Gray, Jenna",Sr,S,6-1,120,,120.0,34,,111,12,211,0.469,1394.0,28.0,33.0,242.0,,8.0,84.0,10.0,189.0,9.0,0.0
12,"Fitzmorris, Audriana",Sr,OPP,6-6,117,,117.0,33,,336,90,818,0.301,2.0,5.0,9.0,51.0,2.0,2.0,114.0,3.0,400.0,,0.0
3,"Campbell, Holly",So,MB,6-4,116,,116.0,34,,167,57,379,0.29,2.0,,1.0,21.0,,5.0,144.0,8.0,244.0,1.0,0.0
21,"Wilson, Sidney",Jr,DS,6-0,97,,97.0,33,,0,0,0,,1.0,18.0,18.0,20.0,,,,,18.0,,0.0
2,"Plummer, Kathryn",Sr,OH,6-6,85,,85.0,24,,444,135,935,0.33,18.0,24.0,34.0,163.0,18.0,1.0,46.0,13.0,492.0,2.0,0.0
10,"Kipp, Kendall",Fr,OH,6-5,66,,66.0,23,,166,71,421,0.226,2.0,1.0,1.0,21.0,3.0,1.0,28.0,5.0,182.0,,0.0
20,"Keefe, Caitlin",Sr,DS,5-11,51,,51.0,19,,0,0,2,0.0,6.0,2.0,6.0,80.0,5.0,,,,2.0,,0.0
7,"Fidelak, Mackenzie",So,OPP,6-1,8,,8.0,6,,17,7,40,0.25,,,,6.0,,,2.0,2.0,18.0,,0.0
8,"Keefe, Michaela",Jr,OH,6-2,8,,8.0,6,,10,7,33,0.091,,,,1.0,1.0,,,,10.0,,
16,"Berty, Natalie",Fr,OH,6-3,8,,8.0,3,,24,7,45,0.37799999999999995,,,,3.0,,,2.0,,25.0,,0.0
14,"Vicini, McKenna",Fr,MB,6-2,7,,7.0,4,,6,3,10,0.3,1.0,,,1.0,1.0,,6.0,,9.0,,0.0
6,"Xu, Selina",Fr,S,6-0,4,,4.0,4,,1,0,1,1.0,7.0,,1.0,2.0,,,,,1.0,,0.0
-,TEAM,-,-,-,-,-,,0,,0,0,0,,,,,,1.0,,,,,,0.0
-,Totals,-,-,-,-,-,120.0,11,,1780,502,4236,0.302,1674.0,162.0,255.0,1839.0,84.0,30.0,630.0,63.0,2287.0,12.0,11.0
-,Opponent Totals,-,-,-,-,-,120.0,11,,1436,678,4304,0.17600000000000002,1354.0,84.0,211.0,1662.0,162.0,44.0,370.0,66.0,1749.0,21.0,11.0
