Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
12,"O'Loughlin, Kelsey",Fr,S,5-9,102,,102,28,,84,18,215,0.307,966.0,28.0,32.0,262.0,1.0,3.0,33.0,19.0,131.0,20.0,0
22,"Bullard, Sophie",Sr,OH,5-10,102,,102,28,,307,118,928,0.204,34.0,19.0,25.0,347.0,27.0,4.0,30.0,5.0,345.0,,0
16,"Richards, Mimi",Sr,MB,6-1,101,,101,28,,234,84,559,0.268,7.0,13.0,12.0,41.0,1.0,22.0,81.0,8.0,309.5,3.0,0
4,"Carroll, Anna",Jr,RS,6-0,100,,100,28,,235,103,706,0.187,15.0,19.0,17.0,140.0,,5.0,46.0,7.0,282.0,1.0,0
2,"Zoch, Lisa",Fr,OH,6-0,99,,99,28,,192,123,640,0.10800000000000001,23.0,26.0,32.0,233.0,19.0,4.0,25.0,1.0,234.5,1.0,0
33,"Stark, Brooke",Sr,L,5-7,96,,96,27,,3,1,11,0.182,70.0,26.0,20.0,398.0,29.0,,,,29.0,,0
13,"Stupek, Zoe",Fr,L,5-6,82,,82,25,,0,0,0,,17.0,1.0,5.0,107.0,13.0,,1.0,,1.5,,0
6,"Buchanan, Emma",So,MB,6-2,72,,72,22,,89,42,225,0.209,3.0,,,9.0,1.0,8.0,43.0,5.0,118.0,,0
9,"Singer, Sarina",Fr,OH,5-9,38,,38,20,,8,5,31,0.09699999999999999,1.0,,7.0,43.0,,1.0,,,9.0,,0
14,"Holland, Bridgette",Sr,MB,6-0,37,,37,12,,93,27,215,0.307,3.0,,1.0,11.0,1.0,5.0,19.0,1.0,107.5,,0
8,"Pieroni, Angela",So,DS,5-4,27,,27,10,,0,0,1,0.0,,4.0,6.0,9.0,,,,,4.0,,0
7,"Sottani, Vittoria",So,OH,5-9,16,,16,10,,13,9,48,0.083,2.0,1.0,3.0,16.0,,1.0,8.0,5.0,18.5,,0
10,"Schnobrich, Selby",Sr,S,5-10,15,,15,7,,4,2,12,0.16699999999999998,36.0,1.0,1.0,8.0,,,1.0,,5.5,,0
15,"Korusiewicz, Sandra",Fr,RS,6-0,9,,9,5,,1,1,2,0.0,,,4.0,1.0,,,,,1.0,,0
17,"Eng, Vanessa",Fr,DS,5-4,8,,8,5,,0,0,0,,1.0,,2.0,3.0,,,,,,,0
5,"Anderson, Camryn",Fr,RS,5-11,8,,8,5,,0,4,13,-0.308,,,,3.0,,,1.0,,,,0
11,"Lewis, Delanie",Jr,OH,5-10,4,,4,2,,0,0,2,0.0,2.0,,2.0,13.0,,,,,,,0
3,"Burke, Jennifer",So,OH,-,2,,2,3,,0,0,0,,,,,1.0,,,,,,,0
-,TEAM,-,-,-,-,-,6,4,,0,0,0,,,,,,34.0,,,,,,0
-,Totals,-,-,-,-,-,102,21,,1263,537,3608,0.201,1180.0,138.0,169.0,1645.0,126.0,53.0,288.0,51.0,1598.0,25.0,21
-,Opponent Totals,-,-,-,-,-,102,21,,1309,539,3755,0.205,1198.0,126.0,191.0,1591.0,138.0,68.0,304.0,44.0,1655.0,46.0,21
