Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,Quinnipiac,W 3 - 2,5,67,24,171,0.251,60,6,10,83,9,1,24,3,86.0,0.0
08262017,SIUE,L 1 - 3,4,47,29,137,0.131,45,5,14,44,4,2,12,2,60.0,0.0
08262017,Toledo,W 3 - 1,4,62,20,156,0.26899999999999996,56,7,17,57,4,0,8,2,73.0,0.0
08292017,IUPUI,W 3 - 0,3,48,23,145,0.172,46,5,10,74,3,2,16,1,63.0,0.0
09012017,"Bradley @ Muncie, Ind.",L 0 - 3,3,37,19,115,0.157,36,4,9,45,2,2,4,1,45.0,0.0
09012017,"Navy @ Muncie, Ind.",L 0 - 3,3,37,25,117,0.10300000000000001,36,2,8,46,3,2,8,1,45.0,0.0
09022017,@ Ball St.,L 0 - 3,3,33,27,115,0.052000000000000005,31,3,7,53,2,1,8,1,41.0,0.0
09052017,Wright St.,L 2 - 3,5,59,23,181,0.19899999999999998,56,2,10,73,4,3,12,2,70.0,0.0
09082017,"Akron @ Youngstown, Ohio",W 3 - 1,4,56,17,122,0.32,49,4,6,51,7,5,12,1,71.0,0.0
09082017,@ Youngstown St.,W 3 - 1,4,51,16,142,0.24600000000000002,51,5,9,64,4,1,16,0,65.0,0.0
09092017,"Saint Francis (PA) @ Youngstown, Ohio",W 3 - 0,3,44,12,101,0.317,44,6,11,47,5,2,20,0,62.0,0.0
09122017,@ Eastern Mich.,W 3 - 1,4,48,25,160,0.14400000000000002,49,2,7,69,3,1,14,0,58.0,0.0
09152017,"Towson @ Rochester, Mich.",L 1 - 3,4,55,24,158,0.196,52,2,8,61,6,4,12,6,67.0,0.0
09162017,"Kent St. @ Rochester, Mich.",L 2 - 3,5,63,27,193,0.187,59,3,12,79,2,2,14,2,75.0,0.0
09162017,@ Oakland,W 3 - 0,3,44,10,97,0.35100000000000003,40,7,8,35,1,0,2,0,52.0,0.0
09222017,@ Oral Roberts,L 1 - 3,4,57,20,146,0.253,55,2,14,55,4,1,7,3,63.5,0.0
09242017,@ Denver,L 2 - 3,5,51,25,146,0.17800000000000002,50,6,11,63,5,4,6,2,64.0,0.0
09292017,South Dakota,L 0 - 3,3,41,19,132,0.16699999999999998,37,1,13,54,2,0,14,3,49.0,0.0
10012017,Omaha,L 2 - 3,5,65,26,199,0.196,60,6,13,90,7,1,16,0,80.0,0.0
10062017,North Dakota St.,W 3 - 1,4,45,29,156,0.10300000000000001,43,5,10,73,2,4,12,1,60.0,0.0
10082017,Western Ill.,W 3 - 0,3,51,22,118,0.24600000000000002,49,2,12,55,1,2,2,1,56.0,0.0
10142017,@ South Dakota St.,W 3 - 0,3,46,19,102,0.265,45,3,5,43,0,1,8,0,54.0,0.0
10172017,@ Valparaiso,L 0 - 3,3,37,21,140,0.114,36,3,3,72,6,0,10,1,45.0,0.0
10202017,Oral Roberts,L 1 - 3,4,47,24,160,0.14400000000000002,47,3,7,69,5,1,14,2,58.0,0.0
10212017,Denver,L 1 - 3,4,45,24,139,0.151,42,1,6,63,6,1,6,1,50.0,0.0
10272017,@ South Dakota,L 0 - 3,3,26,14,119,0.10099999999999999,24,4,5,49,1,1,0,2,31.0,0.0
10282017,@ Omaha,L 1 - 3,4,51,26,172,0.145,50,1,9,84,7,5,10,3,62.0,0.0
11032017,@ North Dakota St.,L 2 - 3,5,64,36,219,0.128,60,3,6,100,3,2,14,5,76.0,0.0
11072017,@ Western Ill.,L 1 - 3,4,58,27,170,0.182,54,2,9,79,5,2,2,0,63.0,0.0
11112017,South Dakota St.,W 3 - 0,3,52,12,106,0.377,50,5,2,56,2,1,8,0,62.0,0.0
11172017,"South Dakota @ Denver, Colo.",L 1 - 3,4,57,23,160,0.212,55,5,3,68,7,1,8,0,67.0,0.0
