Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"Gardner-Webb @ Harrisonburg, Va.",L 0 - 3,3,35,23,111,0.10800000000000001,29,2,5,51,5,0,8,1,41.0,0.0
08252017,"Sacred Heart @ Harrisonburg, Va.",W 3 - 2,5,51,22,145,0.2,47,8,7,52,11,5,12,2,70.0,0.0
08262017,@ James Madison,L 0 - 3,3,25,11,94,0.149,22,2,7,34,5,0,10,4,32.0,0.0
08302017,St. Francis Brooklyn,W 3 - 0,3,36,14,91,0.242,32,6,8,33,5,0,10,1,47.0,0.0
09012017,"Binghamton @ Poughkeepsie, NY",L 1 - 3,4,36,26,145,0.069,35,3,5,65,5,1,18,5,49.0,0.0
09022017,@ Fordham,L 1 - 3,4,31,19,123,0.098,29,7,7,50,10,2,14,1,47.0,0.0
09082017,"St. Francis Brooklyn @ Providence, R.I.",W 3 - 0,3,32,14,100,0.18,30,8,6,44,7,2,10,0,47.0,0.0
09082017,@ Providence,L 0 - 3,3,21,17,95,0.042,20,2,2,28,6,1,4,0,26.0,0.0
09092017,"Fairleigh Dickinson @ Providence, R.I.",W 3 - 1,4,62,19,176,0.244,61,6,7,94,6,0,18,1,77.0,0.0
09092017,"Holy Cross @ Providence, R.I.",L 1 - 3,4,50,39,195,0.055999999999999994,50,5,5,100,6,0,6,3,58.0,0.0
09122017,@ Fairleigh Dickinson,W 3 - 0,3,45,18,148,0.182,44,3,1,67,0,3,4,3,53.0,0.0
09162017,Canisius,W 3 - 0,3,42,11,100,0.31,38,9,6,44,2,0,8,2,55.0,0.0
09172017,Niagara,L 1 - 3,4,58,26,198,0.162,55,3,12,87,5,0,8,0,65.0,0.0
09232017,@ Fairfield,L 1 - 3,4,31,21,114,0.08800000000000001,30,3,4,47,4,2,14,3,43.0,0.0
09242017,@ Quinnipiac,L 1 - 3,4,47,17,129,0.233,46,5,6,64,11,1,28,1,67.0,0.0
09272017,Iona,W 3 - 2,5,55,22,148,0.223,53,8,8,75,11,4,10,2,72.0,0.0
09292017,Delaware St.,W 3 - 0,3,40,6,89,0.382,37,2,11,46,3,2,0,0,44.0,0.0
09302017,@ Saint Peter's,W 3 - 0,3,49,11,110,0.345,43,3,7,58,6,1,9,0,57.5,0.0
10072017,Siena,W 3 - 0,3,33,8,81,0.309,31,10,7,44,5,1,10,0,49.0,0.0
10082017,Marist,L 2 - 3,5,46,17,160,0.18100000000000002,43,8,7,78,8,0,6,1,57.0,0.0
10142017,@ Iona,W 3 - 1,4,48,13,112,0.312,46,8,4,45,10,1,12,3,63.0,0.0
10152017,@ Manhattan,W 3 - 0,3,43,8,101,0.34700000000000003,40,9,10,53,5,2,8,0,58.0,0.0
10212017,@ Niagara,L 2 - 3,5,62,22,197,0.203,59,2,8,104,6,1,18,3,74.0,0.0
10222017,@ Canisius,W 3 - 1,4,55,16,152,0.257,53,5,7,69,6,2,8,1,66.0,0.0
10282017,@ Marist,W 3 - 1,4,52,23,144,0.201,48,2,10,61,3,0,24,0,66.0,0.0
10292017,@ Siena,L 1 - 3,4,42,15,140,0.193,35,2,6,62,11,0,16,1,52.0,0.0
11042017,Quinnipiac,L 2 - 3,5,55,19,154,0.23399999999999999,54,8,11,59,8,3,14,2,73.0,0.0
11052017,Fairfield,L 0 - 3,3,31,13,98,0.184,29,0,5,42,9,3,6,2,37.0,0.0
11082017,Manhattan,W 3 - 1,4,51,18,144,0.22899999999999998,43,4,13,71,9,7,8,0,66.0,0.0
11102017,Coppin St.,W 3 - 0,3,40,8,86,0.37200000000000005,38,6,5,42,3,0,12,1,52.0,0.0
11112017,Saint Peter's,W 3 - 0,3,53,19,123,0.276,50,3,2,61,6,1,4,1,59.0,0.0
11172017,"Marist @ Fairfield, CT",L 2 - 3,5,53,24,168,0.17300000000000001,49,4,5,75,4,1,18,3,67.0,0.0
