Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
09012017,Stony Brook,L 1 - 3,4,40,18,130,0.16899999999999998,39,3,6,52,9,1,4,2,46.0,0.0
09022017,American,L 1 - 3,4,38,16,121,0.182,35,1,5,41,5,1,6,1,43.0,0.0
09022017,Sacred Heart,L 2 - 3,5,46,18,123,0.228,45,7,7,50,10,2,16,1,63.0,0.0
09082017,@ Wright St.,W 3 - 0,3,47,14,113,0.292,45,3,4,52,4,2,12,2,58.0,0.0
09082017,West Virginia @ Wright State,L 0 - 3,3,24,14,84,0.11900000000000001,24,3,5,32,12,1,8,1,32.0,0.0
09092017,Tennessee Tech @ Wright State,W 3 - 0,3,46,17,105,0.276,40,5,8,47,2,2,8,2,57.0,0.0
09142017,Boston College,W 3 - 2,5,70,19,145,0.35200000000000004,63,4,10,46,8,0,30,3,89.0,0.0
09152017,@ Northeastern,W 3 - 1,4,57,22,158,0.222,56,4,6,66,2,2,16,2,71.0,0.0
09162017,UMass Lowell,W 3 - 0,3,34,8,82,0.317,29,7,9,36,6,5,8,0,50.0,0.0
09222017,Dartmouth,W 3 - 1,4,58,23,140,0.25,54,7,6,64,5,1,12,1,72.0,0.0
09292017,Cornell,W 3 - 1,4,54,20,126,0.27,49,5,7,48,3,1,10,3,65.0,0.0
09302017,Columbia,W 3 - 0,3,42,6,91,0.396,40,9,5,43,6,2,8,0,57.0,0.0
10062017,@ Penn,W 3 - 2,5,69,19,155,0.32299999999999995,64,8,12,64,5,3,14,2,87.0,0.0
10072017,@ Princeton,L 0 - 3,3,28,17,97,0.113,23,3,4,23,8,1,2,2,33.0,0.0
10132017,Brown,W 3 - 1,4,58,17,132,0.311,52,4,3,68,6,2,12,1,70.0,0.0
10142017,Yale,L 1 - 3,4,55,21,138,0.24600000000000002,52,4,6,49,11,0,14,0,66.0,0.0
10202017,@ Dartmouth,W 3 - 0,3,44,16,114,0.24600000000000002,42,3,4,55,4,3,4,0,52.0,0.0
10272017,@ Columbia,L 2 - 3,5,58,16,146,0.28800000000000003,57,6,7,71,13,2,12,5,72.0,0.0
10282017,@ Cornell,L 2 - 3,5,60,29,176,0.17600000000000002,57,4,5,80,4,0,12,1,70.0,0.0
11032017,@ Yale,W 3 - 2,5,60,31,199,0.146,58,6,9,88,3,6,10,1,77.0,0.0
11042017,@ Brown,L 2 - 3,5,58,20,158,0.24100000000000002,53,2,10,89,10,2,16,2,70.0,0.0
11102017,Princeton,L 0 - 3,3,46,13,122,0.27,44,4,8,52,3,1,2,1,52.0,0.0
11112017,Penn,W 3 - 1,4,61,19,155,0.271,57,7,6,53,5,1,10,1,74.0,0.0
