Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"Lamar University @ Clemson, S.C.",W 3 - 1,4,54,22,157,0.204,48,2,12,60,10,3,10,1,64.0,0.0
08262017,@ Clemson,L 2 - 3,5,47,34,144,0.09,44,5,7,46,6,5,20,2,67.0,0.0
08262017,Bethune-Cookman,W 3 - 1,4,66,20,185,0.249,64,9,9,82,4,2,4,5,79.0,0.0
09012017,"Purdue @ Laramie, Wyo.",L 0 - 3,3,30,16,78,0.179,30,2,7,15,7,3,2,1,36.0,0.0
09022017,"Eastern Mich. @ Laramie, Wyo.",L 0 - 3,3,33,21,108,0.111,30,3,7,40,6,2,4,2,40.0,0.0
09022017,@ Wyoming,L 1 - 3,4,45,31,142,0.099,41,1,10,52,6,2,12,4,54.0,0.0
09082017,"Western Caro. @ Montgomery, Ala.",W 3 - 1,4,60,19,147,0.27899999999999997,55,8,9,75,6,5,10,0,78.0,0.0
09092017,"Southeastern La. @ Montgomery, Ala.",W 3 - 1,4,51,20,140,0.221,45,8,6,69,3,2,10,0,66.0,0.0
09092017,@ Alabama St.,L 2 - 3,5,54,27,180,0.15,51,3,9,80,7,4,6,0,64.0,0.0
09152017,"Presbyterian @ Jacksonville, Fla.",W 3 - 1,4,57,14,144,0.299,54,3,5,85,7,4,6,3,67.0,0.0
09162017,"Austin Peay @ Jacksonville, Fla.",L 1 - 3,4,51,20,153,0.203,48,1,4,67,9,5,2,4,58.0,0.0
09162017,"South Fla. @ Jacksonville, Fla.",L 0 - 3,3,35,22,125,0.10400000000000001,33,3,2,48,7,1,6,3,42.0,0.0
09222017,@ North Florida,W 3 - 1,4,58,26,166,0.193,56,3,5,71,2,1,16,1,70.0,0.0
09292017,@ USC Upstate,W 3 - 2,5,58,26,186,0.172,52,5,2,87,4,2,20,2,75.0,0.0
10012017,@ NJIT,W 3 - 0,3,37,13,97,0.247,35,9,7,49,2,4,12,1,56.0,0.0
10032017,"Bethune-Cookman @ Jacksonville, Fla.",W 3 - 2,5,72,33,195,0.2,70,4,7,91,4,2,12,7,84.0,0.0
10062017,"Kennesaw St. @ Jacksonville, Fla.",W 3 - 1,4,63,15,149,0.322,60,1,9,68,3,1,12,0,71.0,0.0
10072017,"Lipscomb @ Jacksonville, Fla.",W 3 - 1,4,36,16,93,0.215,34,3,5,36,6,0,14,2,46.0,0.0
10132017,@ FGCU,L 0 - 3,3,30,26,124,0.032,28,6,7,56,3,3,4,0,41.0,0.0
10142017,@ Stetson,W 3 - 1,4,54,22,152,0.21100000000000002,50,4,5,78,4,2,4,2,62.0,0.0
10202017,North Florida,W 3 - 0,3,50,7,116,0.371,45,2,4,63,3,1,8,0,57.0,0.0
10272017,Stetson,W 3 - 1,4,61,27,177,0.192,56,7,4,87,7,4,10,2,77.0,0.0
10282017,FGCU,W 3 - 1,4,62,24,171,0.222,57,4,5,84,4,2,15,2,75.5,0.0
11032017,@ Lipscomb,W 3 - 1,4,58,18,143,0.28,57,2,8,64,3,2,20,2,72.0,0.0
11042017,@ Kennesaw St.,L 0 - 3,3,29,24,109,0.046,28,1,6,47,3,2,4,3,34.0,0.0
11102017,NJIT,W 3 - 1,4,61,14,144,0.326,55,4,7,74,9,5,12,3,76.0,0.0
11112017,USC Upstate,W 3 - 2,5,72,35,215,0.172,68,6,3,105,3,3,8,1,85.0,0.0
11172017,"FGCU @ Nashville, Tennessee",L 0 - 3,3,41,19,131,0.168,38,2,3,67,7,1,14,0,51.0,0.0
