Date,TeamA,TeamB,Result,S,Team A Kills,Team A Errors,Team A Total Attacks,Team A Hit Pct,Team A Assists,Team A Aces,Team A SErr,Team A Digs,Team A RErr,Team A Block Solos,Team A Block Assists,Team A BErr,Team A PTS,Team B Kills,Team B Errors,Team B Total Attacks,Team B Hit Pct,Team B Assists,Team B Aces,Team B SErr,Team B Digs,Team B RErr,Team B Block Solos,Team B Block Assists,Team B BErr,Team B PTS
8262016,USC Upstate,Troy,0,5,33,27,158,0.038,33,5,10,69,7,2,10,0,45.0,50,32,164,0.11,45,7,13,88,5,3,14,5,67.0
8272016,USC Upstate,ETSU,0,3,29,20,101,0.08900000000000001,29,7,4,46,4,0,8,1,40.0,43,8,102,0.343,35,4,8,45,7,3,14,3,57.0
8272016,USC Upstate,Austin Peay,0,5,52,27,154,0.162,51,11,9,67,6,0,10,0,68.0,63,22,160,0.256,60,6,13,67,11,1,8,2,74.0
8302016,USC Upstate,Gardner-Webb,0,5,50,31,177,0.107,47,3,8,98,4,0,14,1,60.0,55,33,199,0.111,51,4,12,84,3,5,14,4,71.0
9022016,USC Upstate,Liberty,0,3,20,20,105,0.0,18,2,6,44,4,0,4,0,24.0,43,18,110,0.227,38,4,9,55,2,1,14,1,55.0
9032016,USC Upstate,Hampton,1,3,47,19,112,0.25,46,3,4,51,6,0,10,0,55.0,35,16,109,0.174,33,6,6,40,3,2,18,4,52.0
9032016,USC Upstate,ETSU,0,4,44,20,147,0.163,41,5,4,64,4,0,14,4,56.0,65,20,158,0.285,63,4,11,71,5,1,18,2,79.0
9092016,USC Upstate,Liberty,1,5,63,24,171,0.228,55,5,6,91,8,0,12,1,74.0,59,24,187,0.187,56,8,13,76,5,0,24,0,79.0
9102016,USC Upstate,Furman,0,3,41,16,124,0.202,39,4,5,52,6,0,0,0,45.0,48,10,117,0.325,45,6,5,58,4,7,5,2,63.5
9102016,USC Upstate,Davidson,1,4,70,25,191,0.236,67,4,5,94,6,1,10,0,80.0,54,20,179,0.19,53,6,5,81,4,4,14,5,71.0
9132016,USC Upstate,Charlotte,1,5,66,29,199,0.18600000000000005,63,6,8,95,6,1,6,3,76.0,59,24,192,0.182,56,6,6,90,6,2,16,3,75.0
9162016,USC Upstate,Fairleigh Dickinson,1,4,55,19,164,0.22,48,10,2,66,9,0,4,4,67.0,59,24,167,0.21,50,9,3,74,10,4,8,2,76.0
9162016,USC Upstate,Towson,0,5,45,34,181,0.061,40,9,6,77,7,1,24,1,67.0,62,31,183,0.16899999999999998,61,7,8,88,9,2,20,3,81.0
9172016,USC Upstate,Mercer,0,4,56,19,162,0.228,52,7,9,67,6,0,14,0,70.0,56,15,144,0.285,52,6,5,74,7,1,14,6,70.0
9202016,USC Upstate,Wofford,1,5,52,29,189,0.122,50,9,7,90,9,0,24,0,73.0,65,37,205,0.13699999999999998,61,9,9,97,9,1,18,0,84.0
9242016,USC Upstate,NJIT,1,5,65,27,208,0.183,56,5,14,85,5,1,6,0,74.0,59,30,191,0.152,56,5,10,101,5,4,10,1,73.0
9272016,USC Upstate,Presbyterian,1,5,55,30,174,0.14400000000000002,55,7,12,79,1,2,14,1,71.0,56,30,177,0.147,52,1,9,80,7,8,8,3,69.0
9302016,USC Upstate,Stetson,1,5,62,17,168,0.268,56,5,6,79,3,1,10,0,73.0,63,28,189,0.185,60,3,6,77,5,1,4,4,69.0
10012016,USC Upstate,FGCU,0,3,25,15,103,0.097,25,2,5,42,6,1,10,1,33.0,45,15,113,0.265,44,6,7,49,2,2,10,0,58.0
