 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","S","W-L","Aces","Per Set"
"1","UMES","127","12-19","263","2.07"
"2","Kennesaw St.","115","22-9","231","2.01"
"3","Coastal Caro.","116","24-6","231","1.99"
"4","American","120","24-8","235","1.96"
"5","UNLV","128","20-11","241","1.88"
"6","Western Ky.","118","32-2","220","1.86"
"7","Cal Poly","110","21-9","204","1.85"
"8","Delaware St.","110","12-18","201","1.83"
"9","Fresno St.","104","14-16","190","1.83"
"10","Coppin St.","114","13-18","205","1.80"
"11","High Point","122","21-13","213","1.75"
"12","Fairfield","110","24-6","192","1.75"
"13","Denver","117","23-9","203","1.74"
"14","UAB","98","12-15","170","1.73"
"15","Navy","111","17-12","192","1.73"
"16","Creighton","107","25-6","185","1.73"
"17","UTSA","113","16-14","193","1.71"
"18","Missouri","111","22-8","189","1.70"
"19","ETSU","122","25-6","207","1.70"
"20","Morgan St.","114","18-13","193","1.69"
"21","Wofford","116","15-16","196","1.69"
"22","Pepperdine","114","18-11","192","1.68"
"23","Cincinnati","125","27-7","209","1.67"
"24","Portland","107","11-18","178","1.66"
"","Robert Morris","107","25-5","178","1.66"
"26","Southeast Mo. St.","129","23-11","214","1.66"
"27","N.C. Central","123","8-24","204","1.66"
"28","Colorado St.","110","29-2","182","1.65"
"29","Presbyterian","103","15-15","170","1.65"
"30","Campbell","108","17-13","178","1.65"
"31","Saint Louis","112","17-12","184","1.64"
"32","Howard","121","20-13","198","1.64"
"33","Wisconsin","116","27-7","189","1.63"
"34","Northern Colo.","132","26-8","213","1.61"
"35","McNeese","106","11-17","171","1.61"
"36","Northern Ariz.","124","21-11","200","1.61"
"37","Omaha","129","19-14","208","1.61"
"38","New Hampshire","102","17-10","164","1.61"
"39","The Citadel","111","11-20","177","1.59"
"40","Florida A&M","106","10-20","169","1.59"
"41","Gonzaga","110","11-19","175","1.59"
"42","Marquette","122","28-6","194","1.59"
"43","George Washington","100","15-14","159","1.59"
"44","UNCW","117","14-15","185","1.58"
"45","Loyola Chicago","124","21-11","196","1.58"
"46","Delaware","104","15-14","164","1.58"
"47","Northeastern","108","15-14","170","1.57"
"48","A&M-Corpus Christi","117","19-12","184","1.57"
