Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
10,"Pansari, Maria",So,S,5-6,120,0,120,32.0,32.0,28,3,83,0.301,986.0,52.0,29.0,216.0,1,,14.0,4.0,87.0,20.0,
3,"Sherwin, Morgan",Fr,RS,5-7,111,0,111,32.0,5.0,160,79,424,0.191,180.0,9.0,5.0,77.0,1,1.0,56.0,9.0,198.0,5.0,
14,"Alechko, Natalie",So,OH,5-10,110,0,110,30.0,30.0,334,195,1055,0.132,22.0,20.0,41.0,266.0,36,2.0,24.0,4.0,368.0,2.0,
17,"Miller, Kat",Jr,RS,5-11,103,0,103,29.0,26.0,247,117,669,0.19399999999999998,24.0,40.0,47.0,230.0,26,2.0,52.0,13.0,315.0,,
7,"Rodriguez, Alejandra",So,OH,5-4,92,0,92,24.0,,3,0,15,0.2,57.0,19.0,38.0,289.0,20,,,,22.0,,
12,"Oates, Kaleigh",So,OH,6-0,91,0,91,30.0,15.0,154,62,384,0.24,10.0,16.0,7.0,40.0,2,4.0,55.0,9.0,201.5,,
21,"Horman, Gabby",Fr,MH,6-2,81,0,81,29.0,25.0,57,30,147,0.184,,,,7.0,1,7.0,50.0,10.0,89.0,1.0,
16,"Kloos, Elizabeth",Sr,MH,6-1,75,0,75,21.0,20.0,144,45,339,0.292,9.0,18.0,23.0,24.0,2,9.0,49.0,3.0,195.5,1.0,
5,"Anderson, Haley",Fr,OH,5-11,70,0,70,19.0,7.0,3,12,34,-0.265,8.0,6.0,16.0,131.0,14,,,,9.0,,
11,"Cuervo, Michelle",Fr,OH,5-10,66,0,66,27.0,2.0,31,35,132,-0.03,6.0,5.0,13.0,88.0,13,,2.0,,37.0,,
13,"Termotto, Jamie",Sr,OH,5-10,65,0,65,25.0,5.0,95,78,347,0.049,3.0,,2.0,29.0,1,1.0,18.0,2.0,105.0,1.0,
15,"Coffey, Jen",Jr,OH,6-1,61,0,61,17.0,17.0,177,73,524,0.198,5.0,,1.0,27.0,1,1.0,16.0,3.0,186.0,1.0,
9,"Miller, Lauren",So,DS,5-10,48,0,48,17.0,2.0,0,2,5,-0.4,26.0,6.0,12.0,101.0,12,,,,6.0,,
23,"Lough, Maddie",So,L,5-3,46,0,46,18.0,6.0,0,0,1,0.0,4.0,,,54.0,6,,,,,,
-,TEAM,-,-,-,-,-,29,22.0,,0,1,1,-1.0,,,,,25,,,,,,
-,Totals,-,-,-,-,-,120,,,1433,732,4160,0.16899999999999998,1340.0,191.0,234.0,1579.0,161,27.0,336.0,57.0,1819.0,31.0,
-,Opponent Totals,-,-,-,-,-,120,,,1474,576,3901,0.23,1394.0,161.0,228.0,1679.0,191,46.0,427.0,63.0,1894.5,40.0,
