Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
16,"Fairchild, Olivia",So,OH,6-0,98,0,98,27.0,27.0,350,138,838,0.253,17.0,63.0,82.0,226.0,4.0,2.0,45.0,7.0,437.5,1.0,
13,"Williams, Morgan",So,L/DS,5-8,98,0,98,27.0,,1,1,3,0.0,72.0,22.0,17.0,398.0,34.0,,,1.0,23.0,2.0,
11,"Walsh, Maddy",Jr,S,5-9,90,0,90,25.0,25.0,47,15,136,0.235,721.0,11.0,17.0,126.0,,,12.0,3.0,64.0,23.0,
8,"Oshinski, Molly",Sr,OH,5-10,88,0,88,26.0,1.0,32,26,125,0.048,10.0,20.0,20.0,46.0,8.0,,7.0,,55.5,,
1,"LaPorta, Olivia",Jr,MH,6-0,84,0,84,24.0,23.0,124,49,295,0.254,2.0,,5.0,28.0,,3.0,56.0,4.0,155.0,,
18,"Lahr, Mckenna",Fr,OH,5-10,80,0,80,24.0,24.0,192,100,597,0.154,22.0,39.0,38.0,190.0,34.0,2.0,22.0,1.0,244.0,,
12,"Freeley, Nicole",Sr,MH,5-10,80,0,80,24.0,22.0,72,41,200,0.155,4.0,,1.0,7.0,,7.0,35.0,10.0,96.5,1.0,
4,"Morley, Kaitlin",So,OH,5-10,63,0,63,22.0,17.0,184,87,500,0.19399999999999998,10.0,20.0,22.0,159.0,30.0,,13.0,6.0,210.5,,
7,"Muller, Grace",Sr,L/DS,5-7,46,0,46,19.0,6.0,0,1,4,-0.25,9.0,2.0,1.0,45.0,21.0,,,,2.0,,
17,"Plett, Sophia",Fr,S,5-10,41,0,41,14.0,2.0,11,5,43,0.14,202.0,3.0,11.0,37.0,,,5.0,3.0,16.5,12.0,
6,"Martinez, Natalie",Jr,RS,6-4,39,0,39,16.0,1.0,56,36,208,0.096,,5.0,11.0,21.0,,2.0,7.0,2.0,66.5,,
10,"Benjamin, Elise",So,MB,6-0,36,0,36,12.0,9.0,58,19,149,0.262,1.0,,,4.0,,2.0,22.0,3.0,71.0,1.0,
2,"Jones, Breanna",Jr,OH,6-1,32,0,32,11.0,5.0,47,33,153,0.092,8.0,6.0,2.0,43.0,13.0,1.0,4.0,1.0,56.0,,
5,"Cartledge, Clarissa",Sr,L/DS,5-8,11,0,11,8.0,,0,0,0,,,,1.0,9.0,3.0,,,,,,
9,"Fronk, Emily",Sr,S,5-10,8,0,8,3.0,,0,0,0,,26.0,1.0,1.0,9.0,,,,,1.0,1.0,
-,TEAM,-,-,-,-,-,21,13.0,,0,0,0,,5.0,,,,19.0,,,,,,
-,Totals,-,-,-,-,-,98,,,1174,551,3251,0.192,1109.0,192.0,229.0,1348.0,166.0,19.0,228.0,41.0,1499.0,41.0,
-,Opponent Totals,-,-,-,-,-,98,,,1103,448,3113,0.21,1026.0,166.0,201.0,1307.0,191.0,36.0,328.0,50.0,1469.0,27.0,
