Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
9,"Shook, Ashley",Fr,S,6-1,106,0,106,30.0,74,14,198,0.303,1149.0,8.0,24.0,242.0,,4.0,54.0,9.0,113.0,10.0,
21,"Ogbogu, Chiaka",Sr,MB,6-2,106,0,106,30.0,273,58,535,0.402,9.0,14.0,28.0,62.0,1.0,9.0,165.0,11.0,378.5,,
8,"McCoy, Cat",Sr,L,5-7,105,0,105,30.0,0,0,2,0.0,113.0,20.0,24.0,463.0,16.0,,,,20.0,1.0,
1,"White, Micaya",So,OH,6-1,104,0,104,30.0,354,79,989,0.278,13.0,21.0,73.0,273.0,18.0,8.0,78.0,18.0,422.0,,
12,"Johnson, Morgan",Jr,MB,6-3,103,0,103,30.0,144,37,298,0.359,4.0,,1.0,21.0,3.0,12.0,113.0,8.0,212.5,,
11,"Sun, Lexi",Fr,OH,6-2,103,0,103,30.0,337,108,826,0.27699999999999997,19.0,18.0,34.0,151.0,24.0,8.0,57.0,23.0,391.5,1.0,
13,"Rounsaville, Autumn",So,L,5-5,101,0,101,29.0,1,0,2,0.5,24.0,5.0,33.0,194.0,13.0,,,,6.0,,
4,"Hahn, Claire",So,L,5-5,94,0,94,29.0,1,1,2,0.0,21.0,9.0,16.0,134.0,24.0,,,,10.0,1.0,
2,"Nwanebu, Ebony",Sr,OH,6-4,84,0,84,27.0,212,40,499,0.345,6.0,,,36.0,,1.0,77.0,1.0,251.5,,
23,"Gilbert, Natalie",Jr,L/DS,5-8,44,0,44,19.0,0,0,0,,4.0,4.0,7.0,29.0,1.0,,,,4.0,,
27,"Bedart-Ghani, Yaasmeen",Jr,OH,6-4,43,0,43,18.0,78,25,185,0.28600000000000003,2.0,1.0,5.0,11.0,,4.0,19.0,3.0,92.5,,
34,"Agbaji, Orie",So,MB,6-2,8,0,8,5.0,5,2,9,0.33299999999999996,,,,,,1.0,4.0,,8.0,,
3,"Fisbeck, Riley",So,S,6-1,5,0,5,4.0,0,0,0,,5.0,1.0,,1.0,,,,,1.0,1.0,
17,"Baselovic, Mirta",Sr,MB,6-3,1,0,1,1.0,1,0,1,1.0,,,,,,,,,1.0,,
-,TEAM,-,-,-,-,-,10,8.0,0,0,0,,,,,,7.0,,,,,,
-,Totals,-,-,-,-,-,106,,1480,364,3546,0.315,1369.0,101.0,245.0,1617.0,107.0,47.0,567.0,73.0,1911.5,14.0,
-,Opponent Totals,-,-,-,-,-,106,,1304,676,3885,0.162,1245.0,107.0,217.0,1548.0,101.0,22.0,238.0,57.0,1552.0,26.0,
