Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
20,"Thomas, Kaylee",Fr,DS,5-8,121,0,121,32.0,6,6,60,0.0,18.0,21.0,27.0,295.0,17.0,,,,27.0,,
10,"Neelon, Meghan",Fr,S,5-9,121,0,121,32.0,44,24,135,0.14800000000000002,1213.0,34.0,38.0,299.0,,5.0,33.0,9.0,99.5,29.0,
15,"Lawrence, Leah",Sr,MB,6-3,121,0,121,32.0,279,85,619,0.313,6.0,32.0,28.0,67.0,,39.0,84.0,13.0,392.0,2.0,
4,"Gary, Quincey",Jr,DS,5-10,121,0,121,32.0,1,2,6,-0.16699999999999998,81.0,24.0,12.0,536.0,14.0,,1.0,,25.5,5.0,
2,"Murison, Natalie",Sr,DS,5-5,119,0,119,32.0,2,0,5,0.4,15.0,13.0,17.0,225.0,18.0,,,,15.0,,
23,"McSparin, Hayley",So,MB,6-2,114,0,114,31.0,273,98,581,0.301,5.0,,,16.0,1.0,24.0,81.0,12.0,337.5,2.0,
18,"Swink, Mahalia",So,OH,6-0,114,0,114,32.0,237,123,787,0.145,17.0,9.0,21.0,142.0,28.0,13.0,72.0,6.0,295.0,,
13,"Jarman, Christine",Fr,OH,6-0,112,0,112,32.0,249,141,1001,0.10800000000000001,3.0,6.0,12.0,189.0,14.0,13.0,20.0,6.0,278.0,,
21,"Perinar, Ginger",So,OH,6-2,94,0,94,26.0,277,136,846,0.16699999999999998,1.0,10.0,24.0,63.0,1.0,7.0,33.0,9.0,310.5,,
1,"Onipede, Abolanle",Sr,MB,6-0,37,0,37,14.0,49,26,183,0.126,1.0,,,10.0,,,11.0,1.0,54.5,1.0,
7,"Casillas, Jennifer",Sr,OH,6-2,19,0,19,8.0,33,22,121,0.091,,,,7.0,,1.0,8.0,,38.0,,
16,"Feld, Brooke",Sr,DS,5-3,17,0,17,9.0,0,0,0,,1.0,,,21.0,,,,,,,
6,"Hall, Cidavia",Jr,MB,6-1,12,0,12,6.0,8,0,12,0.667,,,,1.0,,1.0,13.0,1.0,15.5,,
12,"Homan, Ashley",Fr,OH,6-0,6,0,6,6.0,3,3,16,0.0,,1.0,,2.0,,,2.0,,5.0,,
11,"Crews, Karen",Fr,DS,5-6,6,0,6,5.0,0,0,0,,,,2.0,2.0,,,,,,,
5,"Whitner, Kayla",So,OH,5-7,1,0,1,1.0,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,20,14.0,0,0,0,,,,,,22.0,,,,,,
-,Totals,-,-,-,-,-,121,,1461,666,4372,0.182,1361.0,150.0,181.0,1875.0,115.0,103.0,358.0,57.0,1893.0,39.0,
-,Opponent Totals,-,-,-,-,-,121,,1586,692,4384,0.204,1482.0,115.0,249.0,1924.0,150.0,58.0,408.0,56.0,1963.0,52.0,
