Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Neely, Rakaya",Sr,MB,6-1,94,0,94,25.0,25.0,212,53,469,0.33899999999999997,7.0,11.0,10.0,51.0,2.0,21.0,79.0,4.0,283.5,1.0,
4,"Lindsay, Rechez",Sr,L/DS,5-7,91,0,91,26.0,,0,2,8,-0.25,42.0,14.0,22.0,337.0,28.0,,,,14.0,,
9,"Clark, Phalen",Sr,S,5-10,84,0,84,23.0,22.0,36,28,168,0.048,864.0,14.0,16.0,235.0,,8.0,42.0,8.0,79.0,27.0,
8,"Handy, Alana",So,OH,5-10,77,0,77,25.0,13.0,138,89,503,0.09699999999999999,15.0,12.0,21.0,250.0,21.0,,13.0,2.0,156.5,1.0,
2,"Jefferson, Jordan",Fr,OH,5-8,76,0,76,22.0,18.0,229,112,756,0.155,19.0,9.0,13.0,227.0,20.0,2.0,23.0,3.0,251.5,1.0,
15,"Bautista, Alondra",Sr,OPP,5-10,76,0,76,23.0,16.0,223,72,594,0.254,10.0,10.0,17.0,170.0,22.0,4.0,20.0,5.0,247.0,1.0,
1,"Higgins, J'Nai",Jr,S,5-6,73,0,73,21.0,4.0,4,0,14,0.28600000000000003,169.0,3.0,4.0,117.0,2.0,,3.0,1.0,8.5,4.0,
17,"Landreneaux, Faith",Fr,MB,5-10,70,0,70,22.0,17.0,104,36,235,0.289,4.0,,2.0,24.0,1.0,11.0,53.0,10.0,141.5,,
14,"Emile, Jessica",Sr,MB,6-1,59,0,59,22.0,13.0,79,29,184,0.272,1.0,,,17.0,,7.0,26.0,3.0,99.0,,
16,"White, Miranda",So,DS,5-8,49,0,49,20.0,9.0,70,32,213,0.17800000000000002,1.0,6.0,16.0,32.0,,2.0,23.0,6.0,89.5,,
6,"Chapman, Jai",Sr,OH,5-8,49,0,49,18.0,6.0,66,20,195,0.23600000000000002,5.0,3.0,3.0,82.0,2.0,,10.0,1.0,74.0,1.0,
13,"Hill, Meraiah",Jr,MB,5-10,42,0,42,21.0,9.0,29,17,82,0.146,1.0,,,5.0,,11.0,22.0,5.0,51.0,,
5,"Hill, Micaiah",Fr,OPP,5-10,34,0,34,13.0,4.0,18,14,73,0.055,1.0,2.0,4.0,49.0,,,7.0,,23.5,2.0,
12,"Adams, Tynesha",Fr,MB,5-10,9,0,9,7.0,,3,2,12,0.083,,,,2.0,,,1.0,,3.5,,
10,"Blanton, Courtney",Fr,S,5-8,5,0,5,3.0,,0,0,0,,8.0,1.0,,,,,1.0,,1.5,1.0,
-,TEAM,-,-,-,-,-,33,18.0,,0,0,0,,,,,,16.0,,,,,,
-,Totals,-,-,-,-,-,97,,,1211,506,3506,0.201,1147.0,85.0,128.0,1598.0,114.0,66.0,323.0,48.0,1523.5,39.0,
-,Opponent Totals,-,-,-,-,-,97,,,1283,588,3684,0.18899999999999997,1215.0,115.0,196.0,1564.0,84.0,45.0,239.0,56.0,1562.5,45.0,
