Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
11,"Bolko, Malia",Jr,L,5-8,113,0,113,30.0,,0,0,0,,144.0,27.0,27.0,536.0,27.0,,,,27.0,9.0,
7,"Allen, Emily",Jr,OH,5-8,113,0,113,30.0,29.0,279,130,896,0.166,26.0,22.0,29.0,286.0,37.0,5.0,24.0,6.0,318.0,4.0,
5,"White, Mahalia",Fr,OH,6-0,112,0,112,30.0,20.0,398,170,927,0.24600000000000002,8.0,5.0,19.0,72.0,1.0,1.0,45.0,8.0,426.5,2.0,
2,"Karsseboom, Brianna",Jr,OH,5-10,108,0,108,30.0,24.0,244,103,709,0.19899999999999998,22.0,24.0,47.0,229.0,41.0,6.0,38.0,8.0,293.0,3.0,
13,"Ohiri, Kelechi",Jr,MB,6-1,104,0,104,28.0,28.0,162,60,380,0.268,7.0,,,24.0,2.0,15.0,91.0,9.0,222.5,,
8,"Merlino, Maddie",Jr,S,5-10,100,0,100,30.0,14.0,12,3,22,0.409,546.0,22.0,10.0,173.0,1.0,5.0,9.0,6.0,43.5,11.0,
1,"Bowman, Paloma",Fr,S,5-10,99,0,99,30.0,16.0,24,11,80,0.163,611.0,16.0,32.0,195.0,,,9.0,1.0,44.5,21.0,
15,"Matias, Lauren",So,OH,6-2,77,0,77,24.0,14.0,161,74,467,0.18600000000000003,7.0,12.0,23.0,80.0,14.0,5.0,37.0,5.0,196.5,2.0,
18,"Jackson, Lauren",Jr,MB,6-1,68,0,68,18.0,17.0,94,28,222,0.297,3.0,8.0,9.0,28.0,1.0,14.0,44.0,6.0,138.0,1.0,
9,"Graves, Jackie",So,MB,6-4,66,0,66,26.0,4.0,27,20,84,0.083,2.0,2.0,,6.0,2.0,,31.0,1.0,44.5,,
6,"Rockas, Alexa",Fr,MB,6-1,47,0,47,16.0,10.0,48,19,139,0.209,4.0,8.0,16.0,15.0,,4.0,27.0,2.0,73.5,,
3,"Reyes, Ally",So,DS,5-7,31,0,31,10.0,1.0,1,0,1,1.0,1.0,1.0,4.0,23.0,4.0,,,,2.0,,
4,"Campbell, Katie",Jr,DS,5-9,22,0,22,16.0,2.0,0,0,0,,3.0,,4.0,6.0,3.0,,,,,,
16,"Donald, Anna",So,OPP,6-2,21,0,21,13.0,1.0,14,3,47,0.23399999999999999,,,3.0,1.0,,,9.0,3.0,18.5,,
-,TEAM,-,-,-,-,-,11,10.0,,0,0,0,,,,,,10.0,,,,,,
-,Totals,-,-,-,-,-,113,,,1464,621,3974,0.212,1384.0,147.0,223.0,1674.0,143.0,55.0,364.0,55.0,1848.0,53.0,
-,Opponent Totals,-,-,-,-,-,113,,,1357,565,3873,0.204,1254.0,143.0,223.0,1575.0,147.0,59.0,402.0,48.0,1760.0,37.0,
