Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
17,"Tuzzolo, Gina",So,OPP,6-2,116,0,116,33.0,269,107,679,0.239,48.0,39.0,43.0,44.0,1.0,8.0,112.0,5.0,372.0,2.0,
10,"Sroufe, Tyler",So,S,5-9,116,0,116,33.0,2,1,6,0.16699999999999998,460.0,,,110.0,,,,,2.0,17.0,
5,"Ard, Dajah",So,S,5-6,116,0,116,33.0,1,2,9,-0.111,719.0,22.0,27.0,196.0,,,,1.0,23.0,15.0,
14,"Giommarini, Maria Victoria",So,OH,6-0,116,0,116,33.0,308,144,905,0.18100000000000002,8.0,41.0,51.0,216.0,33.0,3.0,68.0,9.0,386.0,,
2,"Sneed, Jasmin",So,MB,6-0,115,0,115,33.0,164,52,390,0.287,3.0,1.0,11.0,34.0,,26.0,154.0,12.0,268.0,,
13,"Kandler, Alicia",Sr,OH,5-10,115,0,115,33.0,316,114,989,0.204,14.0,29.0,27.0,252.0,40.0,3.0,43.0,2.0,369.5,1.0,
15,"Baldwin, Tori",Jr,MB,6-3,112,0,112,32.0,203,60,397,0.36,2.0,,,18.0,2.0,18.0,153.0,18.0,297.5,3.0,
8,"Adler, Julia",Jr,OH,6-0,111,0,111,32.0,161,82,418,0.18899999999999997,5.0,,,22.0,,4.0,90.0,6.0,210.0,,
6,"Strange, Rebekah",Sr,L,5-10,107,0,107,31.0,2,1,7,0.14300000000000002,88.0,35.0,18.0,536.0,24.0,,,,37.0,1.0,
1,"Simpson, Madalon",So,L,5-5,90,0,90,32.0,0,3,11,-0.273,16.0,8.0,17.0,119.0,14.0,,,,8.0,2.0,
7,"Pearce, Tori",Jr,L,5-4,46,0,46,22.0,0,0,0,,4.0,7.0,4.0,12.0,,,,,7.0,,
18,"Neciporuka, Paula",Fr,OH,5-8,30,0,30,22.0,10,4,38,0.158,2.0,1.0,4.0,24.0,7.0,,3.0,1.0,12.5,,
4,"Boxley, Diamond",So,MB,6-0,20,0,20,12.0,21,10,58,0.19,,,1.0,3.0,,,11.0,1.0,26.5,,
11,"Walters, Jewel",Fr,DS,5-6,6,0,6,5.0,0,0,0,,,,1.0,6.0,1.0,,,,,,
3,"Robinson, Kaila",Fr,OH,5-10,3,0,3,3.0,0,0,0,,,,,1.0,,,,,,,
12,"Dixon, Emma",Fr,MB,6-0,3,0,3,3.0,2,0,4,0.5,1.0,,,1.0,,1.0,3.0,,4.5,,
9,"Vanitvelt, Sydney",Jr,L,5-5,2,0,2,2.0,0,0,0,,,,,5.0,,,,,,,
-,TEAM,-,-,-,-,-,7,7.0,0,0,0,,,,,,4.0,,,,,,
-,Totals,-,-,-,-,-,116,,1459,580,3911,0.225,1370.0,183.0,204.0,1599.0,126.0,63.0,637.0,55.0,2023.5,41.0,
-,Opponent Totals,-,-,-,-,-,116,,1332,800,4077,0.13,1253.0,126.0,198.0,1634.0,183.0,37.0,325.0,49.0,1657.5,37.0,
