Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Jones, Maddie",Jr,DS,5-9,89,0,89,26.0,171,89,494,0.166,19.0,16.0,35.0,197.0,13.0,2.0,12.0,2.0,195.0,1.0,
1,"Morton, Katarina",Sr,L,5-6,89,0,89,26.0,3,0,6,0.5,84.0,12.0,25.0,391.0,16.0,,,,15.0,3.0,
9,"Shelton, Sydni",Jr,OH,6-1,88,0,88,26.0,213,76,590,0.23199999999999998,4.0,,1.0,29.0,1.0,6.0,61.0,5.0,249.5,1.0,
17,"Groover, Karlee",Fr,L/DS,5-8,86,0,86,26.0,1,1,6,0.0,9.0,13.0,19.0,161.0,12.0,,,,14.0,,
3,"Piedimonte, Kristi",Sr,S,5-10,85,0,85,25.0,70,16,166,0.325,901.0,24.0,25.0,219.0,,3.0,31.0,11.0,112.5,11.0,
7,"Boyer, Anaiah",Sr,OPP,5-9,82,0,82,24.0,270,111,764,0.20800000000000002,20.0,11.0,16.0,220.0,19.0,9.0,42.0,7.0,311.0,2.0,
16,"Engelbrecht, Liesl",Jr,MB,6-4,80,0,80,25.0,195,55,418,0.335,3.0,7.0,16.0,40.0,1.0,12.0,79.0,13.0,253.5,1.0,
11,"Taylor, Rachel",Sr,MB,6-0,77,0,77,25.0,105,50,251,0.21899999999999997,2.0,,,17.0,,5.0,65.0,2.0,142.5,,
4,"Huber, Alex",Sr,DS,5-6,69,0,69,26.0,1,0,1,1.0,5.0,6.0,12.0,38.0,3.0,,,,7.0,,
13,"Chastang, Lauren",Fr,OH,5-11,53,0,53,18.0,108,51,287,0.19899999999999998,2.0,,,25.0,,4.0,10.0,2.0,117.0,,
15,"Radillo, Karla",Jr,DS,5-5,41,0,41,17.0,0,0,0,,1.0,6.0,8.0,16.0,,,,,6.0,,
5,"Johnson, Madeline",So,MB,6-1,36,0,36,19.0,44,15,119,0.244,1.0,,2.0,13.0,,1.0,14.0,3.0,52.0,1.0,
10,"Sutphin, Quin",Fr,MB,6-2,28,0,28,18.0,27,12,79,0.19,,1.0,,1.0,,1.0,10.0,7.0,34.0,,
2,"Broadwater, Lexi",So,S,5-8,14,0,14,9.0,0,0,5,0.0,64.0,,2.0,13.0,,,3.0,,1.5,,
6,"LaVigne, Morgan",Sr,DS,5-8,13,0,13,9.0,0,0,0,,,,2.0,5.0,,,,,,,
12,"Boyer, Amariah",Jr,OH,5-9,2,0,2,2.0,0,0,0,,,,1.0,,,,,,,,
-,TEAM,-,-,-,-,-,10,7.0,0,0,0,,,,,,9.0,,,,,,
-,Totals,-,-,-,-,-,89,,1208,476,3186,0.23,1115.0,96.0,164.0,1385.0,74.0,43.0,327.0,52.0,1510.5,20.0,
-,Opponent Totals,-,-,-,-,-,89,,1041,563,3197,0.15,976.0,74.0,184.0,1263.0,95.0,43.0,209.0,47.0,1262.5,24.0,
