Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
3,"Earl, Jesse",Sr,L/DS,5-8,102,0,102,27.0,0,3,8,-0.375,120.0,42.0,66.0,529.0,21.0,,,,42.0,4.0,
14,"White, Payton",Fr,L/DS,5-7,102,0,102,27.0,0,1,1,-1.0,34.0,16.0,53.0,177.0,14.0,,,,16.0,2.0,
10,"Jones, Gwyn",So,MB,6-3,102,0,102,27.0,265,112,650,0.235,3.0,,,28.0,1.0,1.0,48.0,4.0,290.0,,
9,"Beasley, Karis",So,OH,5-9,102,0,102,27.0,2,6,22,-0.182,12.0,20.0,63.0,193.0,20.0,,,,22.0,1.0,
8,"McIlroy, Brenna",Jr,OH,5-11,102,0,102,27.0,292,147,938,0.155,33.0,21.0,56.0,278.0,22.0,6.0,17.0,9.0,327.5,1.0,
21,"Filley, Alexa",Sr,S,5-8,102,0,102,27.0,109,32,311,0.248,1093.0,19.0,30.0,306.0,,1.0,38.0,6.0,148.0,5.0,
4,"White, Shaina",So,MB,6-1,102,0,102,27.0,276,44,632,0.36700000000000005,2.0,6.0,3.0,44.0,,8.0,43.0,2.0,311.5,,
22,"Stevenson, Anna",Fr,MB,6-1,89,0,89,26.0,188,109,456,0.17300000000000001,5.0,,,23.0,,12.0,49.0,8.0,224.5,,
33,"Reece, Macy",Sr,MB,6-2,84,0,84,26.0,157,68,531,0.168,4.0,1.0,2.0,37.0,,6.0,22.0,5.0,175.0,,
7,"Crable, Courtney",Sr,OH,6-1,72,0,72,23.0,106,55,374,0.136,2.0,6.0,16.0,30.0,,,7.0,6.0,115.5,,
11,"Kull, Morgan",Fr,S,5-9,3,0,3,3.0,0,0,0,,,,1.0,,,,,,,,
-,TEAM,-,-,-,-,-,7,6.0,0,0,0,,,,,,8.0,,,,,,
-,Totals,-,-,-,-,-,102,,1395,577,3923,0.209,1308.0,131.0,290.0,1645.0,86.0,34.0,224.0,40.0,1672.0,13.0,
-,Opponent Totals,-,-,-,-,-,102,,1257,503,3599,0.21,1185.0,86.0,197.0,1685.0,131.0,59.0,347.0,64.0,1575.5,38.0,
