Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
2,"Andreno, Alyssa",So,MH,6-2,104,0,104,27.0,183,47,447,0.304,3.0,,,20.0,,12.0,105.0,9.0,247.5,2.0,
8,"Williams, Callie",Fr,S,5-9,103,0,103,27.0,31,10,76,0.276,541.0,21.0,19.0,172.0,2.0,,8.0,1.0,56.0,14.0,
6,"Schumacher, Brooke",Jr,L/DS,5-4,101,0,101,27.0,2,1,6,0.16699999999999998,80.0,15.0,18.0,463.0,16.0,,,,17.0,11.0,
7,"Treiber, Erica",Jr,MH,6-1,101,0,101,27.0,226,56,523,0.325,9.0,20.0,31.0,56.0,,7.0,124.0,1.0,315.0,1.0,
3,"Coulter, Madison",Fr,OH,5-11,93,0,93,27.0,118,63,415,0.133,7.0,6.0,16.0,193.0,17.0,1.0,36.0,5.0,143.0,,
11,"Hansen, Sedona",So,S,5-8,92,0,92,24.0,3,3,20,0.0,522.0,6.0,15.0,282.0,1.0,1.0,,1.0,10.0,5.0,
17,"Grubbs, Tessa",So,OH,6-3,72,0,72,19.0,202,56,606,0.24100000000000002,1.0,1.0,3.0,45.0,,5.0,32.0,5.0,224.0,,
10,"Jeter, Breana",So,OH,6-1,71,0,71,24.0,141,61,399,0.201,2.0,,,28.0,,4.0,33.0,1.0,161.5,,
4,"Phillips, Asha",So,DS,5-5,69,0,69,25.0,2,0,4,0.5,4.0,1.0,7.0,96.0,11.0,,,,3.0,1.0,
14,"Turner, Kendra",Sr,OH,6-1,68,0,68,24.0,147,65,436,0.188,3.0,1.0,5.0,38.0,3.0,2.0,31.0,3.0,165.5,,
13,"Jimenez, Kanisha",Sr,RS,6-1,64,0,64,22.0,85,40,289,0.156,8.0,15.0,22.0,95.0,18.0,5.0,33.0,2.0,121.5,4.0,
1,"Buss, Stephanie",Sr,MB,6-1,56,0,56,21.0,82,45,267,0.139,,,1.0,13.0,,,36.0,4.0,100.0,,
19,"Spencer, Stephanie",Jr,OH,6-1,56,0,56,24.0,40,23,165,0.10300000000000001,3.0,3.0,5.0,43.0,10.0,,24.0,2.0,55.0,1.0,
0,"Kinley, Keyton",Fr,L/DS,5-5,49,0,49,19.0,1,0,2,0.5,7.0,4.0,12.0,68.0,6.0,,,,5.0,,
28,"Schwamberger, Olivia",Fr,MH,6-3,24,0,24,12.0,18,9,57,0.158,,,,4.0,,1.0,13.0,,25.5,,
12,"Peitsch, Gabrielle",Fr,MH,6-2,3,0,3,3.0,1,1,2,0.0,,,,,,,,,1.0,,
18,"Cooler, Mackenzie",Sr,S,6-1,2,0,2,2.0,0,0,0,,,,,,,,,,,1.0,
-,TEAM,-,-,-,-,-,20,14.0,0,0,0,,,,1.0,,21.0,,,,,,
-,Totals,-,-,-,-,-,104,,1282,480,3714,0.21600000000000003,1190.0,93.0,155.0,1616.0,105.0,38.0,475.0,34.0,1650.5,40.0,
-,Opponent Totals,-,-,-,-,-,104,,1410,635,3967,0.195,1335.0,105.0,188.0,1703.0,93.0,54.0,310.0,37.0,1724.0,44.0,
