Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Fisher, Kristina",Fr,OH,5-11,128,0,128,34.0,367,137,1057,0.218,6.0,7.0,34.0,239.0,38.0,9.0,23.0,2.0,394.5,,
2,"Olson, Erin",So,S,5-9,128,0,128,34.0,9,4,42,0.11900000000000001,734.0,15.0,27.0,295.0,,,1.0,3.0,24.5,23.0,
4,"Pingel, Jordan",Jr,L,5-7,128,0,128,34.0,2,1,13,0.077,124.0,20.0,44.0,541.0,25.0,,,,22.0,,
5,"Bright, Kia",Sr,OH,5-11,127,0,127,34.0,489,145,1351,0.255,7.0,26.0,45.0,387.0,38.0,22.0,30.0,12.0,552.0,1.0,
32,"Watson, Anne-Marie",Fr,OH,6-0,127,0,127,34.0,193,103,600,0.15,4.0,,1.0,44.0,,2.0,101.0,3.0,245.5,,
11,"Westney, Jeanne",So,MB,6-3,126,0,126,34.0,144,44,320,0.312,8.0,1.0,,34.0,1.0,16.0,100.0,8.0,211.0,2.0,
12,"Wickey, Taylor",Sr,OPP,6-4,125,0,125,33.0,196,45,404,0.374,12.0,17.0,17.0,76.0,1.0,26.0,112.0,4.0,295.0,,
14,"Sabol, Alli",So,RS,6-3,123,0,123,34.0,258,114,707,0.204,5.0,,,52.0,,1.0,57.0,5.0,287.5,,
3,"Watkins, Miranda",Jr,S,5-9,119,0,119,32.0,3,1,9,0.222,654.0,24.0,27.0,242.0,,,,,27.0,15.0,
33,"Painter, Mary Kate",Fr,L/DS,5-4,60,0,60,22.0,1,0,2,0.5,,6.0,7.0,67.0,4.0,,,,7.0,,
8,"Zimroth, Abby",So,OH,5-10,43,0,43,19.0,1,0,1,1.0,2.0,,2.0,13.0,3.0,,,,1.0,,
9,"Harper, Lache",Fr,OH,6-2,38,0,38,22.0,18,9,57,0.158,1.0,,,4.0,,1.0,4.0,,21.0,,
6,"Felice, Kat",Fr,DS,5-8,26,0,26,19.0,0,0,0,,2.0,3.0,6.0,3.0,,,,,3.0,,
7,"Moravec, Nerissa",Fr,MB,6-2,21,0,21,9.0,0,3,13,-0.231,1.0,,,2.0,,2.0,5.0,1.0,4.5,,
10,"Zhang, Jiayi",Jr,DS,6-6,13,0,13,9.0,1,1,6,0.0,,,,2.0,,,5.0,,3.5,,
1,"Fisher, Alex",Fr,S,5-6,11,0,11,6.0,0,0,0,,26.0,2.0,,11.0,,,,,2.0,2.0,
-,TEAM,-,-,-,-,-,23,16.0,0,0,0,,1.0,,,,20.0,,,,,,
-,Totals,-,-,-,-,-,128,,1682,607,4582,0.235,1587.0,121.0,210.0,2012.0,130.0,79.0,438.0,38.0,2101.0,43.0,
-,Opponent Totals,-,-,-,-,-,128,,1666,764,4713,0.191,1583.0,130.0,192.0,2034.0,121.0,33.0,372.0,48.0,2015.0,47.0,
