Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
18,"Conner, Camille",Fr,S,6-1,88,0,88,25.0,116,50,292,0.226,812.0,19.0,39.0,185.0,,7.0,41.0,21.0,162.5,23.0,1.0
9,"Hans, Hollann",So,OH,6-1,88,0,88,25.0,298,159,880,0.158,29.0,36.0,45.0,163.0,14.0,9.0,26.0,12.0,356.0,,
5,"Nettles, Amy",Sr,L/DS,5-4,85,0,85,25.0,2,1,11,0.091,85.0,13.0,18.0,328.0,17.0,,,,15.0,2.0,
16,"Blake, Kaitlyn",Jr,MB,6-2,83,0,83,25.0,142,44,333,0.294,6.0,8.0,16.0,59.0,1.0,9.0,63.0,10.0,190.5,1.0,
4,"McGee, Kiara",Sr,OH,5-11,83,0,83,24.0,273,124,726,0.205,13.0,3.0,13.0,123.0,14.0,10.0,31.0,9.0,301.5,,
13,"Litwin, Gabby",Sr,DS,5-8,76,0,76,24.0,0,0,0,,30.0,11.0,14.0,152.0,19.0,,,1.0,11.0,,
11,"Houser, Amy",Jr,DS,5-8,74,0,74,23.0,1,1,5,0.0,25.0,9.0,6.0,140.0,17.0,,,,10.0,,
1,"Sanders, Samantha",Fr,OH,6-2,58,0,58,20.0,87,48,266,0.147,4.0,6.0,20.0,22.0,2.0,1.0,21.0,6.0,104.5,,
8,"Douglas, Maddie",So,MB,6-0,45,0,45,18.0,55,20,154,0.22699999999999998,2.0,4.0,3.0,15.0,,8.0,42.0,3.0,88.0,1.0,
10,"Patterson, Makena",Fr,MB,6-3,43,0,43,17.0,53,21,145,0.221,1.0,,,6.0,1.0,6.0,29.0,3.0,73.5,,
15,"Reasor, Ashlie",Sr,OPP,6-1,36,0,36,14.0,35,19,117,0.13699999999999998,5.0,2.0,1.0,30.0,5.0,,34.0,1.0,54.0,,
22,"Davis, Morgan",Fr,MB,6-4,23,0,23,11.0,21,20,69,0.013999999999999999,,,,2.0,,3.0,22.0,2.0,35.0,1.0,
21,"Slocum, Haley",So,S,5-8,12,0,12,8.0,0,0,0,,4.0,2.0,5.0,12.0,,,,,2.0,,
24,"Shadricks, Ellianna",So,MB,6-1,1,0,1,1.0,2,0,2,1.0,,,,,,,1.0,,2.5,,
-,TEAM,-,-,-,-,-,10,9.0,0,0,0,,,,,,8.0,,,,,,
-,Totals,-,-,-,-,-,88,,1085,507,3000,0.193,1016.0,113.0,180.0,1237.0,98.0,53.0,310.0,68.0,1406.0,28.0,
-,Opponent Totals,-,-,-,-,-,88,,1091,473,3012,0.205,1028.0,98.0,160.0,1199.0,113.0,28.0,350.0,28.0,1392.0,38.0,
